trial,state,value,score_metric,replicate_label,sampler_seed,certainty,effectiveness,final_selfish_ratio,normalized_selfish_auc,peak_selfish_ratio,final_window_selfish_mean,n_rows,n_iter,mean_n_steps,min_n_steps,max_n_steps,mean_t_max,min_t_max,max_t_max,score_failed,trial_elapsed_sec,simulation_elapsed_sec,score_elapsed_sec,trial_info_arrow,trial_pop_arrow,trial_agent_arrow
0,TrialState.COMPLETE,0.02211400801339856,auc,optseed4,7202,0.7713962710945015,0.7918205204963198,5e-05,0.02211400801339856,0.09705,0.00053,1256,100,12.56,9,23,11.56,8,22,False,5.346236606827006,5.274227172136307,0.014312046114355326,result/trials/trial_0000_info.arrow,result/trials/trial_0000_pop.arrow,result/trials/trial_0000_agent.arrow
1,TrialState.COMPLETE,0.020998192175213846,auc,optseed4,7202,0.858445045702909,0.9613564510576332,6e-05,0.020998192175213846,0.09559,0.00042333333333333334,1320,100,13.2,9,21,12.2,8,20,False,5.8712320101913065,5.8017730449792,0.01218965114094317,result/trials/trial_0001_info.arrow,result/trials/trial_0001_pop.arrow,result/trials/trial_0001_agent.arrow
2,TrialState.COMPLETE,0.022421363849335484,auc,optseed4,7202,0.7452725954947825,0.746414961305761,9e-05,0.022421363849335484,0.09749,0.0007333333333333333,1269,100,12.69,8,23,11.69,7,22,False,5.773232575040311,5.713501422898844,0.011836897116154432,result/trials/trial_0002_info.arrow,result/trials/trial_0002_pop.arrow,result/trials/trial_0002_agent.arrow
3,TrialState.COMPLETE,0.022870192639493588,auc,optseed4,7202,0.7912635324953583,0.5648343284008004,6e-05,0.022870192639493588,0.09778000000000002,0.0007633333333333333,1263,100,12.63,8,24,11.63,7,23,False,5.0836332039907575,5.017519447952509,0.012125609908252954,result/trials/trial_0003_info.arrow,result/trials/trial_0003_pop.arrow,result/trials/trial_0003_agent.arrow
4,TrialState.COMPLETE,0.022691585794580384,auc,optseed4,7202,0.7064504277657007,0.6110607161978288,7.000000000000001e-05,0.022691585794580384,0.09757999999999999,0.0008066666666666667,1306,100,13.06,8,21,12.06,7,20,False,5.839183268835768,5.773644489003345,0.011866627028211951,result/trials/trial_0004_info.arrow,result/trials/trial_0004_pop.arrow,result/trials/trial_0004_agent.arrow
5,TrialState.COMPLETE,0.022716179991405225,auc,optseed4,7202,0.7497810698555109,0.6543631982893515,6e-05,0.022716179991405225,0.09693999999999998,0.0007466666666666667,1229,100,12.29,9,21,11.29,8,20,False,5.5968184301164,5.526434065075591,0.01907712104730308,result/trials/trial_0005_info.arrow,result/trials/trial_0005_pop.arrow,result/trials/trial_0005_agent.arrow
6,TrialState.COMPLETE,0.021889174186580537,auc,optseed4,7202,0.7366302405686596,0.8233335821829058,4e-05,0.021889174186580537,0.09689000000000002,0.0006233333333333333,1284,100,12.84,9,22,11.84,8,21,False,5.43971865111962,5.375896180048585,0.011788826901465654,result/trials/trial_0006_info.arrow,result/trials/trial_0006_pop.arrow,result/trials/trial_0006_agent.arrow
7,TrialState.COMPLETE,0.021239430681187096,auc,optseed4,7202,0.9472920355311354,0.883961371094365,4e-05,0.021239430681187096,0.09725,0.00036666666666666667,1350,100,13.5,9,23,12.5,8,22,False,6.232235072879121,6.165161776123568,0.011802216060459614,result/trials/trial_0007_info.arrow,result/trials/trial_0007_pop.arrow,result/trials/trial_0007_agent.arrow
8,TrialState.COMPLETE,0.02260305320921768,auc,optseed4,7202,0.639872355121514,0.757806123794863,6e-05,0.02260305320921768,0.09793000000000002,0.0005666666666666666,1248,100,12.48,8,21,11.48,7,20,False,5.447467300109565,5.385846795979887,0.012035550083965063,result/trials/trial_0008_info.arrow,result/trials/trial_0008_pop.arrow,result/trials/trial_0008_agent.arrow
9,TrialState.COMPLETE,0.022238576569843987,auc,optseed4,7202,0.7816779112455652,0.74970846117531,6e-05,0.022238576569843987,0.09736,0.0007333333333333333,1272,100,12.72,8,21,11.72,7,20,False,5.692614380968735,5.629854712868109,0.011811806820333004,result/trials/trial_0009_info.arrow,result/trials/trial_0009_pop.arrow,result/trials/trial_0009_agent.arrow
