dataset,network,strategy,strategy_label,info_label,info_name,mean_num_shared,mean_total_shared_ratio,mean_num_viewed,mean_total_viewed_ratio,mean_num_fst_viewed,mean_total_fst_viewed_ratio,degree_level,cluster_level,attachment_edges_m,target_avg_degree,triad_probability,requested_seed,actual_seed,config_path,graph_path,num_nodes,num_edges,avg_degree,avg_clustering,transitivity,largest_connected_component_ratio,max_degree
powerlaw_degree_cluster,pdc_deg40_high_seed2,balance,"Balance (0.8, 0.8)",1,corrective,758.92,0.7589199999999999,17706.38,17.706380000000003,7320.87,7.32087,deg40,high,20,40,1.0,20262820,20262820,v2/test_2/network/network-pdc_deg40_high_seed2.toml,v2/test_2/network/powerlaw_degree_cluster/pdc_deg40_high_seed2/edgelist.txt,1000,19584,39.168,0.3744305777451111,0.20799301320369382,1.0,380
powerlaw_degree_cluster,pdc_deg40_high_seed2,balance,"Balance (0.8, 0.8)",2,observational,316.13793103448273,0.31613793103448273,6138.241379310345,6.138241379310346,1094.896551724138,1.094896551724138,deg40,high,20,40,1.0,20262820,20262820,v2/test_2/network/network-pdc_deg40_high_seed2.toml,v2/test_2/network/powerlaw_degree_cluster/pdc_deg40_high_seed2/edgelist.txt,1000,19584,39.168,0.3744305777451111,0.20799301320369382,1.0,380
powerlaw_degree_cluster,pdc_deg40_high_seed2,balance,"Balance (0.8, 0.8)",3,behavior-guiding,127.83,0.12783,3374.11,3.3741100000000004,2312.85,2.31285,deg40,high,20,40,1.0,20262820,20262820,v2/test_2/network/network-pdc_deg40_high_seed2.toml,v2/test_2/network/powerlaw_degree_cluster/pdc_deg40_high_seed2/edgelist.txt,1000,19584,39.168,0.3744305777451111,0.20799301320369382,1.0,380
powerlaw_degree_cluster,pdc_deg40_high_seed2,certainty_high,"Certainty high (0.9, 0.5)",0,misinformation,667.55,0.66755,13621.48,13.62148,4629.77,4.629770000000001,deg40,high,20,40,1.0,20262820,20262820,v2/test_2/network/network-pdc_deg40_high_seed2.toml,v2/test_2/network/powerlaw_degree_cluster/pdc_deg40_high_seed2/edgelist.txt,1000,19584,39.168,0.3744305777451111,0.20799301320369382,1.0,380
powerlaw_degree_cluster,pdc_deg40_high_seed2,certainty_high,"Certainty high (0.9, 0.5)",1,corrective,454.8,0.45480000000000004,10701.44,10.701440000000002,5277.32,5.27732,deg40,high,20,40,1.0,20262820,20262820,v2/test_2/network/network-pdc_deg40_high_seed2.toml,v2/test_2/network/powerlaw_degree_cluster/pdc_deg40_high_seed2/edgelist.txt,1000,19584,39.168,0.3744305777451111,0.20799301320369382,1.0,380
powerlaw_degree_cluster,pdc_deg40_high_seed2,certainty_high,"Certainty high (0.9, 0.5)",2,observational,346.52941176470586,0.34652941176470586,6774.0,6.774,1047.8823529411766,1.0478823529411767,deg40,high,20,40,1.0,20262820,20262820,v2/test_2/network/network-pdc_deg40_high_seed2.toml,v2/test_2/network/powerlaw_degree_cluster/pdc_deg40_high_seed2/edgelist.txt,1000,19584,39.168,0.3744305777451111,0.20799301320369382,1.0,380
powerlaw_degree_cluster,pdc_deg40_high_seed2,certainty_high,"Certainty high (0.9, 0.5)",3,behavior-guiding,173.53,0.17353000000000002,4255.14,4.255140000000001,2723.27,2.72327,deg40,high,20,40,1.0,20262820,20262820,v2/test_2/network/network-pdc_deg40_high_seed2.toml,v2/test_2/network/powerlaw_degree_cluster/pdc_deg40_high_seed2/edgelist.txt,1000,19584,39.168,0.3744305777451111,0.20799301320369382,1.0,380
powerlaw_degree_cluster,pdc_deg40_high_seed2,effective_high,"Effectiveness high (0.5, 0.9)",0,misinformation,665.04,0.66504,13551.77,13.551770000000001,4599.2,4.5992,deg40,high,20,40,1.0,20262820,20262820,v2/test_2/network/network-pdc_deg40_high_seed2.toml,v2/test_2/network/powerlaw_degree_cluster/pdc_deg40_high_seed2/edgelist.txt,1000,19584,39.168,0.3744305777451111,0.20799301320369382,1.0,380
powerlaw_degree_cluster,pdc_deg40_high_seed2,effective_high,"Effectiveness high (0.5, 0.9)",1,corrective,710.3,0.7102999999999999,16794.68,16.79468,7310.53,7.31053,deg40,high,20,40,1.0,20262820,20262820,v2/test_2/network/network-pdc_deg40_high_seed2.toml,v2/test_2/network/powerlaw_degree_cluster/pdc_deg40_high_seed2/edgelist.txt,1000,19584,39.168,0.3744305777451111,0.20799301320369382,1.0,380
powerlaw_degree_cluster,pdc_deg40_high_seed2,effective_high,"Effectiveness high (0.5, 0.9)",2,observational,313.9,0.31389999999999996,6171.15,6.17115,1036.1,1.0361,deg40,high,20,40,1.0,20262820,20262820,v2/test_2/network/network-pdc_deg40_high_seed2.toml,v2/test_2/network/powerlaw_degree_cluster/pdc_deg40_high_seed2/edgelist.txt,1000,19584,39.168,0.3744305777451111,0.20799301320369382,1.0,380
powerlaw_degree_cluster,pdc_deg40_high_seed2,effective_high,"Effectiveness high (0.5, 0.9)",3,behavior-guiding,110.19,0.11019,3021.52,3.02152,2131.83,2.13183,deg40,high,20,40,1.0,20262820,20262820,v2/test_2/network/network-pdc_deg40_high_seed2.toml,v2/test_2/network/powerlaw_degree_cluster/pdc_deg40_high_seed2/edgelist.txt,1000,19584,39.168,0.3744305777451111,0.20799301320369382,1.0,380
powerlaw_degree_cluster,pdc_deg40_high_seed3,balance,"Balance (0.8, 0.8)",0,misinformation,652.38,0.65238,13360.31,13.36031,4461.64,4.46164,deg40,high,20,40,1.0,20263820,20263820,v2/test_2/network/network-pdc_deg40_high_seed3.toml,v2/test_2/network/powerlaw_degree_cluster/pdc_deg40_high_seed3/edgelist.txt,1000,19580,39.16,0.37210135008464695,0.2137210589197907,1.0,352
powerlaw_degree_cluster,pdc_deg40_high_seed3,balance,"Balance (0.8, 0.8)",1,corrective,718.91,0.7189099999999999,16796.13,16.79613,7165.63,7.16563,deg40,high,20,40,1.0,20263820,20263820,v2/test_2/network/network-pdc_deg40_high_seed3.toml,v2/test_2/network/powerlaw_degree_cluster/pdc_deg40_high_seed3/edgelist.txt,1000,19580,39.16,0.37210135008464695,0.2137210589197907,1.0,352
powerlaw_degree_cluster,pdc_deg40_high_seed3,balance,"Balance (0.8, 0.8)",2,observational,305.96,0.30596,5988.32,5.98832,1004.08,1.00408,deg40,high,20,40,1.0,20263820,20263820,v2/test_2/network/network-pdc_deg40_high_seed3.toml,v2/test_2/network/powerlaw_degree_cluster/pdc_deg40_high_seed3/edgelist.txt,1000,19580,39.16,0.37210135008464695,0.2137210589197907,1.0,352
powerlaw_degree_cluster,pdc_deg40_high_seed3,balance,"Balance (0.8, 0.8)",3,behavior-guiding,129.16,0.12916,3371.29,3.37129,2313.99,2.31399,deg40,high,20,40,1.0,20263820,20263820,v2/test_2/network/network-pdc_deg40_high_seed3.toml,v2/test_2/network/powerlaw_degree_cluster/pdc_deg40_high_seed3/edgelist.txt,1000,19580,39.16,0.37210135008464695,0.2137210589197907,1.0,352
powerlaw_degree_cluster,pdc_deg40_high_seed3,certainty_high,"Certainty high (0.9, 0.5)",0,misinformation,654.97,0.65497,13392.92,13.39292,4471.05,4.47105,deg40,high,20,40,1.0,20263820,20263820,v2/test_2/network/network-pdc_deg40_high_seed3.toml,v2/test_2/network/powerlaw_degree_cluster/pdc_deg40_high_seed3/edgelist.txt,1000,19580,39.16,0.37210135008464695,0.2137210589197907,1.0,352
powerlaw_degree_cluster,pdc_deg40_high_seed3,certainty_high,"Certainty high (0.9, 0.5)",1,corrective,525.31,0.5253099999999999,12296.49,12.29649,5775.97,5.77597,deg40,high,20,40,1.0,20263820,20263820,v2/test_2/network/network-pdc_deg40_high_seed3.toml,v2/test_2/network/powerlaw_degree_cluster/pdc_deg40_high_seed3/edgelist.txt,1000,19580,39.16,0.37210135008464695,0.2137210589197907,1.0,352
powerlaw_degree_cluster,pdc_deg40_high_seed3,certainty_high,"Certainty high (0.9, 0.5)",2,observational,340.0,0.34,6743.285714285715,6.743285714285715,1175.3809523809523,1.1753809523809524,deg40,high,20,40,1.0,20263820,20263820,v2/test_2/network/network-pdc_deg40_high_seed3.toml,v2/test_2/network/powerlaw_degree_cluster/pdc_deg40_high_seed3/edgelist.txt,1000,19580,39.16,0.37210135008464695,0.2137210589197907,1.0,352
powerlaw_degree_cluster,pdc_deg40_high_seed3,certainty_high,"Certainty high (0.9, 0.5)",3,behavior-guiding,178.19,0.17819000000000002,4328.0,4.328,2744.36,2.7443600000000004,deg40,high,20,40,1.0,20263820,20263820,v2/test_2/network/network-pdc_deg40_high_seed3.toml,v2/test_2/network/powerlaw_degree_cluster/pdc_deg40_high_seed3/edgelist.txt,1000,19580,39.16,0.37210135008464695,0.2137210589197907,1.0,352
powerlaw_degree_cluster,pdc_deg40_high_seed3,effective_high,"Effectiveness high (0.5, 0.9)",0,misinformation,653.91,0.65391,13391.51,13.39151,4474.17,4.47417,deg40,high,20,40,1.0,20263820,20263820,v2/test_2/network/network-pdc_deg40_high_seed3.toml,v2/test_2/network/powerlaw_degree_cluster/pdc_deg40_high_seed3/edgelist.txt,1000,19580,39.16,0.37210135008464695,0.2137210589197907,1.0,352
powerlaw_degree_cluster,pdc_deg40_high_seed3,effective_high,"Effectiveness high (0.5, 0.9)",1,corrective,850.19,0.8501900000000001,19892.25,19.89225,8113.45,8.11345,deg40,high,20,40,1.0,20263820,20263820,v2/test_2/network/network-pdc_deg40_high_seed3.toml,v2/test_2/network/powerlaw_degree_cluster/pdc_deg40_high_seed3/edgelist.txt,1000,19580,39.16,0.37210135008464695,0.2137210589197907,1.0,352
powerlaw_degree_cluster,pdc_deg40_high_seed3,effective_high,"Effectiveness high (0.5, 0.9)",2,observational,317.17857142857144,0.3171785714285715,6166.785714285715,6.166785714285715,1016.0,1.016,deg40,high,20,40,1.0,20263820,20263820,v2/test_2/network/network-pdc_deg40_high_seed3.toml,v2/test_2/network/powerlaw_degree_cluster/pdc_deg40_high_seed3/edgelist.txt,1000,19580,39.16,0.37210135008464695,0.2137210589197907,1.0,352
powerlaw_degree_cluster,pdc_deg40_high_seed3,effective_high,"Effectiveness high (0.5, 0.9)",3,behavior-guiding,114.37,0.11437000000000001,3071.95,3.0719499999999997,2156.01,2.15601,deg40,high,20,40,1.0,20263820,20263820,v2/test_2/network/network-pdc_deg40_high_seed3.toml,v2/test_2/network/powerlaw_degree_cluster/pdc_deg40_high_seed3/edgelist.txt,1000,19580,39.16,0.37210135008464695,0.2137210589197907,1.0,352
powerlaw_degree_cluster,pdc_deg40_low_seed1,balance,"Balance (0.8, 0.8)",0,misinformation,698.03,0.69803,14117.72,14.11772,5259.31,5.25931,deg40,low,20,40,0.0,20261720,20261720,v2/test_2/network/network-pdc_deg40_low_seed1.toml,v2/test_2/network/powerlaw_degree_cluster/pdc_deg40_low_seed1/edgelist.txt,1000,19600,39.2,0.09362552065351377,0.09149645826708794,1.0,251
powerlaw_degree_cluster,pdc_deg40_low_seed1,balance,"Balance (0.8, 0.8)",1,corrective,665.61,0.66561,15256.6,15.2566,7644.21,7.64421,deg40,low,20,40,0.0,20261720,20261720,v2/test_2/network/network-pdc_deg40_low_seed1.toml,v2/test_2/network/powerlaw_degree_cluster/pdc_deg40_low_seed1/edgelist.txt,1000,19600,39.2,0.09362552065351377,0.09149645826708794,1.0,251
powerlaw_degree_cluster,pdc_deg40_low_seed1,balance,"Balance (0.8, 0.8)",2,observational,310.3157894736842,0.3103157894736842,6103.210526315789,6.103210526315789,1096.0526315789473,1.0960526315789474,deg40,low,20,40,0.0,20261720,20261720,v2/test_2/network/network-pdc_deg40_low_seed1.toml,v2/test_2/network/powerlaw_degree_cluster/pdc_deg40_low_seed1/edgelist.txt,1000,19600,39.2,0.09362552065351377,0.09149645826708794,1.0,251
powerlaw_degree_cluster,pdc_deg40_low_seed1,balance,"Balance (0.8, 0.8)",3,behavior-guiding,141.12,0.14112,3623.28,3.6232800000000003,2843.88,2.84388,deg40,low,20,40,0.0,20261720,20261720,v2/test_2/network/network-pdc_deg40_low_seed1.toml,v2/test_2/network/powerlaw_degree_cluster/pdc_deg40_low_seed1/edgelist.txt,1000,19600,39.2,0.09362552065351377,0.09149645826708794,1.0,251
powerlaw_degree_cluster,pdc_deg40_low_seed1,certainty_high,"Certainty high (0.9, 0.5)",0,misinformation,701.64,0.70164,14187.96,14.187959999999999,5256.41,5.25641,deg40,low,20,40,0.0,20261720,20261720,v2/test_2/network/network-pdc_deg40_low_seed1.toml,v2/test_2/network/powerlaw_degree_cluster/pdc_deg40_low_seed1/edgelist.txt,1000,19600,39.2,0.09362552065351377,0.09149645826708794,1.0,251
powerlaw_degree_cluster,pdc_deg40_low_seed1,certainty_high,"Certainty high (0.9, 0.5)",1,corrective,597.34,0.5973400000000001,13562.8,13.5628,6917.32,6.91732,deg40,low,20,40,0.0,20261720,20261720,v2/test_2/network/network-pdc_deg40_low_seed1.toml,v2/test_2/network/powerlaw_degree_cluster/pdc_deg40_low_seed1/edgelist.txt,1000,19600,39.2,0.09362552065351377,0.09149645826708794,1.0,251
powerlaw_degree_cluster,pdc_deg40_low_seed1,certainty_high,"Certainty high (0.9, 0.5)",2,observational,341.962962962963,0.341962962962963,6683.111111111111,6.683111111111112,1072.1851851851852,1.0721851851851854,deg40,low,20,40,0.0,20261720,20261720,v2/test_2/network/network-pdc_deg40_low_seed1.toml,v2/test_2/network/powerlaw_degree_cluster/pdc_deg40_low_seed1/edgelist.txt,1000,19600,39.2,0.09362552065351377,0.09149645826708794,1.0,251
powerlaw_degree_cluster,pdc_deg40_low_seed1,certainty_high,"Certainty high (0.9, 0.5)",3,behavior-guiding,192.35,0.19235,4578.52,4.57852,3402.95,3.4029499999999997,deg40,low,20,40,0.0,20261720,20261720,v2/test_2/network/network-pdc_deg40_low_seed1.toml,v2/test_2/network/powerlaw_degree_cluster/pdc_deg40_low_seed1/edgelist.txt,1000,19600,39.2,0.09362552065351377,0.09149645826708794,1.0,251
powerlaw_degree_cluster,pdc_deg40_low_seed1,effective_high,"Effectiveness high (0.5, 0.9)",0,misinformation,699.56,0.69956,14108.09,14.10809,5256.65,5.25665,deg40,low,20,40,0.0,20261720,20261720,v2/test_2/network/network-pdc_deg40_low_seed1.toml,v2/test_2/network/powerlaw_degree_cluster/pdc_deg40_low_seed1/edgelist.txt,1000,19600,39.2,0.09362552065351377,0.09149645826708794,1.0,251
powerlaw_degree_cluster,pdc_deg40_low_seed1,effective_high,"Effectiveness high (0.5, 0.9)",1,corrective,702.26,0.70226,16237.81,16.23781,8227.25,8.22725,deg40,low,20,40,0.0,20261720,20261720,v2/test_2/network/network-pdc_deg40_low_seed1.toml,v2/test_2/network/powerlaw_degree_cluster/pdc_deg40_low_seed1/edgelist.txt,1000,19600,39.2,0.09362552065351377,0.09149645826708794,1.0,251
powerlaw_degree_cluster,pdc_deg40_low_seed1,effective_high,"Effectiveness high (0.5, 0.9)",2,observational,303.875,0.303875,5902.625,5.9026250000000005,1047.125,1.047125,deg40,low,20,40,0.0,20261720,20261720,v2/test_2/network/network-pdc_deg40_low_seed1.toml,v2/test_2/network/powerlaw_degree_cluster/pdc_deg40_low_seed1/edgelist.txt,1000,19600,39.2,0.09362552065351377,0.09149645826708794,1.0,251
