degree_level,cluster_level,strategy,strategy_label,avg_final_selfish_ratio,std_final_selfish_ratio,avg_peak_selfish_ratio,avg_shared_misinformation,avg_shared_corrective,avg_shared_observational,avg_shared_behavior_guiding
deg40,high,balance,"Balance (0.8, 0.8)",0.000016666666666666667,0.000015275252316519466,0.14760666666666666,0.6473300000000001,0.6841833333333334,0.3166404868154158,0.13110333333333332
deg40,high,certainty_high,"Certainty high (0.9, 0.5)",0.00002666666666666667,0.000011547005383792517,0.15126333333333333,0.6501800000000001,0.48900666666666665,0.345343137254902,0.17891333333333334
deg40,high,effective_high,"Effectiveness high (0.5, 0.9)",3.3333333333333337e-6,5.773502691896258e-6,0.14652333333333334,0.6487766666666667,0.79168,0.31383388278388274,0.11495333333333334
deg40,low,balance,"Balance (0.8, 0.8)",6.6666666666666675e-6,0.000011547005383792516,0.15885666666666667,0.7007466666666667,0.7024733333333334,0.31477986633249794,0.13752
deg40,low,certainty_high,"Certainty high (0.9, 0.5)",0.000013333333333333332,0.000015275252316519466,0.16308,0.7056433333333333,0.6080666666666668,0.3426894740066783,0.1878
deg40,low,effective_high,"Effectiveness high (0.5, 0.9)",0.000013333333333333335,0.000015275252316519466,0.15752,0.7026133333333333,0.83248,0.3071845238095238,0.12083333333333333
