dataset,network,strategy,strategy_label,info_label,info_name,mean_num_shared,mean_total_shared_ratio,mean_num_viewed,mean_total_viewed_ratio,mean_num_fst_viewed,mean_total_fst_viewed_ratio,cluster_level,attachment_edges_m,target_avg_degree,triad_probability,target_clustering,requested_seed,actual_seed,community_source,config_path,graph_path,comm_path,num_nodes,num_edges,avg_degree,avg_clustering,transitivity,largest_connected_component_ratio,max_degree
powerlaw_cluster_c06,plc06_seed1,effective_high,"Effectiveness high (0.5, 0.9)",2,observational,4.4,0.0044,26.0,0.026000000000000002,16.6,0.0166,c06,3,6,1.0,0.6,20261656,20261656,v2/test_2/network/ba/ba1000/comm.csv,v2/test_2/network/network-plc06_seed1.toml,v2/test_2/network/powerlaw_cluster_c06/plc06_seed1/edgelist.txt,v2/test_2/network/powerlaw_cluster_c06/plc06_seed1/comm.csv,1000,2991,5.982,0.5932956245748388,0.16169544740973313,1.0,119
powerlaw_cluster_c06,plc06_seed1,effective_high,"Effectiveness high (0.5, 0.9)",3,behavior-guiding,21.22,0.02122,250.13,0.25013,219.88,0.21988,c06,3,6,1.0,0.6,20261656,20261656,v2/test_2/network/ba/ba1000/comm.csv,v2/test_2/network/network-plc06_seed1.toml,v2/test_2/network/powerlaw_cluster_c06/plc06_seed1/edgelist.txt,v2/test_2/network/powerlaw_cluster_c06/plc06_seed1/comm.csv,1000,2991,5.982,0.5932956245748388,0.16169544740973313,1.0,119
powerlaw_cluster_c06,plc06_seed2,balance,"Balance (0.8, 0.8)",0,misinformation,33.29,0.03329,194.48,0.19448,141.15,0.14115,c06,3,6,1.0,0.6,20262656,20262656,v2/test_2/network/ba/ba1000/comm.csv,v2/test_2/network/network-plc06_seed2.toml,v2/test_2/network/powerlaw_cluster_c06/plc06_seed2/edgelist.txt,v2/test_2/network/powerlaw_cluster_c06/plc06_seed2/comm.csv,1000,2991,5.982,0.5970254547957571,0.10809139582233618,1.0,275
powerlaw_cluster_c06,plc06_seed2,balance,"Balance (0.8, 0.8)",1,corrective,93.56,0.09356,536.69,0.5366900000000001,401.32,0.40132,c06,3,6,1.0,0.6,20262656,20262656,v2/test_2/network/ba/ba1000/comm.csv,v2/test_2/network/network-plc06_seed2.toml,v2/test_2/network/powerlaw_cluster_c06/plc06_seed2/edgelist.txt,v2/test_2/network/powerlaw_cluster_c06/plc06_seed2/comm.csv,1000,2991,5.982,0.5970254547957571,0.10809139582233618,1.0,275
powerlaw_cluster_c06,plc06_seed2,balance,"Balance (0.8, 0.8)",2,observational,18.125,0.018125,98.25,0.09825,64.625,0.064625,c06,3,6,1.0,0.6,20262656,20262656,v2/test_2/network/ba/ba1000/comm.csv,v2/test_2/network/network-plc06_seed2.toml,v2/test_2/network/powerlaw_cluster_c06/plc06_seed2/edgelist.txt,v2/test_2/network/powerlaw_cluster_c06/plc06_seed2/comm.csv,1000,2991,5.982,0.5970254547957571,0.10809139582233618,1.0,275
powerlaw_cluster_c06,plc06_seed2,balance,"Balance (0.8, 0.8)",3,behavior-guiding,32.31,0.032310000000000005,346.06,0.34606000000000003,298.34,0.29834,c06,3,6,1.0,0.6,20262656,20262656,v2/test_2/network/ba/ba1000/comm.csv,v2/test_2/network/network-plc06_seed2.toml,v2/test_2/network/powerlaw_cluster_c06/plc06_seed2/edgelist.txt,v2/test_2/network/powerlaw_cluster_c06/plc06_seed2/comm.csv,1000,2991,5.982,0.5970254547957571,0.10809139582233618,1.0,275
powerlaw_cluster_c06,plc06_seed2,certainty_high,"Certainty high (0.9, 0.5)",0,misinformation,33.84,0.03384,198.29,0.19829,144.7,0.1447,c06,3,6,1.0,0.6,20262656,20262656,v2/test_2/network/ba/ba1000/comm.csv,v2/test_2/network/network-plc06_seed2.toml,v2/test_2/network/powerlaw_cluster_c06/plc06_seed2/edgelist.txt,v2/test_2/network/powerlaw_cluster_c06/plc06_seed2/comm.csv,1000,2991,5.982,0.5970254547957571,0.10809139582233618,1.0,275
powerlaw_cluster_c06,plc06_seed2,certainty_high,"Certainty high (0.9, 0.5)",1,corrective,87.76,0.08776,505.49,0.50549,380.41,0.38041,c06,3,6,1.0,0.6,20262656,20262656,v2/test_2/network/ba/ba1000/comm.csv,v2/test_2/network/network-plc06_seed2.toml,v2/test_2/network/powerlaw_cluster_c06/plc06_seed2/edgelist.txt,v2/test_2/network/powerlaw_cluster_c06/plc06_seed2/comm.csv,1000,2991,5.982,0.5970254547957571,0.10809139582233618,1.0,275
powerlaw_cluster_c06,plc06_seed2,certainty_high,"Certainty high (0.9, 0.5)",2,observational,1.4,0.0014,7.8,0.0078,6.2,0.006200000000000001,c06,3,6,1.0,0.6,20262656,20262656,v2/test_2/network/ba/ba1000/comm.csv,v2/test_2/network/network-plc06_seed2.toml,v2/test_2/network/powerlaw_cluster_c06/plc06_seed2/edgelist.txt,v2/test_2/network/powerlaw_cluster_c06/plc06_seed2/comm.csv,1000,2991,5.982,0.5970254547957571,0.10809139582233618,1.0,275
powerlaw_cluster_c06,plc06_seed2,certainty_high,"Certainty high (0.9, 0.5)",3,behavior-guiding,38.53,0.03853,377.64,0.37764,319.5,0.3195,c06,3,6,1.0,0.6,20262656,20262656,v2/test_2/network/ba/ba1000/comm.csv,v2/test_2/network/network-plc06_seed2.toml,v2/test_2/network/powerlaw_cluster_c06/plc06_seed2/edgelist.txt,v2/test_2/network/powerlaw_cluster_c06/plc06_seed2/comm.csv,1000,2991,5.982,0.5970254547957571,0.10809139582233618,1.0,275
powerlaw_cluster_c06,plc06_seed2,effective_high,"Effectiveness high (0.5, 0.9)",0,misinformation,33.91,0.033909999999999996,196.4,0.19640000000000002,142.21,0.14221,c06,3,6,1.0,0.6,20262656,20262656,v2/test_2/network/ba/ba1000/comm.csv,v2/test_2/network/network-plc06_seed2.toml,v2/test_2/network/powerlaw_cluster_c06/plc06_seed2/edgelist.txt,v2/test_2/network/powerlaw_cluster_c06/plc06_seed2/comm.csv,1000,2991,5.982,0.5970254547957571,0.10809139582233618,1.0,275
powerlaw_cluster_c06,plc06_seed2,effective_high,"Effectiveness high (0.5, 0.9)",1,corrective,97.5,0.0975,556.16,0.55616,416.93,0.41693,c06,3,6,1.0,0.6,20262656,20262656,v2/test_2/network/ba/ba1000/comm.csv,v2/test_2/network/network-plc06_seed2.toml,v2/test_2/network/powerlaw_cluster_c06/plc06_seed2/edgelist.txt,v2/test_2/network/powerlaw_cluster_c06/plc06_seed2/comm.csv,1000,2991,5.982,0.5970254547957571,0.10809139582233618,1.0,275
powerlaw_cluster_c06,plc06_seed2,effective_high,"Effectiveness high (0.5, 0.9)",2,observational,8.5,0.0085,38.25,0.03825,27.5,0.0275,c06,3,6,1.0,0.6,20262656,20262656,v2/test_2/network/ba/ba1000/comm.csv,v2/test_2/network/network-plc06_seed2.toml,v2/test_2/network/powerlaw_cluster_c06/plc06_seed2/edgelist.txt,v2/test_2/network/powerlaw_cluster_c06/plc06_seed2/comm.csv,1000,2991,5.982,0.5970254547957571,0.10809139582233618,1.0,275
powerlaw_cluster_c06,plc06_seed2,effective_high,"Effectiveness high (0.5, 0.9)",3,behavior-guiding,27.78,0.027780000000000003,317.86,0.31786000000000003,277.26,0.27726,c06,3,6,1.0,0.6,20262656,20262656,v2/test_2/network/ba/ba1000/comm.csv,v2/test_2/network/network-plc06_seed2.toml,v2/test_2/network/powerlaw_cluster_c06/plc06_seed2/edgelist.txt,v2/test_2/network/powerlaw_cluster_c06/plc06_seed2/comm.csv,1000,2991,5.982,0.5970254547957571,0.10809139582233618,1.0,275
powerlaw_cluster_c06,plc06_seed3,balance,"Balance (0.8, 0.8)",0,misinformation,25.5,0.025500000000000002,152.12,0.15212,110.82,0.11082,c06,3,6,1.0,0.6,20263656,20263656,v2/test_2/network/ba/ba1000/comm.csv,v2/test_2/network/network-plc06_seed3.toml,v2/test_2/network/powerlaw_cluster_c06/plc06_seed3/edgelist.txt,v2/test_2/network/powerlaw_cluster_c06/plc06_seed3/comm.csv,1000,2991,5.982,0.6038861294694843,0.14505812784102337,1.0,175
powerlaw_cluster_c06,plc06_seed3,balance,"Balance (0.8, 0.8)",1,corrective,106.61,0.10661,597.92,0.59792,438.31,0.43831000000000003,c06,3,6,1.0,0.6,20263656,20263656,v2/test_2/network/ba/ba1000/comm.csv,v2/test_2/network/network-plc06_seed3.toml,v2/test_2/network/powerlaw_cluster_c06/plc06_seed3/edgelist.txt,v2/test_2/network/powerlaw_cluster_c06/plc06_seed3/comm.csv,1000,2991,5.982,0.6038861294694843,0.14505812784102337,1.0,175
powerlaw_cluster_c06,plc06_seed3,balance,"Balance (0.8, 0.8)",2,observational,15.88888888888889,0.01588888888888889,74.0,0.074,46.55555555555556,0.04655555555555556,c06,3,6,1.0,0.6,20263656,20263656,v2/test_2/network/ba/ba1000/comm.csv,v2/test_2/network/network-plc06_seed3.toml,v2/test_2/network/powerlaw_cluster_c06/plc06_seed3/edgelist.txt,v2/test_2/network/powerlaw_cluster_c06/plc06_seed3/comm.csv,1000,2991,5.982,0.6038861294694843,0.14505812784102337,1.0,175
powerlaw_cluster_c06,plc06_seed3,balance,"Balance (0.8, 0.8)",3,behavior-guiding,23.14,0.02314,261.93,0.26193,229.11,0.22911,c06,3,6,1.0,0.6,20263656,20263656,v2/test_2/network/ba/ba1000/comm.csv,v2/test_2/network/network-plc06_seed3.toml,v2/test_2/network/powerlaw_cluster_c06/plc06_seed3/edgelist.txt,v2/test_2/network/powerlaw_cluster_c06/plc06_seed3/comm.csv,1000,2991,5.982,0.6038861294694843,0.14505812784102337,1.0,175
powerlaw_cluster_c06,plc06_seed3,certainty_high,"Certainty high (0.9, 0.5)",0,misinformation,26.22,0.02622,154.13,0.15413,112.48,0.11248000000000001,c06,3,6,1.0,0.6,20263656,20263656,v2/test_2/network/ba/ba1000/comm.csv,v2/test_2/network/network-plc06_seed3.toml,v2/test_2/network/powerlaw_cluster_c06/plc06_seed3/edgelist.txt,v2/test_2/network/powerlaw_cluster_c06/plc06_seed3/comm.csv,1000,2991,5.982,0.6038861294694843,0.14505812784102337,1.0,175
powerlaw_cluster_c06,plc06_seed3,certainty_high,"Certainty high (0.9, 0.5)",1,corrective,101.59,0.10159,566.95,0.5669500000000001,417.76,0.41776,c06,3,6,1.0,0.6,20263656,20263656,v2/test_2/network/ba/ba1000/comm.csv,v2/test_2/network/network-plc06_seed3.toml,v2/test_2/network/powerlaw_cluster_c06/plc06_seed3/edgelist.txt,v2/test_2/network/powerlaw_cluster_c06/plc06_seed3/comm.csv,1000,2991,5.982,0.6038861294694843,0.14505812784102337,1.0,175
powerlaw_cluster_c06,plc06_seed3,certainty_high,"Certainty high (0.9, 0.5)",2,observational,12.0,0.012,64.25,0.06425,44.5,0.0445,c06,3,6,1.0,0.6,20263656,20263656,v2/test_2/network/ba/ba1000/comm.csv,v2/test_2/network/network-plc06_seed3.toml,v2/test_2/network/powerlaw_cluster_c06/plc06_seed3/edgelist.txt,v2/test_2/network/powerlaw_cluster_c06/plc06_seed3/comm.csv,1000,2991,5.982,0.6038861294694843,0.14505812784102337,1.0,175
powerlaw_cluster_c06,plc06_seed3,certainty_high,"Certainty high (0.9, 0.5)",3,behavior-guiding,28.25,0.02825,288.41,0.28841000000000006,246.17,0.24617,c06,3,6,1.0,0.6,20263656,20263656,v2/test_2/network/ba/ba1000/comm.csv,v2/test_2/network/network-plc06_seed3.toml,v2/test_2/network/powerlaw_cluster_c06/plc06_seed3/edgelist.txt,v2/test_2/network/powerlaw_cluster_c06/plc06_seed3/comm.csv,1000,2991,5.982,0.6038861294694843,0.14505812784102337,1.0,175
powerlaw_cluster_c06,plc06_seed3,effective_high,"Effectiveness high (0.5, 0.9)",0,misinformation,25.98,0.02598,154.28,0.15428,112.23,0.11223000000000001,c06,3,6,1.0,0.6,20263656,20263656,v2/test_2/network/ba/ba1000/comm.csv,v2/test_2/network/network-plc06_seed3.toml,v2/test_2/network/powerlaw_cluster_c06/plc06_seed3/edgelist.txt,v2/test_2/network/powerlaw_cluster_c06/plc06_seed3/comm.csv,1000,2991,5.982,0.6038861294694843,0.14505812784102337,1.0,175
powerlaw_cluster_c06,plc06_seed3,effective_high,"Effectiveness high (0.5, 0.9)",1,corrective,108.97,0.10897,609.53,0.60953,445.55,0.44555,c06,3,6,1.0,0.6,20263656,20263656,v2/test_2/network/ba/ba1000/comm.csv,v2/test_2/network/network-plc06_seed3.toml,v2/test_2/network/powerlaw_cluster_c06/plc06_seed3/edgelist.txt,v2/test_2/network/powerlaw_cluster_c06/plc06_seed3/comm.csv,1000,2991,5.982,0.6038861294694843,0.14505812784102337,1.0,175
powerlaw_cluster_c06,plc06_seed3,effective_high,"Effectiveness high (0.5, 0.9)",2,observational,6.166666666666667,0.0061666666666666675,36.5,0.0365,26.333333333333332,0.026333333333333334,c06,3,6,1.0,0.6,20263656,20263656,v2/test_2/network/ba/ba1000/comm.csv,v2/test_2/network/network-plc06_seed3.toml,v2/test_2/network/powerlaw_cluster_c06/plc06_seed3/edgelist.txt,v2/test_2/network/powerlaw_cluster_c06/plc06_seed3/comm.csv,1000,2991,5.982,0.6038861294694843,0.14505812784102337,1.0,175
powerlaw_cluster_c06,plc06_seed3,effective_high,"Effectiveness high (0.5, 0.9)",3,behavior-guiding,20.67,0.02067,246.75,0.24675,217.28,0.21728,c06,3,6,1.0,0.6,20263656,20263656,v2/test_2/network/ba/ba1000/comm.csv,v2/test_2/network/network-plc06_seed3.toml,v2/test_2/network/powerlaw_cluster_c06/plc06_seed3/edgelist.txt,v2/test_2/network/powerlaw_cluster_c06/plc06_seed3/comm.csv,1000,2991,5.982,0.6038861294694843,0.14505812784102337,1.0,175
