network,method,rep,sampler_seed,best_auc,certainty,effectiveness,final_selfish_ratio,peak_selfish_ratio,final_window_selfish_mean,summary_path,run_dir
Facebook,GA,optseed1,4204,0.01605280729067919,0.9431253830044102,0.9814868532480305,4.456548650656103e-05,0.06835107699925723,0.0003334158620120492,/Users/sota/projects/cap-sn/experiments/optimization_facebook/optimize_runs_auc_20260618/ga_optseed1/logs/summary_ga.json,/Users/sota/projects/cap-sn/experiments/optimization_facebook/optimize_runs_auc_20260618/ga_optseed1
Facebook,GA,optseed2,5204,0.016144870786280335,0.5977572336929518,0.9785937410385916,5.69447883139391e-05,0.06831641495419659,0.00035466699678138156,/Users/sota/projects/cap-sn/experiments/optimization_facebook/optimize_runs_auc_20260618/ga_optseed2/logs/summary_ga.json,/Users/sota/projects/cap-sn/experiments/optimization_facebook/optimize_runs_auc_20260618/ga_optseed2
Facebook,GA,optseed3,6204,0.015943729611114704,0.5876116589372055,0.9756942779752106,4.7041346868036646e-05,0.06832631839564249,0.00031732276966245766,/Users/sota/projects/cap-sn/experiments/optimization_facebook/optimize_runs_auc_20260618/ga_optseed3/logs/summary_ga.json,/Users/sota/projects/cap-sn/experiments/optimization_facebook/optimize_runs_auc_20260618/ga_optseed3
Facebook,GPR,optseed1,4201,0.015883261853573492,0.8389744476379342,0.9810324059741475,5.69447883139391e-05,0.06835107699925723,0.0003226871337789882,/Users/sota/projects/cap-sn/experiments/optimization_facebook/optimize_runs_auc_20260618/gpr_optseed1/logs/summary_gpr.json,/Users/sota/projects/cap-sn/experiments/optimization_facebook/optimize_runs_auc_20260618/gpr_optseed1
Facebook,GPR,optseed2,5201,0.015883549311318988,0.913448123651761,0.979802502819179,5.69447883139391e-05,0.06835107699925723,0.0003251629941404638,/Users/sota/projects/cap-sn/experiments/optimization_facebook/optimize_runs_auc_20260618/gpr_optseed2/logs/summary_gpr.json,/Users/sota/projects/cap-sn/experiments/optimization_facebook/optimize_runs_auc_20260618/gpr_optseed2
Facebook,GPR,optseed3,6201,0.01587470021502958,0.8665894392594478,0.9800033301469775,5.199306759098786e-05,0.06835107699925723,0.00031525955269456137,/Users/sota/projects/cap-sn/experiments/optimization_facebook/optimize_runs_auc_20260618/gpr_optseed3/logs/summary_gpr.json,/Users/sota/projects/cap-sn/experiments/optimization_facebook/optimize_runs_auc_20260618/gpr_optseed3
Facebook,RANDOM,optseed1,4203,0.01592613806252469,0.631104415406682,0.9756368819026089,5.446892795246349e-05,0.06832631839564249,0.00034104976479326567,/Users/sota/projects/cap-sn/experiments/optimization_facebook/optimize_runs_auc_20260618/random_optseed1/logs/summary_random.json,/Users/sota/projects/cap-sn/experiments/optimization_facebook/optimize_runs_auc_20260618/random_optseed1
Facebook,RANDOM,optseed2,5203,0.016160549638412302,0.8686810774311124,0.9759745560174047,6.437236939836593e-05,0.06831889081455805,0.00038726582487414373,/Users/sota/projects/cap-sn/experiments/optimization_facebook/optimize_runs_auc_20260618/random_optseed2/logs/summary_random.json,/Users/sota/projects/cap-sn/experiments/optimization_facebook/optimize_runs_auc_20260618/random_optseed2
Facebook,RANDOM,optseed3,6203,0.016124442905963366,0.8083749110055165,0.9133026445702679,5.9420648675414704e-05,0.06863332508046546,0.00031835437814640587,/Users/sota/projects/cap-sn/experiments/optimization_facebook/optimize_runs_auc_20260618/random_optseed3/logs/summary_random.json,/Users/sota/projects/cap-sn/experiments/optimization_facebook/optimize_runs_auc_20260618/random_optseed3
Wiki-vote,CMAES,optseed1,4202,0.006203045793370527,0.8226521169513068,0.9500463111120522,1.4054813773717497e-05,0.03034574841883345,9.697821503865074e-05,/Users/sota/projects/cap-sn/experiments/optimization_wiki_vote/optimize_runs_auc_20260618/cmaes_optseed1/logs/summary_cmaes.json,/Users/sota/projects/cap-sn/experiments/optimization_wiki_vote/optimize_runs_auc_20260618/cmaes_optseed1
