network,spearman_certainty_auc,spearman_effectiveness_auc,spearman_certainty_peak,spearman_effectiveness_peak
BA1000,0.18378805185250016,-0.9430662755539309,0.170524656192829,-0.8991839691095208
Facebook,-0.05393864249049866,-0.5203280201631191,-0.0037983043332700016,-0.7682508499436607
Wiki-vote,-0.19031361493008425,-0.8795065427368944,-0.16864350403584166,-0.9124186131926252
