network,intercept,certainty_slope_z,effectiveness_slope_z,r2
BA1000,0.021530541073411666,1.4083194819229133e-05,-0.0007488076252649709,0.905935614699379
Facebook,0.016508399836912963,-1.5932185324361583e-05,-0.00011644321163688583,0.22445831746471923
Wiki-vote,0.006577731605988748,-1.3782327616265898e-05,-0.00028824797554213556,0.906378837386272
