network,method,rep,sampler_seed,best_auc,certainty,effectiveness,info_label,info_name,mean_total_shared_ratio,mean_total_viewed_ratio,mean_total_fst_viewed_ratio,total_agents,run_dir
BA1000,CMAES,optseed3,6202,0.020403891454735493,0.8763686440694214,0.9424193053760803,1,corrective,0.80345,9.38214,5.585520000000001,1000,/Users/sota/projects/cap-sn/experiments/optimization_ba1000/optimize_runs_auc_20260618/cmaes_optseed3
BA1000,CMAES,optseed3,6202,0.020403891454735493,0.8763686440694214,0.9424193053760803,2,observational,0.07157,0.7135499999999999,0.21727000000000002,1000,/Users/sota/projects/cap-sn/experiments/optimization_ba1000/optimize_runs_auc_20260618/cmaes_optseed3
BA1000,CMAES,optseed3,6202,0.020403891454735493,0.8763686440694214,0.9424193053760803,3,behavior-guiding,0.12174,1.7766099999999998,1.51297,1000,/Users/sota/projects/cap-sn/experiments/optimization_ba1000/optimize_runs_auc_20260618/cmaes_optseed3
BA1000,RANDOM,optseed1,4203,0.02065905485888381,0.9125765842116024,0.999308877036269,0,misinformation,0.44192000000000004,4.77421,2.4523200000000003,1000,/Users/sota/projects/cap-sn/experiments/optimization_ba1000/optimize_runs_auc_20260618/random_optseed1
BA1000,RANDOM,optseed1,4203,0.02065905485888381,0.9125765842116024,0.999308877036269,1,corrective,0.74126,8.65541,5.31008,1000,/Users/sota/projects/cap-sn/experiments/optimization_ba1000/optimize_runs_auc_20260618/random_optseed1
BA1000,RANDOM,optseed1,4203,0.02065905485888381,0.9125765842116024,0.999308877036269,2,observational,0.05631,0.5610700000000001,0.16341,1000,/Users/sota/projects/cap-sn/experiments/optimization_ba1000/optimize_runs_auc_20260618/random_optseed1
BA1000,RANDOM,optseed1,4203,0.02065905485888381,0.9125765842116024,0.999308877036269,3,behavior-guiding,0.11438,1.6999600000000001,1.46042,1000,/Users/sota/projects/cap-sn/experiments/optimization_ba1000/optimize_runs_auc_20260618/random_optseed1
BA1000,RANDOM,optseed2,5203,0.020719543028265165,0.9516738993258589,0.9615834263354199,0,misinformation,0.44129,4.754560000000001,2.44689,1000,/Users/sota/projects/cap-sn/experiments/optimization_ba1000/optimize_runs_auc_20260618/random_optseed2
BA1000,RANDOM,optseed2,5203,0.020719543028265165,0.9516738993258589,0.9615834263354199,1,corrective,0.79386,9.31283,5.57715,1000,/Users/sota/projects/cap-sn/experiments/optimization_ba1000/optimize_runs_auc_20260618/random_optseed2
BA1000,RANDOM,optseed2,5203,0.020719543028265165,0.9516738993258589,0.9615834263354199,2,observational,0.061939999999999995,0.62097,0.19365000000000002,1000,/Users/sota/projects/cap-sn/experiments/optimization_ba1000/optimize_runs_auc_20260618/random_optseed2
BA1000,RANDOM,optseed2,5203,0.020719543028265165,0.9516738993258589,0.9615834263354199,3,behavior-guiding,0.12057,1.76331,1.50528,1000,/Users/sota/projects/cap-sn/experiments/optimization_ba1000/optimize_runs_auc_20260618/random_optseed2
BA1000,RANDOM,optseed3,6203,0.020399520284282283,0.7344178064169626,0.9962733074400119,0,misinformation,0.44287,4.77391,2.45201,1000,/Users/sota/projects/cap-sn/experiments/optimization_ba1000/optimize_runs_auc_20260618/random_optseed3
BA1000,RANDOM,optseed3,6203,0.020399520284282283,0.7344178064169626,0.9962733074400119,1,corrective,0.71899,8.45875,5.23675,1000,/Users/sota/projects/cap-sn/experiments/optimization_ba1000/optimize_runs_auc_20260618/random_optseed3
BA1000,RANDOM,optseed3,6203,0.020399520284282283,0.7344178064169626,0.9962733074400119,2,observational,0.04683,0.46526999999999996,0.1432,1000,/Users/sota/projects/cap-sn/experiments/optimization_ba1000/optimize_runs_auc_20260618/random_optseed3
BA1000,RANDOM,optseed3,6203,0.020399520284282283,0.7344178064169626,0.9962733074400119,3,behavior-guiding,0.11535,1.71333,1.46908,1000,/Users/sota/projects/cap-sn/experiments/optimization_ba1000/optimize_runs_auc_20260618/random_optseed3
BA1000,GA,optseed1,4204,0.020358920770577892,0.6643557128025611,0.9972081992056128,0,misinformation,0.44348000000000004,4.780279999999999,2.4547600000000003,1000,/Users/sota/projects/cap-sn/experiments/optimization_ba1000/optimize_runs_auc_20260618/ga_optseed1
BA1000,GA,optseed1,4204,0.020358920770577892,0.6643557128025611,0.9972081992056128,1,corrective,0.7703,9.01979,5.44475,1000,/Users/sota/projects/cap-sn/experiments/optimization_ba1000/optimize_runs_auc_20260618/ga_optseed1
BA1000,GA,optseed1,4204,0.020358920770577892,0.6643557128025611,0.9972081992056128,2,observational,0.06323,0.62561,0.18993000000000002,1000,/Users/sota/projects/cap-sn/experiments/optimization_ba1000/optimize_runs_auc_20260618/ga_optseed1
BA1000,GA,optseed1,4204,0.020358920770577892,0.6643557128025611,0.9972081992056128,3,behavior-guiding,0.11566,1.71502,1.47037,1000,/Users/sota/projects/cap-sn/experiments/optimization_ba1000/optimize_runs_auc_20260618/ga_optseed1
BA1000,GA,optseed2,5204,0.020635281452863485,0.9016987430635597,0.9980866952781604,0,misinformation,0.44344,4.788069999999999,2.45612,1000,/Users/sota/projects/cap-sn/experiments/optimization_ba1000/optimize_runs_auc_20260618/ga_optseed2
BA1000,GA,optseed2,5204,0.020635281452863485,0.9016987430635597,0.9980866952781604,1,corrective,0.71129,8.30298,5.17859,1000,/Users/sota/projects/cap-sn/experiments/optimization_ba1000/optimize_runs_auc_20260618/ga_optseed2
BA1000,GA,optseed2,5204,0.020635281452863485,0.9016987430635597,0.9980866952781604,2,observational,0.05024,0.5009100000000001,0.14546,1000,/Users/sota/projects/cap-sn/experiments/optimization_ba1000/optimize_runs_auc_20260618/ga_optseed2
BA1000,GA,optseed2,5204,0.020635281452863485,0.9016987430635597,0.9980866952781604,3,behavior-guiding,0.11467000000000001,1.70594,1.46487,1000,/Users/sota/projects/cap-sn/experiments/optimization_ba1000/optimize_runs_auc_20260618/ga_optseed2
BA1000,GA,optseed3,6204,0.020696043787438913,0.6465741671410578,0.9938563646681787,0,misinformation,0.44162,4.760140000000001,2.4470300000000003,1000,/Users/sota/projects/cap-sn/experiments/optimization_ba1000/optimize_runs_auc_20260618/ga_optseed3
BA1000,GA,optseed3,6204,0.020696043787438913,0.6465741671410578,0.9938563646681787,1,corrective,0.7411599999999999,8.69199,5.31937,1000,/Users/sota/projects/cap-sn/experiments/optimization_ba1000/optimize_runs_auc_20260618/ga_optseed3
BA1000,GA,optseed3,6204,0.020696043787438913,0.6465741671410578,0.9938563646681787,2,observational,0.053399999999999996,0.53022,0.16171000000000002,1000,/Users/sota/projects/cap-sn/experiments/optimization_ba1000/optimize_runs_auc_20260618/ga_optseed3
BA1000,GA,optseed3,6204,0.020696043787438913,0.6465741671410578,0.9938563646681787,3,behavior-guiding,0.11686,1.72952,1.48073,1000,/Users/sota/projects/cap-sn/experiments/optimization_ba1000/optimize_runs_auc_20260618/ga_optseed3
Facebook,GPR,optseed1,4201,0.015883261853573492,0.8389744476379342,0.9810324059741475,0,misinformation,0.34755880168358505,9.099475117603367,2.172512998266898,4039,/Users/sota/projects/cap-sn/experiments/optimization_facebook/optimize_runs_auc_20260618/gpr_optseed1
Facebook,GPR,optseed1,4201,0.015883261853573492,0.8389744476379342,0.9810324059741475,1,corrective,0.35749938103490964,9.241262688784353,3.5349442931418666,4039,/Users/sota/projects/cap-sn/experiments/optimization_facebook/optimize_runs_auc_20260618/gpr_optseed1
Facebook,GPR,optseed1,4201,0.015883261853573492,0.8389744476379342,0.9810324059741475,2,observational,0.08807625649913345,2.3134637286457043,0.2599752413963852,4039,/Users/sota/projects/cap-sn/experiments/optimization_facebook/optimize_runs_auc_20260618/gpr_optseed1
Facebook,GPR,optseed1,4201,0.015883261853573492,0.8389744476379342,0.9810324059741475,3,behavior-guiding,0.2295642485763803,8.005164644714037,2.1389452834860117,4039,/Users/sota/projects/cap-sn/experiments/optimization_facebook/optimize_runs_auc_20260618/gpr_optseed1
Facebook,GPR,optseed2,5201,0.015883549311318988,0.913448123651761,0.979802502819179,0,misinformation,0.34758356028719983,9.097499381034911,2.1733745976726913,4039,/Users/sota/projects/cap-sn/experiments/optimization_facebook/optimize_runs_auc_20260618/gpr_optseed2
Facebook,GPR,optseed2,5201,0.015883549311318988,0.913448123651761,0.979802502819179,1,corrective,0.3502822480812082,8.982817529091358,3.439405793513246,4039,/Users/sota/projects/cap-sn/experiments/optimization_facebook/optimize_runs_auc_20260618/gpr_optseed2
Facebook,GPR,optseed2,5201,0.015883549311318988,0.913448123651761,0.979802502819179,2,observational,0.0877568705125031,2.306189650903689,0.25893538004456546,4039,/Users/sota/projects/cap-sn/experiments/optimization_facebook/optimize_runs_auc_20260618/gpr_optseed2
Facebook,GPR,optseed2,5201,0.015883549311318988,0.913448123651761,0.979802502819179,3,behavior-guiding,0.2296261450854172,8.013832631839565,2.1384451596929934,4039,/Users/sota/projects/cap-sn/experiments/optimization_facebook/optimize_runs_auc_20260618/gpr_optseed2
Facebook,GPR,optseed3,6201,0.01587470021502958,0.8665894392594478,0.9800033301469775,0,misinformation,0.3475464223817777,9.09662787818767,2.173327556325823,4039,/Users/sota/projects/cap-sn/experiments/optimization_facebook/optimize_runs_auc_20260618/gpr_optseed3
Facebook,GPR,optseed3,6201,0.01587470021502958,0.8665894392594478,0.9800033301469775,1,corrective,0.35620945778658086,9.166095568209952,3.480552116860609,4039,/Users/sota/projects/cap-sn/experiments/optimization_facebook/optimize_runs_auc_20260618/gpr_optseed3
Facebook,GPR,optseed3,6201,0.01587470021502958,0.8665894392594478,0.9800033301469775,2,observational,0.08730378806635306,2.300675909878683,0.2577172567467195,4039,/Users/sota/projects/cap-sn/experiments/optimization_facebook/optimize_runs_auc_20260618/gpr_optseed3
Facebook,GPR,optseed3,6201,0.01587470021502958,0.8665894392594478,0.9800033301469775,3,behavior-guiding,0.2296657588512008,8.015964347610794,2.1387620698192618,4039,/Users/sota/projects/cap-sn/experiments/optimization_facebook/optimize_runs_auc_20260618/gpr_optseed3
Facebook,CMAES,optseed1,4202,0.01590815369107404,0.8746874477976772,0.9798219331820199,0,misinformation,0.3474969051745481,9.097078484773458,2.1731418667987126,4039,/Users/sota/projects/cap-sn/experiments/optimization_facebook/optimize_runs_auc_20260618/cmaes_optseed1
Facebook,CMAES,optseed1,4202,0.01590815369107404,0.8746874477976772,0.9798219331820199,1,corrective,0.35558801683585045,9.149492448625898,3.4783733597425104,4039,/Users/sota/projects/cap-sn/experiments/optimization_facebook/optimize_runs_auc_20260618/cmaes_optseed1
Facebook,CMAES,optseed1,4202,0.01590815369107404,0.8746874477976772,0.9798219331820199,2,observational,0.08754147066105471,2.304746224312949,0.25947511760336717,4039,/Users/sota/projects/cap-sn/experiments/optimization_facebook/optimize_runs_auc_20260618/cmaes_optseed1
Facebook,CMAES,optseed1,4202,0.01590815369107404,0.8746874477976772,0.9798219331820199,3,behavior-guiding,0.22969051745481556,8.014025748947759,2.1387249319138397,4039,/Users/sota/projects/cap-sn/experiments/optimization_facebook/optimize_runs_auc_20260618/cmaes_optseed1
Facebook,CMAES,optseed2,5202,0.015962126113394107,0.7244932174032341,0.9140065017371292,0,misinformation,0.3468011884129735,9.12477841049765,2.164565486506561,4039,/Users/sota/projects/cap-sn/experiments/optimization_facebook/optimize_runs_auc_20260618/cmaes_optseed2
Facebook,CMAES,optseed2,5202,0.015962126113394107,0.7244932174032341,0.9140065017371292,1,corrective,0.34178261946026245,8.79736816043575,3.4284253528101014,4039,/Users/sota/projects/cap-sn/experiments/optimization_facebook/optimize_runs_auc_20260618/cmaes_optseed2
Facebook,CMAES,optseed2,5202,0.015962126113394107,0.7244932174032341,0.9140065017371292,2,observational,0.08366179747462243,2.1773582569943057,0.2430032186184699,4039,/Users/sota/projects/cap-sn/experiments/optimization_facebook/optimize_runs_auc_20260618/cmaes_optseed2
Facebook,CMAES,optseed2,5202,0.015962126113394107,0.7244932174032341,0.9140065017371292,3,behavior-guiding,0.2326169844020797,8.04493438970042,2.160618965090369,4039,/Users/sota/projects/cap-sn/experiments/optimization_facebook/optimize_runs_auc_20260618/cmaes_optseed2
Facebook,CMAES,optseed3,6202,0.016021071390654833,0.7249213778196084,0.9125679562183772,0,misinformation,0.34690022282743255,9.120579351324585,2.1651695964347613,4039,/Users/sota/projects/cap-sn/experiments/optimization_facebook/optimize_runs_auc_20260618/cmaes_optseed3
Facebook,CMAES,optseed3,6202,0.016021071390654833,0.7249213778196084,0.9125679562183772,1,corrective,0.3397301312205992,8.695498885862838,3.3834067838573905,4039,/Users/sota/projects/cap-sn/experiments/optimization_facebook/optimize_runs_auc_20260618/cmaes_optseed3
Facebook,CMAES,optseed3,6202,0.016021071390654833,0.7249213778196084,0.9125679562183772,2,observational,0.08872493191384007,2.2903466204506064,0.25647437484525876,4039,/Users/sota/projects/cap-sn/experiments/optimization_facebook/optimize_runs_auc_20260618/cmaes_optseed3
Facebook,CMAES,optseed3,6202,0.016021071390654833,0.7249213778196084,0.9125679562183772,3,behavior-guiding,0.23180242634315423,8.028650656102997,2.155340430799703,4039,/Users/sota/projects/cap-sn/experiments/optimization_facebook/optimize_runs_auc_20260618/cmaes_optseed3
Facebook,RANDOM,optseed1,4203,0.01592613806252469,0.631104415406682,0.9756368819026089,0,misinformation,0.3474820500123793,9.10323842535281,2.1734488734835353,4039,/Users/sota/projects/cap-sn/experiments/optimization_facebook/optimize_runs_auc_20260618/random_optseed1
Facebook,RANDOM,optseed1,4203,0.01592613806252469,0.631104415406682,0.9756368819026089,1,corrective,0.3394751176033672,8.62620698192622,3.3615300817033917,4039,/Users/sota/projects/cap-sn/experiments/optimization_facebook/optimize_runs_auc_20260618/random_optseed1
Facebook,RANDOM,optseed1,4203,0.01592613806252469,0.631104415406682,0.9756368819026089,2,observational,0.09009903441445903,2.3051621688536765,0.26258232235701906,4039,/Users/sota/projects/cap-sn/experiments/optimization_facebook/optimize_runs_auc_20260618/random_optseed1
Facebook,RANDOM,optseed1,4203,0.01592613806252469,0.631104415406682,0.9756368819026089,3,behavior-guiding,0.2311785095320624,8.043396880415944,2.145845506313444,4039,/Users/sota/projects/cap-sn/experiments/optimization_facebook/optimize_runs_auc_20260618/random_optseed1
Facebook,RANDOM,optseed2,5203,0.016160549638412302,0.8686810774311124,0.9759745560174047,0,misinformation,0.3476553602376826,9.111374102500617,2.1741916315919783,4039,/Users/sota/projects/cap-sn/experiments/optimization_facebook/optimize_runs_auc_20260618/random_optseed2
Facebook,RANDOM,optseed2,5203,0.016160549638412302,0.8686810774311124,0.9759745560174047,1,corrective,0.34390443179004704,8.782000495172072,3.3909135924733844,4039,/Users/sota/projects/cap-sn/experiments/optimization_facebook/optimize_runs_auc_20260618/random_optseed2
Facebook,RANDOM,optseed2,5203,0.016160549638412302,0.8686810774311124,0.9759745560174047,2,observational,0.08447140381282496,2.208460014855162,0.2468110918544194,4039,/Users/sota/projects/cap-sn/experiments/optimization_facebook/optimize_runs_auc_20260618/random_optseed2
Facebook,RANDOM,optseed2,5203,0.016160549638412302,0.8686810774311124,0.9759745560174047,3,behavior-guiding,0.23085664768507055,8.037826194602625,2.1442089626145084,4039,/Users/sota/projects/cap-sn/experiments/optimization_facebook/optimize_runs_auc_20260618/random_optseed2
Facebook,RANDOM,optseed3,6203,0.016124442905963366,0.8083749110055165,0.9133026445702679,0,misinformation,0.34670215399851445,9.120893785590493,2.1643426590740282,4039,/Users/sota/projects/cap-sn/experiments/optimization_facebook/optimize_runs_auc_20260618/random_optseed3
Facebook,RANDOM,optseed3,6203,0.016124442905963366,0.8083749110055165,0.9133026445702679,1,corrective,0.33329784600148554,8.515243872245605,3.3633721218123296,4039,/Users/sota/projects/cap-sn/experiments/optimization_facebook/optimize_runs_auc_20260618/random_optseed3
Facebook,RANDOM,optseed3,6203,0.016124442905963366,0.8083749110055165,0.9133026445702679,2,observational,0.08126516464471405,2.104372369398366,0.23536518940331766,4039,/Users/sota/projects/cap-sn/experiments/optimization_facebook/optimize_runs_auc_20260618/random_optseed3
Facebook,RANDOM,optseed3,6203,0.016124442905963366,0.8083749110055165,0.9133026445702679,3,behavior-guiding,0.23265412230750188,8.046385243872246,2.1607576132706114,4039,/Users/sota/projects/cap-sn/experiments/optimization_facebook/optimize_runs_auc_20260618/random_optseed3
Facebook,GA,optseed1,4204,0.01605280729067919,0.9431253830044102,0.9814868532480305,0,misinformation,0.3476405050755137,9.102562515474128,2.172720970537262,4039,/Users/sota/projects/cap-sn/experiments/optimization_facebook/optimize_runs_auc_20260618/ga_optseed1
Facebook,GA,optseed1,4204,0.01605280729067919,0.9431253830044102,0.9814868532480305,1,corrective,0.3567491953453825,9.189836593216143,3.52810349096311,4039,/Users/sota/projects/cap-sn/experiments/optimization_facebook/optimize_runs_auc_20260618/ga_optseed1
Facebook,GA,optseed1,4204,0.01605280729067919,0.9431253830044102,0.9814868532480305,2,observational,0.0877444912106957,2.3082594701658827,0.2588091111661302,4039,/Users/sota/projects/cap-sn/experiments/optimization_facebook/optimize_runs_auc_20260618/ga_optseed1
Facebook,GA,optseed1,4204,0.01605280729067919,0.9431253830044102,0.9814868532480305,3,behavior-guiding,0.22939589007179995,7.993500866551127,2.1372196088140627,4039,/Users/sota/projects/cap-sn/experiments/optimization_facebook/optimize_runs_auc_20260618/ga_optseed1
