trial,state,auc,score_metric,replicate_label,sampler_seed,certainty,effectiveness,final_selfish_ratio,normalized_selfish_auc,peak_selfish_ratio,final_window_selfish_mean,n_rows,n_iter,mean_n_steps,min_n_steps,max_n_steps,mean_t_max,min_t_max,max_t_max,score_failed,trial_elapsed_sec,simulation_elapsed_sec,score_elapsed_sec,network,method,rep,run_dir,best_so_far,certainty_bin,effectiveness_bin,certainty_mid,effectiveness_mid
11,TrialState.COMPLETE,0.0062092914128605,auc,optseed2,5203,0.6291935727341351,0.9725070789678234,2.6704146170063247e-05,0.0062092914128605,0.030196767392832,0.0001068165846802,1511,100,15.11,10,26,14.11,9,25,False,21.642892987001687,21.574551003985107,0.0215466800145804,Wiki-vote,RANDOM,optseed2,/Users/sota/projects/cap-sn/experiments/optimization_wiki_vote/optimize_runs_auc_20260618/random_optseed2,0.0061672242559197,"(0.6, 0.65]","(0.95, 1.0]",0.625,0.975
64,TrialState.COMPLETE,0.0062095643480356,auc,optseed1,4201,1.0,0.9577019120116064,2.2487702037948e-05,0.0062095643480356,0.0303162333099086,9.041930194424924e-05,1496,100,14.96,10,26,13.96,9,25,False,23.23987027106341,22.831822783104144,0.0117044750368222,Wiki-vote,GPR,optseed1,/Users/sota/projects/cap-sn/experiments/optimization_wiki_vote/optimize_runs_auc_20260618/gpr_optseed1,0.0062095643480356,"(0.95, 1.0]","(0.95, 1.0]",0.975,0.975
98,TrialState.COMPLETE,0.0062100860755703,auc,optseed3,6202,0.948540937851738,0.9534057271092647,2.2487702037947995e-05,0.0062100860755703,0.0302642304989458,9.1824783321621e-05,1474,100,14.74,10,26,13.74,9,25,False,21.91724029497709,21.846137640997767,0.017296339967288,Wiki-vote,CMAES,optseed3,/Users/sota/projects/cap-sn/experiments/optimization_wiki_vote/optimize_runs_auc_20260618/cmaes_optseed3,0.0062100860755703,"(0.9, 0.95]","(0.95, 1.0]",0.925,0.975
51,TrialState.COMPLETE,0.0062113655700647,auc,optseed1,4204,0.7844052045869854,0.953602872833816,1.827125790583275e-05,0.0062113655700647,0.0302656359803232,9.463574607636448e-05,1489,100,14.89,9,25,13.89,8,24,False,21.78637180896476,21.72283918200992,0.0120835399720817,Wiki-vote,GA,optseed1,/Users/sota/projects/cap-sn/experiments/optimization_wiki_vote/optimize_runs_auc_20260618/ga_optseed1,0.0062113655700647,"(0.75, 0.8]","(0.95, 1.0]",0.775,0.975
41,TrialState.COMPLETE,0.0062131986428378,auc,optseed3,6202,0.947158804419561,0.9531932924568308,2.108222066057625e-05,0.0062131986428378,0.030257203092059,9.697821503865076e-05,1473,100,14.73,10,29,13.73,9,28,False,21.91595682001207,21.84803639398888,0.0171612380072474,Wiki-vote,CMAES,optseed3,/Users/sota/projects/cap-sn/experiments/optimization_wiki_vote/optimize_runs_auc_20260618/cmaes_optseed3,0.0062131986428378,"(0.9, 0.95]","(0.95, 1.0]",0.925,0.975
98,TrialState.COMPLETE,0.0062134409711643,auc,optseed3,6204,0.7146249446067194,0.9504698599740268,1.546029515108925e-05,0.0062134409711643,0.030344342937456,0.0001044741157179,1467,100,14.67,10,23,13.67,9,22,False,20.683935364941135,20.60984793608077,0.0186795969493687,Wiki-vote,GA,optseed3,/Users/sota/projects/cap-sn/experiments/optimization_wiki_vote/optimize_runs_auc_20260618/ga_optseed3,0.0062083862010582,"(0.7, 0.75]","(0.95, 1.0]",0.725,0.975
83,TrialState.COMPLETE,0.0062140158504946,auc,optseed2,5202,0.8034451058651868,0.9948800023651512,2.389318341531975e-05,0.0062140158504946,0.0302389318341531,9.323026469899272e-05,1520,100,15.2,10,25,14.2,9,24,False,22.46645901899319,22.393654464976866,0.0172417600406333,Wiki-vote,CMAES,optseed2,/Users/sota/projects/cap-sn/experiments/optimization_wiki_vote/optimize_runs_auc_20260618/cmaes_optseed2,0.0061942959880151,"(0.8, 0.85]","(0.95, 1.0]",0.825,0.975
7,TrialState.COMPLETE,0.0062142707869423,auc,optseed1,4203,0.9348749770850072,0.9528349910031864,1.6865776528460998e-05,0.0062142707869423,0.0302586085734364,9.416725228390723e-05,1480,100,14.8,10,29,13.8,9,28,False,21.932670064037666,21.862760154064745,0.0189856600482016,Wiki-vote,RANDOM,optseed1,/Users/sota/projects/cap-sn/experiments/optimization_wiki_vote/optimize_runs_auc_20260618/random_optseed1,0.0062142707869423,"(0.9, 0.95]","(0.95, 1.0]",0.925,0.975
79,TrialState.COMPLETE,0.0062157629341176,auc,optseed2,5201,1.0,0.993308964320389,2.9515108924806747e-05,0.0062157629341176,0.0301658468025298,0.000126024830171,1525,100,15.25,10,27,14.25,9,26,False,23.373820972978137,22.61954422306735,0.0117598559008911,Wiki-vote,GPR,optseed2,/Users/sota/projects/cap-sn/experiments/optimization_wiki_vote/optimize_runs_auc_20260618/gpr_optseed2,0.0062157629341176,"(0.95, 1.0]","(0.95, 1.0]",0.975,0.975
5,TrialState.COMPLETE,0.0062167474365688,auc,optseed3,6204,0.9276672979082008,0.9496582275092168,1.4054813773717496e-05,0.0062167474365688,0.030344342937456,9.83836964160225e-05,1452,100,14.52,10,26,13.52,9,25,False,20.935682831914164,20.866280938033015,0.0189523000735789,Wiki-vote,GA,optseed3,/Users/sota/projects/cap-sn/experiments/optimization_wiki_vote/optimize_runs_auc_20260618/ga_optseed3,0.0062167474365688,"(0.9, 0.95]","(0.9, 0.95]",0.925,0.925
