trial,state,value,certainty,effectiveness,trial_elapsed_sec,simulation_elapsed_sec,score_elapsed_sec
0,TrialState.COMPLETE,5.446892795246348e-05,0.6872700594236812,0.9753571532049581,33.83490350196371,33.81587262300309,0.00566513801459223
1,TrialState.COMPLETE,4.951720722951226e-05,0.8659969709057025,0.7993292420985183,34.10801988001913,34.089694108988624,0.004080648999661207
2,TrialState.COMPLETE,5.199306759098787e-05,0.5780093202212182,0.5779972601681014,33.9298691250151,33.913477708003484,0.004620835010427982
3,TrialState.COMPLETE,4.951720722951226e-05,0.5290418060840998,0.9330880728874675,35.011380597017705,34.99504385999171,0.00293355603935197
4,TrialState.COMPLETE,4.7041346868036646e-05,0.8005575058716043,0.8540362888980227,34.42260609799996,34.40463073202409,0.004599514999426901
5,TrialState.COMPLETE,5.69447883139391e-05,0.5102922471479012,0.9849549260809971,35.276222075975966,35.26055870699929,0.003863086982164532
6,TrialState.COMPLETE,2.9710324337707352e-05,0.9162213204002109,0.6061695553391381,35.15225399303017,35.13555448199622,0.004285230999812484
7,TrialState.COMPLETE,2.475860361475613e-05,0.5909124836035503,0.5917022549267169,34.80202399601694,34.78662626998266,0.0029503460391424596
8,TrialState.COMPLETE,5.446892795246348e-05,0.6521211214797689,0.762378215816119,35.036070034024306,35.02061331801815,0.0038487359997816384
9,TrialState.COMPLETE,4.951720722951226e-05,0.7159725093210578,0.645614570099021,35.28720221796539,35.270522476988845,0.004497894027736038
10,TrialState.COMPLETE,6.437236939836594e-05,0.9329600455921765,0.5780079521760846,34.90137972199591,34.3637341990252,0.0034527209936641157
11,TrialState.COMPLETE,3.466204506065858e-05,0.5864444151659616,0.5708427793454017,35.51711273600813,35.26773875404615,0.002990956010762602
12,TrialState.COMPLETE,1.733102253032929e-05,0.5809335802500349,0.5631692672834638,35.48915739997756,35.2480443760287,0.0031750890193507075
13,TrialState.COMPLETE,6.189650903689032e-05,0.5706537449130022,0.5451946959214248,34.87316686299164,34.62090643600095,0.00343696097843349
14,TrialState.COMPLETE,4.208962614508542e-05,0.587415979245068,0.575097967448018,34.75931952201063,34.54190876497887,0.0031014770502224565
15,TrialState.COMPLETE,4.456548650656103e-05,0.5875148029844763,0.5754681127851842,34.803971209039446,34.54187775403261,0.0032017379999160767
16,TrialState.COMPLETE,4.456548650656103e-05,0.5877641367911316,0.5756505277699626,34.434574281971436,34.17230906401528,0.003311030042823404
17,TrialState.COMPLETE,4.456548650656103e-05,0.5879758515942998,0.5758659008939536,35.303577984974254,35.017265576985665,0.003135098027996719
18,TrialState.COMPLETE,4.208962614508542e-05,0.5881614921651416,0.5760959079286883,34.83966485003475,34.57510443398496,0.003237588971387595
19,TrialState.COMPLETE,4.456548650656103e-05,0.5882735192081887,0.5765752481227041,34.58439999597613,34.32978418999119,0.0032066190033219755
20,TrialState.COMPLETE,3.9613765783609805e-05,0.5884332068463047,0.5767813186907653,34.721205473004375,34.38888288201997,0.003175457997713238
21,TrialState.COMPLETE,5.446892795246348e-05,0.5885478766988173,0.5775656856935989,34.28358351404313,34.005053189990576,0.003046586993150413
22,TrialState.COMPLETE,4.456548650656103e-05,0.5886124614274824,0.5756828879247582,34.95805070496863,34.679088986013085,0.0030271459836512804
23,TrialState.COMPLETE,4.456548650656103e-05,0.5887245484177581,0.576004063816246,34.356955318013206,34.05236893100664,0.0032320489990524948
24,TrialState.COMPLETE,4.7041346868036646e-05,0.5888347570137699,0.5763060037339212,34.21882543497486,33.93907224596478,0.0031072680139914155
25,TrialState.COMPLETE,3.9613765783609805e-05,0.5889054626940691,0.5763803628770012,34.13653233303921,33.857389562996104,0.003005145990755409
26,TrialState.COMPLETE,5.446892795246348e-05,0.5890521905384835,0.5769939282102476,34.467184484994505,34.18248635600321,0.0031944079673849046
27,TrialState.COMPLETE,4.456548650656103e-05,0.588868851586398,0.5757717244112341,34.53826050000498,34.31669394200435,0.0031379180145449936
28,TrialState.COMPLETE,4.456548650656103e-05,0.5889639664662052,0.5760845830434635,34.763798635976855,34.51653259899467,0.0030522869783453643
29,TrialState.COMPLETE,4.208962614508542e-05,0.5890571038452946,0.5763910718635611,34.65171281603398,34.379068953043316,0.0031497679883614182
30,TrialState.COMPLETE,4.208962614508542e-05,0.5891859528215817,0.5768409675700795,34.73202769400086,34.458448600023985,0.003052276966627687
31,TrialState.COMPLETE,5.199306759098787e-05,0.5893286686347159,0.5773540354140436,34.72280807298375,34.41938645002665,0.0030887670000083745
32,TrialState.COMPLETE,4.208962614508542e-05,0.5891424796377266,0.5764732921423871,34.85756117501296,34.57008632295765,0.003131527977529913
33,TrialState.COMPLETE,5.446892795246348e-05,0.5892756781668915,0.5769123581709465,34.66571564495098,34.39919984602602,0.003124877985101193
34,TrialState.COMPLETE,4.456548650656103e-05,0.5890169955288761,0.5759223894962658,35.032885866006836,34.764008957950864,0.003204049018677324
35,TrialState.COMPLETE,4.208962614508542e-05,0.5891005292887191,0.57621183478322,35.33882350899512,35.079698238987476,0.003158948034979403
36,TrialState.COMPLETE,4.456548650656103e-05,0.5892177530131719,0.5765938971759405,35.40481896302663,35.13031590799801,0.0031553080189041793
37,TrialState.COMPLETE,5.446892795246348e-05,0.5893019718418632,0.5768864224087927,34.281649481039494,33.998271279037,0.0031509179971180856
38,TrialState.COMPLETE,4.456548650656103e-05,0.5890598390610846,0.5759679437766053,34.74930610199226,34.45832848799182,0.0030301170190796256
39,TrialState.COMPLETE,4.456548650656103e-05,0.5891379681627851,0.5762509031824338,34.6058251139475,34.3410866369959,0.0035993329947814345
40,TrialState.COMPLETE,4.208962614508542e-05,0.5892173278296783,0.5765207869956036,34.73428686003899,34.43400645500515,0.0030762070091441274
41,TrialState.COMPLETE,5.446892795246348e-05,0.5893357314980725,0.5769390748913783,35.189707523968536,34.87342900596559,0.0030168360099196434
42,TrialState.COMPLETE,4.456548650656103e-05,0.5890982041316589,0.5760208195466514,34.769321831990965,34.45256889797747,0.003043636039365083
43,TrialState.COMPLETE,4.7041346868036646e-05,0.589172690135415,0.5762909586839451,34.987146725005005,34.71036827302305,0.0031128170085139573
44,TrialState.COMPLETE,4.208962614508542e-05,0.5892102383899428,0.5764479528495827,35.355860295007005,35.033375401981175,0.003141698020044714
45,TrialState.COMPLETE,3.9613765783609805e-05,0.5893161390141307,0.5768279403504788,34.829875832016114,34.5157188490266,0.0031157679622992873
46,TrialState.COMPLETE,5.199306759098787e-05,0.5894674535756139,0.5773900842973994,34.8045177370077,34.4873354070005,0.002929506008513272
47,TrialState.COMPLETE,4.456548650656103e-05,0.5892923503470737,0.5766283683512534,34.99761398101691,34.74269232095685,0.0030460659763775766
48,TrialState.COMPLETE,5.446892795246348e-05,0.5893684819880763,0.576906480042744,35.33069188101217,35.038560474000406,0.0032032980234362185
49,TrialState.COMPLETE,4.208962614508542e-05,0.5891350662214445,0.5760713835484627,35.193878784019034,34.888855030993,0.0029539359966292977
50,TrialState.COMPLETE,4.7041346868036646e-05,0.5892237781939645,0.5763384179646948,34.88471315201605,34.574671579001006,0.003318729985039681
51,TrialState.COMPLETE,4.208962614508542e-05,0.5892494676171586,0.5764873589131361,35.07728525000857,34.75874289503554,0.003502342035062611
52,TrialState.COMPLETE,4.456548650656103e-05,0.5893540811790345,0.5768383453232393,34.48519330198178,34.20951876201434,0.003062726987991482
53,TrialState.COMPLETE,5.199306759098787e-05,0.5894265793695735,0.5771219300213735,35.17345916898921,34.85644634102937,0.0030857580131851137
54,TrialState.COMPLETE,4.208962614508542e-05,0.5892766529751928,0.5765357073598777,34.88318502297625,34.55982398003107,0.0030529669602401555
55,TrialState.COMPLETE,5.446892795246348e-05,0.5893799495899199,0.5768855594814782,34.66215215198463,34.35075733298436,0.003036615962628275
56,TrialState.COMPLETE,4.208962614508542e-05,0.589155136044474,0.57609625749099,35.45002396800555,35.12057173100766,0.003016987000592053
57,TrialState.COMPLETE,4.7041346868036646e-05,0.589237866741793,0.5763437780276006,35.185139178007375,34.89691823901376,0.003100376983638853
58,TrialState.COMPLETE,4.208962614508542e-05,0.5892580717606244,0.5764818219155501,34.33903698204085,34.02499186998466,0.003105278010480106
