method,method_label,mean_final_selfish_ratio,max_final_selfish_ratio,peak_mean_selfish_ratio,mean_total_shared_ratio_misinformation,mean_total_viewed_ratio_misinformation,mean_total_shared_ratio_corrective,mean_total_viewed_ratio_corrective,mean_total_shared_ratio_observational,mean_total_viewed_ratio_observational,mean_total_shared_ratio_behavior_guiding,mean_total_viewed_ratio_behavior_guiding
cmaes,CMA-ES,0.000011243851018973999,0.00028109627547435,0.030193956430077305,0.17388475052705554,2.31898945888967,0.24831763879128602,3.5478425860857348,0.03738580463808855,0.4713801216046931,0.07098102600140548,1.5209163738580465
ga,GA,0.0000140548137737175,0.000140548137737175,0.03018271257905833,0.17340548137737175,2.314660576247365,0.21700773014757554,3.133628952916374,0.027879639685683258,0.35137673289465277,0.0709908643710471,1.5235165144061842
gpr,GPR,0.0000140548137737175,0.00028109627547435,0.03022487702037948,0.1737413914265636,2.3161967673928325,0.2538018271257906,3.670347153900211,0.03372074166171145,0.42338775068922646,0.07187772312016866,1.5240955727336614
random,Random,0.000012649332396345749,0.000140548137737175,0.03018271257905833,0.17352354181307098,2.31512297962052,0.21790302178496138,3.155696416022488,0.029789349193562208,0.3749961434962206,0.07109627547434998,1.5252030920590303
