dataset,network,strategy,strategy_label,total_agents,mean_final_selfish_ratio,max_final_selfish_ratio,peak_mean_selfish_ratio,mean_total_shared_ratio_misinformation,mean_total_viewed_ratio_misinformation,mean_total_fst_viewed_ratio_misinformation,mean_total_shared_ratio_corrective,mean_total_viewed_ratio_corrective,mean_total_fst_viewed_ratio_corrective,mean_total_shared_ratio_observational,mean_total_viewed_ratio_observational,mean_total_fst_viewed_ratio_observational,mean_total_shared_ratio_behavior_guiding,mean_total_viewed_ratio_behavior_guiding,mean_total_fst_viewed_ratio_behavior_guiding,degree_level,attachment_edges_m,target_avg_degree,triad_probability,requested_seed,actual_seed,config_path,graph_path,num_nodes,num_edges,avg_degree,avg_clustering,transitivity,largest_connected_component_ratio,max_degree
powerlaw_degree,pld_deg30_seed1,certainty_high,"Certainty high (0.9, 0.5)",1000,0.0,0.0,0.12849,0.60014,9.23483,4.05496,0.60261,10.34458,6.031569999999999,0.3392631578947368,5.054526315789474,1.0869473684210527,0.20824,3.7371100000000004,2.86224,deg30,15,30,0.0,20261669,20261669,v2/test_2/network/network-pld_deg30_seed1.toml,v2/test_2/network/powerlaw_degree/pld_deg30_seed1/edgelist.txt,1000,14775,29.55,0.07905321322827692,0.07398341775375647,1.0,197
powerlaw_degree,pld_deg30_seed1,effective_high,"Effectiveness high (0.5, 0.9)",1000,0.00004,0.001,0.12622,0.6030700000000001,9.254059999999999,4.0679,0.8378200000000001,14.58521,7.6198500000000005,0.3215652173913044,4.744869565217392,1.0648260869565218,0.13437000000000002,2.6718699999999997,2.19462,deg30,15,30,0.0,20261669,20261669,v2/test_2/network/network-pld_deg30_seed1.toml,v2/test_2/network/powerlaw_degree/pld_deg30_seed1/edgelist.txt,1000,14775,29.55,0.07905321322827692,0.07398341775375647,1.0,197
powerlaw_degree,pld_deg30_seed2,balance,"Balance (0.8, 0.8)",1000,0.00003,0.001,0.13028,0.6153,9.46755,4.11062,0.70453,12.04881,6.60208,0.3257,4.826350000000001,1.14325,0.1497,2.8928200000000004,2.3476500000000002,deg30,15,30,0.0,20262669,20262669,v2/test_2/network/network-pld_deg30_seed2.toml,v2/test_2/network/powerlaw_degree/pld_deg30_seed2/edgelist.txt,1000,14775,29.55,0.07822287984505837,0.07376167466320624,1.0,199
powerlaw_degree,pld_deg30_seed2,certainty_high,"Certainty high (0.9, 0.5)",1000,0.00001,0.001,0.13266999999999998,0.61614,9.50661,4.11664,0.70326,12.06739,6.51412,0.3375588235294118,5.001705882352941,1.0480882352941177,0.2099,3.7527399999999997,2.89175,deg30,15,30,0.0,20262669,20262669,v2/test_2/network/network-pld_deg30_seed2.toml,v2/test_2/network/powerlaw_degree/pld_deg30_seed2/edgelist.txt,1000,14775,29.55,0.07822287984505837,0.07376167466320624,1.0,199
powerlaw_degree,pld_deg30_seed2,effective_high,"Effectiveness high (0.5, 0.9)",1000,0.00002,0.001,0.13063,0.61584,9.48475,4.10666,0.8687100000000001,15.04509,7.638380000000001,0.31174074074074076,4.591222222222223,1.0155185185185185,0.13301,2.6537800000000002,2.18711,deg30,15,30,0.0,20262669,20262669,v2/test_2/network/network-pld_deg30_seed2.toml,v2/test_2/network/powerlaw_degree/pld_deg30_seed2/edgelist.txt,1000,14775,29.55,0.07822287984505837,0.07376167466320624,1.0,199
powerlaw_degree,pld_deg30_seed3,balance,"Balance (0.8, 0.8)",1000,0.00001,0.001,0.12645,0.59376,9.109459999999999,3.9779899999999997,0.70051,11.9609,6.58137,0.32081818181818184,4.737909090909091,1.0434545454545454,0.15217,2.92444,2.3757800000000002,deg30,15,30,0.0,20263669,20263669,v2/test_2/network/network-pld_deg30_seed3.toml,v2/test_2/network/powerlaw_degree/pld_deg30_seed3/edgelist.txt,1000,14775,29.55,0.07898545973572571,0.07416209371042634,1.0,212
powerlaw_degree,pld_deg30_seed3,certainty_high,"Certainty high (0.9, 0.5)",1000,0.00002,0.001,0.12924,0.5949,9.15873,3.98496,0.5474800000000001,9.35622,5.54254,0.35033333333333333,5.2989444444444445,1.1248888888888888,0.21379,3.82754,2.94186,deg30,15,30,0.0,20263669,20263669,v2/test_2/network/network-pld_deg30_seed3.toml,v2/test_2/network/powerlaw_degree/pld_deg30_seed3/edgelist.txt,1000,14775,29.55,0.07898545973572571,0.07416209371042634,1.0,212
powerlaw_degree,pld_deg30_seed3,effective_high,"Effectiveness high (0.5, 0.9)",1000,0.00002,0.001,0.12537,0.59753,9.20234,3.99712,0.80677,13.86074,7.3215200000000005,0.31675000000000003,4.680208333333333,0.9764166666666666,0.13237000000000002,2.63708,2.1847,deg30,15,30,0.0,20263669,20263669,v2/test_2/network/network-pld_deg30_seed3.toml,v2/test_2/network/powerlaw_degree/pld_deg30_seed3/edgelist.txt,1000,14775,29.55,0.07898545973572571,0.07416209371042634,1.0,212
powerlaw_degree,pld_deg40_seed1,balance,"Balance (0.8, 0.8)",1000,0.00001,0.001,0.15895,0.68092,13.759120000000001,5.161720000000001,0.9551900000000001,21.65559,9.33849,0.3108181818181818,6.103666666666667,1.0676666666666668,0.14373,3.66249,2.86447,deg40,20,40,0.0,20261719,20261719,v2/test_2/network/network-pld_deg40_seed1.toml,v2/test_2/network/powerlaw_degree/pld_deg40_seed1/edgelist.txt,1000,19600,39.2,0.09438076916269707,0.09236161098851822,1.0,245
powerlaw_degree,pld_deg40_seed1,certainty_high,"Certainty high (0.9, 0.5)",1000,0.00002,0.001,0.16258,0.68541,13.868,5.18362,0.6997300000000001,15.963049999999999,7.793100000000001,0.3396,6.6494333333333335,1.0702333333333334,0.19322999999999999,4.58676,3.4082600000000003,deg40,20,40,0.0,20261719,20261719,v2/test_2/network/network-pld_deg40_seed1.toml,v2/test_2/network/powerlaw_degree/pld_deg40_seed1/edgelist.txt,1000,19600,39.2,0.09438076916269707,0.09236161098851822,1.0,245
powerlaw_degree,pld_deg40_seed1,effective_high,"Effectiveness high (0.5, 0.9)",1000,0.00001,0.001,0.15757,0.68063,13.73319,5.1515,0.87536,19.95442,9.30779,0.30926086956521737,6.031434782608696,1.1102608695652174,0.12679,3.35569,2.6796100000000003,deg40,20,40,0.0,20261719,20261719,v2/test_2/network/network-pld_deg40_seed1.toml,v2/test_2/network/powerlaw_degree/pld_deg40_seed1/edgelist.txt,1000,19600,39.2,0.09438076916269707,0.09236161098851822,1.0,245
powerlaw_degree,pld_deg40_seed2,balance,"Balance (0.8, 0.8)",1000,0.0,0.0,0.16012,0.7058200000000001,14.24487,5.43667,0.84511,19.313209999999998,8.79967,0.31635714285714284,6.227535714285715,1.0975357142857143,0.1347,3.45972,2.75354,deg40,20,40,0.0,20262719,20262719,v2/test_2/network/network-pld_deg40_seed2.toml,v2/test_2/network/powerlaw_degree/pld_deg40_seed2/edgelist.txt,1000,19600,39.2,0.09238053840939846,0.09051126696445148,1.0,223
powerlaw_degree,pld_deg40_seed2,certainty_high,"Certainty high (0.9, 0.5)",1000,0.0,0.0,0.16357,0.70811,14.33201,5.45745,0.66511,15.04023,7.4881400000000005,0.3355,6.651,1.021642857142857,0.18603,4.42809,3.3237900000000002,deg40,20,40,0.0,20262719,20262719,v2/test_2/network/network-pld_deg40_seed2.toml,v2/test_2/network/powerlaw_degree/pld_deg40_seed2/edgelist.txt,1000,19600,39.2,0.09238053840939846,0.09051126696445148,1.0,223
powerlaw_degree,pld_deg40_seed2,effective_high,"Effectiveness high (0.5, 0.9)",1000,0.00001,0.001,0.15928,0.7050599999999999,14.2358,5.4403999999999995,0.95856,21.92125,9.66226,0.31212903225806454,6.114645161290323,1.018516129032258,0.1208,3.21739,2.59276,deg40,20,40,0.0,20262719,20262719,v2/test_2/network/network-pld_deg40_seed2.toml,v2/test_2/network/powerlaw_degree/pld_deg40_seed2/edgelist.txt,1000,19600,39.2,0.09238053840939846,0.09051126696445148,1.0,223
powerlaw_degree,pld_deg40_seed3,balance,"Balance (0.8, 0.8)",1000,0.00001,0.001,0.1618,0.6969299999999999,14.048020000000001,5.34274,0.7022999999999999,16.00908,7.866840000000001,0.3197,6.20305,1.08,0.13717,3.52325,2.80299,deg40,20,40,0.0,20263719,20263719,v2/test_2/network/network-pld_deg40_seed3.toml,v2/test_2/network/powerlaw_degree/pld_deg40_seed3/edgelist.txt,1000,19600,39.2,0.09495464412319117,0.09092112965452788,1.0,247
powerlaw_degree,pld_deg40_seed3,certainty_high,"Certainty high (0.9, 0.5)",1000,0.00005,0.001,0.1653,0.7012,14.13075,5.340050000000001,0.63188,14.274420000000001,7.221229999999999,0.34228,6.70144,1.0359200000000002,0.18633000000000002,4.4635299999999996,3.3687600000000004,deg40,20,40,0.0,20263719,20263719,v2/test_2/network/network-pld_deg40_seed3.toml,v2/test_2/network/powerlaw_degree/pld_deg40_seed3/edgelist.txt,1000,19600,39.2,0.09495464412319117,0.09092112965452788,1.0,247
powerlaw_degree,pld_deg40_seed3,effective_high,"Effectiveness high (0.5, 0.9)",1000,0.00001,0.001,0.16083999999999998,0.6994600000000001,14.07225,5.332770000000001,0.82052,18.79222,8.883930000000001,0.311,6.086181818181818,0.9925454545454545,0.11937,3.2007800000000004,2.60596,deg40,20,40,0.0,20263719,20263719,v2/test_2/network/network-pld_deg40_seed3.toml,v2/test_2/network/powerlaw_degree/pld_deg40_seed3/edgelist.txt,1000,19600,39.2,0.09495464412319117,0.09092112965452788,1.0,247
