community_level,strategy,strategy_label,avg_final_selfish_ratio,std_final_selfish_ratio,avg_peak_selfish_ratio,avg_shared_misinformation,avg_shared_corrective,avg_shared_observational,avg_shared_behavior_guiding
middle,balance,"Balance (0.8, 0.8)",6.6666666666666675e-6,5.773502691896258e-6,0.14954333333333333,0.6351933333333334,0.7228,0.3286457521117609,0.09448333333333332
middle,certainty_high,"Certainty high (0.9, 0.5)",6.6666666666666675e-6,0.000011547005383792516,0.15098999999999999,0.6355666666666667,0.6625266666666666,0.34558559958559965,0.1272
middle,effective_high,"Effectiveness high (0.5, 0.9)",6.6666666666666675e-6,5.773502691896258e-6,0.14871,0.6374933333333334,0.8233566666666666,0.33013419191919197,0.08356333333333332
strong,balance,"Balance (0.8, 0.8)",0.000060000000000000015,0.000050000000000000016,0.11334333333333334,0.43027666666666664,0.6209433333333333,0.3373952380952381,0.11341333333333332
strong,certainty_high,"Certainty high (0.9, 0.5)",0.00006333333333333333,0.00001527525231651947,0.11449333333333334,0.43101666666666666,0.55574,0.3443146853146853,0.14706333333333332
strong,effective_high,"Effectiveness high (0.5, 0.9)",0.00004333333333333334,5.773502691896257e-6,0.11267333333333333,0.43046999999999996,0.6616266666666667,0.32984901098901104,0.10167333333333334
weak,balance,"Balance (0.8, 0.8)",6.6666666666666675e-6,5.773502691896258e-6,0.16127333333333335,0.7265333333333334,0.7432766666666667,0.32923316912972084,0.08685666666666668
weak,certainty_high,"Certainty high (0.9, 0.5)",0.0,0.0,0.16303333333333334,0.7271033333333333,0.6801033333333333,0.34602428571428573,0.12140666666666668
weak,effective_high,"Effectiveness high (0.5, 0.9)",3.3333333333333337e-6,5.773502691896258e-6,0.16094666666666668,0.7263133333333333,0.8380700000000001,0.32264304347826084,0.07644666666666668
