community_level,info_name,certainty_high,effective_high,certainty_minus_effective
middle,behavior-guiding,0.1272,0.08356333333333332,0.043636666666666685
middle,corrective,0.6625266666666666,0.8233566666666666,-0.16083000000000003
middle,misinformation,0.6355666666666667,0.6374933333333334,-0.0019266666666666321
middle,observational,0.34558559958559965,0.33013419191919197,0.01545140766640768
strong,behavior-guiding,0.14706333333333332,0.10167333333333334,0.045389999999999986
strong,corrective,0.55574,0.6616266666666667,-0.10588666666666668
strong,misinformation,0.43101666666666666,0.43046999999999996,0.0005466666666666953
strong,observational,0.3443146853146853,0.32984901098901104,0.01446567432567425
weak,behavior-guiding,0.12140666666666668,0.07644666666666668,0.04496
weak,corrective,0.6801033333333333,0.8380700000000001,-0.1579666666666668
weak,misinformation,0.7271033333333333,0.7263133333333333,0.0007900000000000684
weak,observational,0.34602428571428573,0.32264304347826084,0.02338124223602489
