cluster_level,strategy,strategy_label,avg_final_selfish_ratio,std_final_selfish_ratio,avg_peak_selfish_ratio,avg_shared_misinformation,avg_shared_corrective,avg_shared_observational,avg_shared_behavior_guiding
high,balance,"Balance (0.8, 0.8)",0.00011000000000000002,0.000026457513110645912,0.07928333333333333,0.35808666666666666,0.62846,0.30848312447786136,0.15742
high,certainty_high,"Certainty high (0.9, 0.5)",0.00012000000000000004,0.00005567764362830026,0.08103333333333333,0.35911333333333334,0.5132800000000001,0.3261554232804233,0.21767
high,effective_high,"Effectiveness high (0.5, 0.9)",0.00006666666666666667,0.00001527525231651947,0.07878,0.35782,0.6788933333333333,0.3115694444444444,0.14129666666666665
low,balance,"Balance (0.8, 0.8)",0.00005,9.999999999999999e-6,0.09291,0.40576666666666666,0.7630266666666667,0.3142510714285714,0.16293
low,certainty_high,"Certainty high (0.9, 0.5)",0.00008,9.999999999999999e-6,0.09436666666666667,0.4079933333333334,0.6620566666666667,0.33700562957768426,0.2248
low,effective_high,"Effectiveness high (0.5, 0.9)",0.00004333333333333334,0.000011547005383792517,0.09217000000000002,0.40843999999999997,0.8452799999999999,0.31238809523809524,0.1445
mid,balance,"Balance (0.8, 0.8)",0.00008666666666666668,0.00003055050463303895,0.08663666666666665,0.4316966666666667,0.6828500000000001,0.31683110367892975,0.16597666666666666
mid,certainty_high,"Certainty high (0.9, 0.5)",0.00007000000000000001,0.000017320508075688777,0.08838333333333333,0.4329966666666667,0.57689,0.33455833333333335,0.22582333333333335
mid,effective_high,"Effectiveness high (0.5, 0.9)",0.000033333333333333335,0.000020816659994661328,0.08561999999999999,0.4318466666666667,0.7349066666666667,0.3100060606060606,0.14571
