network,network_label,method,num_iter,n_steps,t_min,t_max,final_window_steps,final_selfish_ratio,normalized_selfish_auc,peak_selfish_ratio,final_window_selfish_mean
ba_1000,BA1000,random,0,9,0,8,3,0.0,0.029111111111111112,0.119,0.0003333333333333333
ba_1000,BA1000,random,1,14,0,13,3,0.0,0.018285714285714287,0.09,0.0003333333333333333
ba_1000,BA1000,random,2,11,0,10,3,0.0,0.025363636363636366,0.107,0.0013333333333333333
ba_1000,BA1000,random,3,18,0,17,3,0.0,0.020944444444444443,0.088,0.0003333333333333333
ba_1000,BA1000,random,4,11,0,10,3,0.0,0.021454545454545452,0.091,0.0006666666666666666
ba_1000,BA1000,random,5,16,0,15,3,0.0,0.01575,0.088,0.0
ba_1000,BA1000,random,6,12,0,11,3,0.0,0.021083333333333332,0.087,0.0
ba_1000,BA1000,random,7,12,0,11,3,0.0,0.019083333333333334,0.096,0.0
ba_1000,BA1000,random,8,13,0,12,3,0.0,0.01646153846153846,0.075,0.0
ba_1000,BA1000,random,9,25,0,24,3,0.0,0.01568,0.101,0.0
ba_1000,BA1000,random,10,12,0,11,3,0.0,0.02125,0.087,0.0
ba_1000,BA1000,random,11,11,0,10,3,0.0,0.02481818181818182,0.1,0.0003333333333333333
ba_1000,BA1000,random,12,11,0,10,3,0.0,0.021636363636363638,0.107,0.0
ba_1000,BA1000,random,13,20,0,19,3,0.0,0.01925,0.083,0.0
ba_1000,BA1000,random,14,22,0,21,3,0.0,0.015818181818181818,0.089,0.0
ba_1000,BA1000,random,15,16,0,15,3,0.0,0.024625,0.119,0.0
ba_1000,BA1000,random,16,16,0,15,3,0.0,0.013562500000000002,0.077,0.0006666666666666666
ba_1000,BA1000,random,17,12,0,11,3,0.0,0.019166666666666665,0.103,0.0
ba_1000,BA1000,random,18,11,0,10,3,0.0,0.024636363636363637,0.128,0.002
ba_1000,BA1000,random,19,10,0,9,3,0.0,0.022600000000000002,0.069,0.0023333333333333335
ba_1000,BA1000,random,20,10,0,9,3,0.0,0.0248,0.087,0.0
ba_1000,BA1000,random,21,13,0,12,3,0.0,0.017384615384615384,0.071,0.0003333333333333333
ba_1000,BA1000,random,22,13,0,12,3,0.0,0.017615384615384613,0.072,0.0003333333333333333
ba_1000,BA1000,random,23,16,0,15,3,0.0,0.02325,0.104,0.0003333333333333333
ba_1000,BA1000,random,24,12,0,11,3,0.0,0.01991666666666667,0.079,0.0003333333333333333
ba_1000,BA1000,random,25,14,0,13,3,0.0,0.027714285714285716,0.094,0.0
