network,network_label,method,t,mean_selfish_ratio,std_selfish_ratio,n_iter_at_t
ba_1000,BA1000,ga,13,0.0007727272727272728,0.001477830397570264,22
ba_1000,BA1000,ga,14,0.00041176470588235296,0.0007122871199007256,17
ba_1000,BA1000,ga,15,0.0002142857142857143,0.00042581531362632,14
ba_1000,BA1000,ga,16,9.090909090909092e-05,0.00030151134457776364,11
ba_1000,BA1000,ga,17,0.0,0.0,8
ba_1000,BA1000,ga,18,0.0,0.0,4
facebook,Facebook,random,0,0.0001757860856647685,0.0002090644260420409,100
facebook,Facebook,random,1,0.009702896756622927,0.0023206146087728667,100
facebook,Facebook,random,2,0.04850458034166873,0.011723778790234703,100
facebook,Facebook,random,3,0.06760584303045308,0.011615203957213969,100
facebook,Facebook,random,4,0.05038871007675168,0.009513473201759945,100
facebook,Facebook,random,5,0.029601386481802425,0.008697664236579342,100
facebook,Facebook,random,6,0.012015350334241148,0.00566329076852142,100
facebook,Facebook,random,7,0.005590492696211934,0.0053947134561776805,100
facebook,Facebook,random,8,0.004736320871502847,0.006779934729369802,100
facebook,Facebook,random,9,0.003599900965585541,0.004938375608926541,100
facebook,Facebook,random,10,0.0032661349819062126,0.005446166613245887,99
facebook,Facebook,random,11,0.003949725470777566,0.006124809912154359,85
facebook,Facebook,random,12,0.0036823510455597603,0.004802825758604969,63
facebook,Facebook,random,13,0.0030849220103986138,0.003910909461782909,50
facebook,Facebook,random,14,0.0034166872988363453,0.003714509953322427,40
facebook,Facebook,random,15,0.003500591455530797,0.003837025722221752,36
facebook,Facebook,random,16,0.002987005726425417,0.0033662812641404717,31
facebook,Facebook,random,17,0.002028608167144534,0.0031169756841551662,31
facebook,Facebook,random,18,0.0013663081254069122,0.002384046525372443,27
facebook,Facebook,random,19,0.0007943385326400924,0.0011884559564178153,24
facebook,Facebook,random,20,0.0006977424655067636,0.0019830983751937268,22
facebook,Facebook,random,21,0.0006602294297268301,0.0019697350902461836,18
facebook,Facebook,random,22,0.0009078154658743914,0.0024646345914753984,15
facebook,Facebook,random,23,0.0015955544551731727,0.0035859636844764267,9
facebook,Facebook,random,24,0.0017949987620698193,0.004167669092347341,8
facebook,Facebook,random,25,0.002073533052735826,0.004660065511136492,8
facebook,Facebook,random,26,0.0016505735743170752,0.0028431099872501977,6
facebook,Facebook,random,27,0.0014029875381695138,0.0013635975606056205,3
facebook,Facebook,random,28,0.0004951720722951226,0.0,3
facebook,Facebook,random,29,8.252867871585376e-05,0.0001429438646173869,3
facebook,Facebook,random,30,0.0022282743253280515,,1
facebook,Facebook,random,31,0.0004951720722951226,,1
facebook,Facebook,random,32,0.0002475860361475613,,1
facebook,Facebook,random,33,0.0,,1
facebook,Facebook,random,34,0.0,,1
facebook,Facebook,gpr,0,0.0001757860856647685,0.0002090644260420409,100
facebook,Facebook,gpr,1,0.009702896756622927,0.0023206146087728667,100
facebook,Facebook,gpr,2,0.04850953206239168,0.011719719855896328,100
facebook,Facebook,gpr,3,0.06761574647189898,0.011750019397104785,100
facebook,Facebook,gpr,4,0.05080465461747957,0.009892744453640497,100
facebook,Facebook,gpr,5,0.030138648180242634,0.009153878107970519,100
facebook,Facebook,gpr,6,0.012619460262441198,0.0065672631263841786,100
facebook,Facebook,gpr,7,0.006479326565981679,0.006186804760520782,100
facebook,Facebook,gpr,8,0.004882396632829908,0.006966007155679553,100
facebook,Facebook,gpr,9,0.004154493686556078,0.006192959169512006,100
facebook,Facebook,gpr,10,0.003963902966484935,0.006050458092575145,98
facebook,Facebook,gpr,11,0.004751293931784152,0.006815348869927518,84
facebook,Facebook,gpr,12,0.004906329949657506,0.006126550114930431,60
facebook,Facebook,gpr,13,0.0057160080519284805,0.006334166380281779,46
facebook,Facebook,gpr,14,0.005849939830835401,0.00543294776245222,43
facebook,Facebook,gpr,15,0.004545425689273176,0.004670230794116595,39
facebook,Facebook,gpr,16,0.0024123767624634174,0.0035196461882283777,39
facebook,Facebook,gpr,17,0.002045842509219322,0.003994148304617041,38
facebook,Facebook,gpr,18,0.002198263896704105,0.004381449913045505,33
facebook,Facebook,gpr,19,0.0014599038683183786,0.002953550373956999,29
facebook,Facebook,gpr,20,0.0011733425191340948,0.0020158504646963053,23
facebook,Facebook,gpr,21,0.0006977424655067636,0.0014368451136107453,22
facebook,Facebook,gpr,22,0.0002767138051060979,0.00047043263129595904,17
facebook,Facebook,gpr,23,0.00029710324337707354,0.0009506419511099547,15
facebook,Facebook,gpr,24,0.0004726642508271624,0.0014112601496060328,11
facebook,Facebook,gpr,25,0.0002475860361475613,0.0005672908758301362,9
facebook,Facebook,gpr,26,3.53694337353659e-05,9.357872567695649e-05,7
facebook,Facebook,gpr,27,0.0,0.0,4
facebook,Facebook,cmaes,0,0.0001757860856647685,0.00020906442604204086,100
facebook,Facebook,cmaes,1,0.009702896756622927,0.0023206146087728667,100
facebook,Facebook,cmaes,2,0.04850458034166873,0.011723778790234701,100
facebook,Facebook,cmaes,3,0.06781133944045556,0.011623574254288,100
facebook,Facebook,cmaes,4,0.04981678633325081,0.009702668175520138,100
facebook,Facebook,cmaes,5,0.02988115870264917,0.008949403706978198,100
facebook,Facebook,cmaes,6,0.011946026244119832,0.006230418361834128,100
facebook,Facebook,cmaes,7,0.0052389205248823964,0.005285435462386517,100
facebook,Facebook,cmaes,8,0.0042411487992077244,0.0062950066813400605,100
facebook,Facebook,cmaes,9,0.0037038871007675166,0.006479317912796968,100
facebook,Facebook,cmaes,10,0.002705009139612185,0.0045573477955410035,94
facebook,Facebook,cmaes,11,0.003309504483187655,0.006177090908274219,79
facebook,Facebook,cmaes,12,0.003507468845423785,0.004968094477974333,60
facebook,Facebook,cmaes,13,0.003432442773863918,0.004825037866489598,44
facebook,Facebook,cmaes,14,0.002956884660276589,0.003249248928900755,35
facebook,Facebook,cmaes,15,0.003272777915325576,0.004644161230110653,32
facebook,Facebook,cmaes,16,0.003268135677147809,0.004240433521907265,30
facebook,Facebook,cmaes,17,0.0032285219113641988,0.00430939599493573,25
facebook,Facebook,cmaes,18,0.0032186184699182965,0.004285207336490377,24
facebook,Facebook,cmaes,19,0.002550136172319881,0.003611255740572261,20
facebook,Facebook,cmaes,20,0.0015721713295370142,0.002372417161327334,20
facebook,Facebook,cmaes,21,0.0008738330687560985,0.0010902140070660326,17
facebook,Facebook,cmaes,22,0.0007604428253103668,0.001233978822328556,14
facebook,Facebook,cmaes,23,0.0006284876302207324,0.0013470720089386976,13
facebook,Facebook,cmaes,24,0.0005570685813320129,0.001289199209139737,12
facebook,Facebook,cmaes,25,0.0006437236939836594,0.001536009259603115,10
facebook,Facebook,cmaes,26,0.0011318218795317088,0.0024628574241311214,7
facebook,Facebook,cmaes,27,0.0004951720722951225,0.0008334987982472622,4
facebook,Facebook,cmaes,28,0.00016505735743170752,0.0002858877292347739,3
facebook,Facebook,cmaes,29,0.00012379301807378064,0.00017506976508703827,2
facebook,Facebook,cmaes,30,0.0,0.0,2
facebook,Facebook,ga,0,0.0001757860856647685,0.0002090644260420409,100
facebook,Facebook,ga,1,0.009702896756622927,0.0023206146087728667,100
facebook,Facebook,ga,2,0.04850458034166873,0.011723778790234701,100
facebook,Facebook,ga,3,0.06760584303045308,0.011615203957213972,100
facebook,Facebook,ga,4,0.05038871007675168,0.009513473201759949,100
facebook,Facebook,ga,5,0.029601386481802425,0.008697664236579344,100
facebook,Facebook,ga,6,0.012015350334241148,0.00566329076852142,100
facebook,Facebook,ga,7,0.005590492696211934,0.005394713456177679,100
facebook,Facebook,ga,8,0.004736320871502847,0.006779934729369802,100
facebook,Facebook,ga,9,0.003599900965585541,0.004938375608926541,100
facebook,Facebook,ga,10,0.0032661349819062126,0.005446166613245887,99
facebook,Facebook,ga,11,0.003949725470777566,0.006124809912154359,85
facebook,Facebook,ga,12,0.0036823510455597603,0.004802825758604967,63
facebook,Facebook,ga,13,0.0030849220103986138,0.003910909461782909,50
facebook,Facebook,ga,14,0.0034166872988363453,0.0037145099533224266,40
facebook,Facebook,ga,15,0.003500591455530797,0.0038370257222217516,36
facebook,Facebook,ga,16,0.002987005726425417,0.0033662812641404717,31
facebook,Facebook,ga,17,0.002028608167144534,0.0031169756841551662,31
facebook,Facebook,ga,18,0.0013663081254069122,0.002384046525372443,27
facebook,Facebook,ga,19,0.0007943385326400924,0.0011884559564178153,24
facebook,Facebook,ga,20,0.0006977424655067636,0.0019830983751937263,22
facebook,Facebook,ga,21,0.0006602294297268301,0.001969735090246184,18
facebook,Facebook,ga,22,0.0009078154658743914,0.0024646345914753984,15
facebook,Facebook,ga,23,0.0015955544551731727,0.0035859636844764267,9
facebook,Facebook,ga,24,0.0017949987620698193,0.004167669092347341,8
facebook,Facebook,ga,25,0.002073533052735826,0.0046600655111364905,8
facebook,Facebook,ga,26,0.0016505735743170752,0.0028431099872501977,6
facebook,Facebook,ga,27,0.0014029875381695138,0.0013635975606056205,3
facebook,Facebook,ga,28,0.0004951720722951226,0.0,3
facebook,Facebook,ga,29,8.252867871585376e-05,0.0001429438646173869,3
facebook,Facebook,ga,30,0.0022282743253280515,,1
facebook,Facebook,ga,31,0.0004951720722951226,,1
