trial,state,value,certainty,effectiveness,trial_elapsed_sec,simulation_elapsed_sec,score_elapsed_sec
0,TrialState.COMPLETE,5.446892795246348e-05,0.6872700594236812,0.9753571532049581,34.30293188698124,34.281269625993446,0.005890761036425829
1,TrialState.COMPLETE,5.199306759098787e-05,0.7343554571096322,0.6831798909615361,36.15957093099132,36.13770382804796,0.004718336975201964
2,TrialState.COMPLETE,6.189650903689032e-05,0.7447609747619225,0.6712972373063778,37.27222167700529,37.25478016701527,0.004377432982437313
3,TrialState.COMPLETE,4.7041346868036646e-05,0.8558760141188257,0.7772091415091806,36.091293398989365,36.07473398000002,0.0033113800454884768
4,TrialState.COMPLETE,4.208962614508542e-05,0.507372258401687,0.760326020988489,36.02815152797848,36.01173246093094,0.003863816033117473
5,TrialState.COMPLETE,4.456548650656103e-05,0.8234353113768116,0.6440270396330459,34.85116146795917,34.83434243500233,0.004260202054865658
6,TrialState.COMPLETE,4.951720722951226e-05,0.8423252798802541,0.6644756174171147,36.820526769035496,36.80305161897559,0.004354131990112364
7,TrialState.COMPLETE,5.199306759098787e-05,0.7841663037835889,0.6661426994226476,37.15465182100888,37.13373343995772,0.003093587001785636
8,TrialState.COMPLETE,3.9613765783609805e-05,0.5913849515396457,0.7206729373616683,35.95457821211312,35.93720773397945,0.004036397906020284
9,TrialState.COMPLETE,4.7041346868036646e-05,0.618341247077195,0.7682755964746133,36.053891299059615,36.03608006401919,0.004347933107055724
10,TrialState.COMPLETE,6.932409012131716e-05,0.5377167362163843,0.8294120361815842,35.16919461695943,35.15314951399341,0.002905725035816431
11,TrialState.COMPLETE,4.951720722951226e-05,0.5215024343063942,0.7543123876546329,35.540287305018865,35.523133327951655,0.004284971975721419
12,TrialState.COMPLETE,4.7041346868036646e-05,0.6285578158308712,0.7597158212108737,35.50818963907659,35.491842500981875,0.002929226029664278
13,TrialState.COMPLETE,4.7041346868036646e-05,0.6008211096575968,0.7565233462161327,35.32589882402681,35.30394898902159,0.004136140109039843
14,TrialState.COMPLETE,5.199306759098787e-05,0.5834518417109829,0.7694655588153471,36.32587634306401,36.308346142061055,0.004383692983537912
15,TrialState.COMPLETE,4.7041346868036646e-05,0.7561109233147763,0.8165132317064517,36.03986513998825,36.023601184017025,0.002922535059042275
16,TrialState.COMPLETE,6.684822975984154e-05,0.7140021000839856,0.8619916751248191,34.534407953964546,34.51887061703019,0.002974506001919508
17,TrialState.COMPLETE,3.466204506065858e-05,0.7091250554047971,0.8366588013304378,34.43607602000702,34.419669922906905,0.002911614952608943
18,TrialState.COMPLETE,3.466204506065858e-05,0.5886725527204727,0.7309527708265564,34.57717091892846,34.56015326397028,0.004076768993400037
19,TrialState.COMPLETE,3.466204506065858e-05,0.7651329496224895,0.8743630104956102,33.31847449403722,33.296082343906164,0.004291862016543746
20,TrialState.COMPLETE,4.7041346868036646e-05,0.7154147051120926,0.8206672005307909,36.74284016399179,36.7264283959521,0.0028754149097949266
21,TrialState.COMPLETE,3.466204506065858e-05,0.7649848447110454,0.7652824109034693,35.438526299083605,35.418438437976874,0.0029654050013050437
22,TrialState.COMPLETE,4.951720722951226e-05,0.5367382546189498,0.7565782409686336,35.52587382099591,35.50867858401034,0.004424253012984991
23,TrialState.COMPLETE,2.9710324337707352e-05,0.691147223903198,0.7041738408312838,34.69452341203578,34.67847929801792,0.002906255074776709
24,TrialState.COMPLETE,5.446892795246348e-05,0.556440089906238,0.7530812861979728,35.21728754602373,35.20124183304142,0.002969144959934056
25,TrialState.COMPLETE,1.4855162168853676e-05,0.8023887944199164,0.8429600702632805,34.63629779103212,34.61377794994041,0.00445378408767283
26,TrialState.COMPLETE,3.466204506065858e-05,0.6117607664229677,0.6408397788340195,34.87634661095217,34.85925887490157,0.0044506939593702555
27,TrialState.COMPLETE,3.466204506065858e-05,0.6920317478778301,0.801130569586558,34.108756010071374,34.09173067403026,0.004451503977179527
28,TrialState.COMPLETE,5.446892795246348e-05,0.8438085252085129,0.6746781625138025,36.7011797419982,36.684468030929565,0.003762354957871139
29,TrialState.COMPLETE,3.9613765783609805e-05,0.6323900184168515,0.8241949753486391,36.9899969890248,36.97281975194346,0.004885189002379775
30,TrialState.COMPLETE,4.208962614508542e-05,0.7036405282814147,0.7420325326428443,35.22515263000969,35.20674354897346,0.004167039995081723
31,TrialState.COMPLETE,5.446892795246348e-05,0.7586065878862138,0.8581517638080918,33.99590731004719,33.972503988072276,0.004322571912780404
32,TrialState.COMPLETE,3.713790542213419e-05,0.770866431396491,0.7603654181583226,35.919061045045964,35.90303202206269,0.003583743004128337
33,TrialState.COMPLETE,6.932409012131716e-05,0.7376882753353671,0.8285996781877849,35.78346958302427,35.76601366198156,0.004601825959980488
34,TrialState.COMPLETE,3.713790542213419e-05,0.7067570584877122,0.7602532491861007,35.9003887809813,35.88492637500167,0.0029749260284006596
35,TrialState.COMPLETE,2.2282743253280514e-05,0.7821927253371298,0.7751194774401095,35.724922897992656,35.70872290292755,0.0028773340163752437
