comm_method,info_name,certainty_high,effective_high,certainty_minus_effective
random,misinformation,0.31804,0.31665000000000004,0.0013899999999999468
random,corrective,0.45065,0.5211566666666667,-0.07050666666666672
random,observational,0.3235037263390204,0.30439256410256416,0.01911116223645626
random,behavior-guiding,0.18206666666666668,0.13140333333333332,0.050663333333333366
original,misinformation,0.30817,0.3071266666666667,0.001043333333333285
original,corrective,0.47834000000000004,0.50976,-0.03141999999999995
original,observational,0.33642628205128206,0.32171944444444445,0.014706837606837608
original,behavior-guiding,0.17087666666666665,0.12667333333333333,0.04420333333333332
rust_target,misinformation,0.3458666666666667,0.3439566666666667,0.0019100000000000228
rust_target,corrective,0.41217333333333334,0.44854,-0.03636666666666666
rust_target,observational,0.3394460367218988,0.3076152618135377,0.031830774908361115
rust_target,behavior-guiding,0.21193666666666666,0.17929333333333333,0.03264333333333333
