comm_method,strategy,strategy_label,avg_final_selfish_ratio,std_final_selfish_ratio,avg_peak_selfish_ratio,avg_shared_misinformation,avg_shared_corrective,avg_shared_observational,avg_shared_behavior_guiding
original,balance,"Balance (0.8, 0.8)",0.00013000000000000004,0.00002,0.10099000000000001,0.30728666666666665,0.5091100000000001,0.2999730407523511,0.13724333333333336
original,certainty_high,"Certainty high (0.9, 0.5)",0.00018666666666666671,0.000025166114784235816,0.10165666666666667,0.30817,0.47834000000000004,0.33642628205128206,0.17087666666666665
original,effective_high,"Effectiveness high (0.5, 0.9)",0.00011000000000000002,0.00006557438524302004,0.10053666666666668,0.3071266666666667,0.50976,0.32171944444444445,0.12667333333333333
random,balance,"Balance (0.8, 0.8)",0.0001366666666666667,0.00001527525231651949,0.09976666666666667,0.31870333333333334,0.4980966666666667,0.3130753417107584,0.14496333333333333
random,certainty_high,"Certainty high (0.9, 0.5)",0.00015666666666666672,0.00007234178138070237,0.10129666666666666,0.31804,0.45065,0.3235037263390204,0.18206666666666668
random,effective_high,"Effectiveness high (0.5, 0.9)",0.00015000000000000001,0.00007937253933193772,0.09941,0.31665000000000004,0.5211566666666667,0.30439256410256416,0.13140333333333332
rust_target,balance,"Balance (0.8, 0.8)",0.00021000000000000004,0.00003464101615137755,0.08658,0.34390000000000004,0.43776,0.3138101587301587,0.18896666666666664
rust_target,certainty_high,"Certainty high (0.9, 0.5)",0.00023666666666666674,0.00002081665999466131,0.0872,0.3458666666666667,0.41217333333333334,0.3394460367218988,0.21193666666666666
rust_target,effective_high,"Effectiveness high (0.5, 0.9)",0.00013333333333333337,0.00007571877794400369,0.08670666666666667,0.3439566666666667,0.44854,0.3076152618135377,0.17929333333333333
