rank,method,best_score,mean_trial_score,median_trial_score,std_trial_score,worst_trial_score,best_certainty,best_effectiveness
1,random,0.0,0.00005690000000000001,0.000054999999999999995,0.00002485086832619047,0.00011999999999999999,0.5465513839029497,0.9486078789766634
2,cmaes,0.00001,0.000053400000000000004,0.00005,0.000022751179345611112,0.00011999999999999999,0.97562918915332,0.5181274621747493
3,ga,0.00001,0.00005739999999999999,0.000054999999999999995,0.00002484781965111107,0.00011999999999999999,0.8659969709057025,0.7993292420985183
4,gpr,0.00001,0.00002760000000000001,0.00002,0.000015250103493604775,0.00008999999999999999,0.8659969709057025,0.7993292420985183
