node_level,cluster_level,strategy,strategy_label,avg_final_selfish_ratio,std_final_selfish_ratio,avg_peak_selfish_ratio,avg_shared_misinformation,avg_shared_corrective,avg_shared_observational,avg_shared_behavior_guiding
n2000,deg40_high,balance,"Balance (0.8, 0.8)",5e-6,5e-6,0.13341333333333336,0.8413266666666667,1.3817133333333331,0.33604109216255446,0.06183333333333333
n2000,deg40_high,certainty_high,"Certainty high (0.9, 0.5)",5e-6,5e-6,0.13440833333333335,0.8398150000000001,1.1794416666666667,0.337162678062678,0.08702833333333333
n2000,deg40_high,effective_high,"Effectiveness high (0.5, 0.9)",0.0,0.0,0.13334833333333335,0.8426133333333333,1.485166666666667,0.33702678062678065,0.05553166666666667
n2000,deg40_low,balance,"Balance (0.8, 0.8)",1.6666666666666669e-6,2.886751345948129e-6,0.1654966666666667,0.7912566666666666,1.7811816666666669,0.32798447997416025,0.12577000000000002
n2000,deg40_low,certainty_high,"Certainty high (0.9, 0.5)",0.0,0.0,0.16825333333333334,0.7925066666666667,1.3697266666666668,0.3393423263244692,0.17494666666666667
n2000,deg40_low,effective_high,"Effectiveness high (0.5, 0.9)",0.0,0.0,0.16472,0.793325,1.9565983333333332,0.32388492063492064,0.11038666666666667
n3000,deg40_high,balance,"Balance (0.8, 0.8)",1.111111111111111e-6,1.9245008972987525e-6,0.13126555555555555,0.8222144444444445,2.5119666666666665,0.334916716994674,0.09180999999999999
n3000,deg40_high,certainty_high,"Certainty high (0.9, 0.5)",0.0,0.0,0.13227555555555556,0.8212455555555556,2.244632222222222,0.34349623243933586,0.12417333333333332
n3000,deg40_high,effective_high,"Effectiveness high (0.5, 0.9)",0.0,0.0,0.1308111111111111,0.8211333333333334,2.6113,0.3325681405247443,0.08280666666666667
n3000,deg40_low,balance,"Balance (0.8, 0.8)",0.0,0.0,0.16707666666666668,0.842791111111111,2.9894255555555556,0.33318220387570235,0.11234888888888887
n3000,deg40_low,certainty_high,"Certainty high (0.9, 0.5)",0.0,0.0,0.16905444444444442,0.8401122222222223,2.322243333333333,0.34217700281503555,0.15985333333333332
n3000,deg40_low,effective_high,"Effectiveness high (0.5, 0.9)",0.0,0.0,0.1662677777777778,0.845478888888889,3.4188666666666663,0.332308779045978,0.0983311111111111
n4000,deg40_high,balance,"Balance (0.8, 0.8)",1.6666666666666669e-6,1.4433756729740645e-6,0.13329666666666667,0.8265341666666667,3.7782858333333333,0.33958518009768013,0.08651749999999998
n4000,deg40_high,certainty_high,"Certainty high (0.9, 0.5)",1.6666666666666669e-6,2.886751345948129e-6,0.13419916666666667,0.8269525,3.2818091666666667,0.34200003978674304,0.116575
n4000,deg40_high,effective_high,"Effectiveness high (0.5, 0.9)",8.333333333333334e-7,1.4433756729740645e-6,0.13286166666666668,0.8279991666666667,4.164028333333333,0.3369820750207684,0.07772416666666666
n4000,deg40_low,balance,"Balance (0.8, 0.8)",0.0,0.0,0.16778166666666663,0.8531066666666667,4.798886666666667,0.33559139179808195,0.11622916666666668
n4000,deg40_low,certainty_high,"Certainty high (0.9, 0.5)",0.0,0.0,0.16968416666666666,0.8514849999999999,3.640379166666667,0.3461057915377817,0.1631825
n4000,deg40_low,effective_high,"Effectiveness high (0.5, 0.9)",0.0,0.0,0.16727000000000003,0.8554441666666667,5.1143575,0.33338240342442643,0.10158833333333334
