dataset,network,strategy,strategy_label,info_label,info_name,mean_num_shared,mean_total_shared_ratio,mean_num_viewed,mean_total_viewed_ratio,mean_num_fst_viewed,mean_total_fst_viewed_ratio,node_level,cluster_level,attachment_edges_m,target_avg_degree,triad_probability,requested_seed,actual_seed,config_path,graph_path,comm_path,num_nodes,num_edges,avg_degree,avg_clustering,transitivity,largest_connected_component_ratio,max_degree,comm_mean,comm_min,comm_q10,comm_q25,comm_median,comm_q75,comm_q90,comm_max,comm_count_zero,comm_count_one
powerlaw_node_count,pnc_n2000_deg40_high_seed1,effective_high,"Effectiveness high (0.5, 0.9)",2,observational,683.0,0.3415,13472.95744680851,6.736478723404256,2283.404255319149,1.1417021276595745,n2000,deg40_high,20,40,1.0,20263825,20263825,v2/test_2/network/network-pnc_n2000_deg40_high_seed1.toml,v2/test_2/network/powerlaw_node_count/pnc_n2000_deg40_high_seed1/edgelist.txt,v2/test_2/network/powerlaw_node_count/pnc_n2000_deg40_high_seed1/comm.csv,2000,39583,39.583,0.29966281191953953,0.17202430035156532,1.0,494,0.6062888924704607,0.0,6.236704495899268e-139,2.2637390361964554e-89,1.0,1.0,1.0,1.0,34,1129
powerlaw_node_count,pnc_n2000_deg40_high_seed1,effective_high,"Effectiveness high (0.5, 0.9)",3,behavior-guiding,60.68,0.03034,1941.18,0.9705900000000001,1749.57,0.874785,n2000,deg40_high,20,40,1.0,20263825,20263825,v2/test_2/network/network-pnc_n2000_deg40_high_seed1.toml,v2/test_2/network/powerlaw_node_count/pnc_n2000_deg40_high_seed1/edgelist.txt,v2/test_2/network/powerlaw_node_count/pnc_n2000_deg40_high_seed1/comm.csv,2000,39583,39.583,0.29966281191953953,0.17202430035156532,1.0,494,0.6062888924704607,0.0,6.236704495899268e-139,2.2637390361964554e-89,1.0,1.0,1.0,1.0,34,1129
powerlaw_node_count,pnc_n2000_deg40_high_seed2,balance,"Balance (0.8, 0.8)",0,misinformation,1600.54,0.80027,33354.87,16.677435000000003,13488.33,6.744165,n2000,deg40_high,20,40,1.0,20264825,20264825,v2/test_2/network/network-pnc_n2000_deg40_high_seed2.toml,v2/test_2/network/powerlaw_node_count/pnc_n2000_deg40_high_seed2/edgelist.txt,v2/test_2/network/powerlaw_node_count/pnc_n2000_deg40_high_seed2/comm.csv,2000,39581,39.581,0.3258074002130052,0.1743301134959393,1.0,559,0.42435443218040064,0.0,9.962646018343726e-138,4.48123806399708e-93,2.2906635635925054e-42,1.0,1.0,1.0,64,776
powerlaw_node_count,pnc_n2000_deg40_high_seed2,balance,"Balance (0.8, 0.8)",1,corrective,3033.89,1.516945,70736.25,35.368125,27184.85,13.592425,n2000,deg40_high,20,40,1.0,20264825,20264825,v2/test_2/network/network-pnc_n2000_deg40_high_seed2.toml,v2/test_2/network/powerlaw_node_count/pnc_n2000_deg40_high_seed2/edgelist.txt,v2/test_2/network/powerlaw_node_count/pnc_n2000_deg40_high_seed2/comm.csv,2000,39581,39.581,0.3258074002130052,0.1743301134959393,1.0,559,0.42435443218040064,0.0,9.962646018343726e-138,4.48123806399708e-93,2.2906635635925054e-42,1.0,1.0,1.0,64,776
powerlaw_node_count,pnc_n2000_deg40_high_seed2,balance,"Balance (0.8, 0.8)",2,observational,657.6792452830189,0.32883962264150945,12950.792452830188,6.475396226415095,2097.0188679245284,1.0485094339622643,n2000,deg40_high,20,40,1.0,20264825,20264825,v2/test_2/network/network-pnc_n2000_deg40_high_seed2.toml,v2/test_2/network/powerlaw_node_count/pnc_n2000_deg40_high_seed2/edgelist.txt,v2/test_2/network/powerlaw_node_count/pnc_n2000_deg40_high_seed2/comm.csv,2000,39581,39.581,0.3258074002130052,0.1743301134959393,1.0,559,0.42435443218040064,0.0,9.962646018343726e-138,4.48123806399708e-93,2.2906635635925054e-42,1.0,1.0,1.0,64,776
powerlaw_node_count,pnc_n2000_deg40_high_seed2,balance,"Balance (0.8, 0.8)",3,behavior-guiding,236.5,0.11825000000000001,6418.8,3.2094,4744.72,2.37236,n2000,deg40_high,20,40,1.0,20264825,20264825,v2/test_2/network/network-pnc_n2000_deg40_high_seed2.toml,v2/test_2/network/powerlaw_node_count/pnc_n2000_deg40_high_seed2/edgelist.txt,v2/test_2/network/powerlaw_node_count/pnc_n2000_deg40_high_seed2/comm.csv,2000,39581,39.581,0.3258074002130052,0.1743301134959393,1.0,559,0.42435443218040064,0.0,9.962646018343726e-138,4.48123806399708e-93,2.2906635635925054e-42,1.0,1.0,1.0,64,776
powerlaw_node_count,pnc_n2000_deg40_high_seed2,certainty_high,"Certainty high (0.9, 0.5)",0,misinformation,1601.13,0.8005650000000001,33449.34,16.72467,13509.99,6.754995,n2000,deg40_high,20,40,1.0,20264825,20264825,v2/test_2/network/network-pnc_n2000_deg40_high_seed2.toml,v2/test_2/network/powerlaw_node_count/pnc_n2000_deg40_high_seed2/edgelist.txt,v2/test_2/network/powerlaw_node_count/pnc_n2000_deg40_high_seed2/comm.csv,2000,39581,39.581,0.3258074002130052,0.1743301134959393,1.0,559,0.42435443218040064,0.0,9.962646018343726e-138,4.48123806399708e-93,2.2906635635925054e-42,1.0,1.0,1.0,64,776
powerlaw_node_count,pnc_n2000_deg40_high_seed2,certainty_high,"Certainty high (0.9, 0.5)",1,corrective,2350.09,1.1750450000000001,55522.56,27.76128,22362.16,11.18108,n2000,deg40_high,20,40,1.0,20264825,20264825,v2/test_2/network/network-pnc_n2000_deg40_high_seed2.toml,v2/test_2/network/powerlaw_node_count/pnc_n2000_deg40_high_seed2/edgelist.txt,v2/test_2/network/powerlaw_node_count/pnc_n2000_deg40_high_seed2/comm.csv,2000,39581,39.581,0.3258074002130052,0.1743301134959393,1.0,559,0.42435443218040064,0.0,9.962646018343726e-138,4.48123806399708e-93,2.2906635635925054e-42,1.0,1.0,1.0,64,776
powerlaw_node_count,pnc_n2000_deg40_high_seed2,certainty_high,"Certainty high (0.9, 0.5)",2,observational,670.6666666666666,0.3353333333333333,13357.627450980392,6.678813725490196,2157.921568627451,1.0789607843137254,n2000,deg40_high,20,40,1.0,20264825,20264825,v2/test_2/network/network-pnc_n2000_deg40_high_seed2.toml,v2/test_2/network/powerlaw_node_count/pnc_n2000_deg40_high_seed2/edgelist.txt,v2/test_2/network/powerlaw_node_count/pnc_n2000_deg40_high_seed2/comm.csv,2000,39581,39.581,0.3258074002130052,0.1743301134959393,1.0,559,0.42435443218040064,0.0,9.962646018343726e-138,4.48123806399708e-93,2.2906635635925054e-42,1.0,1.0,1.0,64,776
powerlaw_node_count,pnc_n2000_deg40_high_seed2,certainty_high,"Certainty high (0.9, 0.5)",3,behavior-guiding,313.73,0.156865,7856.34,3.92817,5523.46,2.76173,n2000,deg40_high,20,40,1.0,20264825,20264825,v2/test_2/network/network-pnc_n2000_deg40_high_seed2.toml,v2/test_2/network/powerlaw_node_count/pnc_n2000_deg40_high_seed2/edgelist.txt,v2/test_2/network/powerlaw_node_count/pnc_n2000_deg40_high_seed2/comm.csv,2000,39581,39.581,0.3258074002130052,0.1743301134959393,1.0,559,0.42435443218040064,0.0,9.962646018343726e-138,4.48123806399708e-93,2.2906635635925054e-42,1.0,1.0,1.0,64,776
