dataset,network,strategy,strategy_label,info_label,info_name,mean_num_shared,mean_total_shared_ratio,mean_num_viewed,mean_total_viewed_ratio,mean_num_fst_viewed,mean_total_fst_viewed_ratio,degree_level,attachment_edges_m,target_avg_degree,triad_probability,requested_seed,actual_seed,config_path,graph_path,num_nodes,num_edges,avg_degree,avg_clustering,transitivity,largest_connected_component_ratio,max_degree
powerlaw_degree,pld_deg20_seed2,balance,"Balance (0.8, 0.8)",3,behavior-guiding,153.96,0.15396,2085.52,2.08552,1727.69,1.7276900000000002,deg20,10,20,0.0,20262619,20262619,v2/test_2/network/network-pld_deg20_seed2.toml,v2/test_2/network/powerlaw_degree/pld_deg20_seed2/edgelist.txt,1000,9900,19.8,0.05968782208514824,0.05381546660243575,1.0,168
powerlaw_degree,pld_deg20_seed2,certainty_high,"Certainty high (0.9, 0.5)",0,misinformation,422.47,0.42247,4523.5,4.5235,2443.23,2.4432300000000002,deg20,10,20,0.0,20262619,20262619,v2/test_2/network/network-pld_deg20_seed2.toml,v2/test_2/network/powerlaw_degree/pld_deg20_seed2/edgelist.txt,1000,9900,19.8,0.05968782208514824,0.05381546660243575,1.0,168
powerlaw_degree,pld_deg20_seed2,certainty_high,"Certainty high (0.9, 0.5)",1,corrective,669.58,0.6695800000000001,7688.81,7.68881,4796.59,4.79659,deg20,10,20,0.0,20262619,20262619,v2/test_2/network/network-pld_deg20_seed2.toml,v2/test_2/network/powerlaw_degree/pld_deg20_seed2/edgelist.txt,1000,9900,19.8,0.05968782208514824,0.05381546660243575,1.0,168
powerlaw_degree,pld_deg20_seed2,certainty_high,"Certainty high (0.9, 0.5)",2,observational,333.60869565217394,0.33360869565217394,3340.4347826086955,3.3404347826086958,964.9565217391304,0.9649565217391304,deg20,10,20,0.0,20262619,20262619,v2/test_2/network/network-pld_deg20_seed2.toml,v2/test_2/network/powerlaw_degree/pld_deg20_seed2/edgelist.txt,1000,9900,19.8,0.05968782208514824,0.05381546660243575,1.0,168
powerlaw_degree,pld_deg20_seed2,certainty_high,"Certainty high (0.9, 0.5)",3,behavior-guiding,216.26,0.21626,2694.78,2.69478,2135.42,2.1354200000000003,deg20,10,20,0.0,20262619,20262619,v2/test_2/network/network-pld_deg20_seed2.toml,v2/test_2/network/powerlaw_degree/pld_deg20_seed2/edgelist.txt,1000,9900,19.8,0.05968782208514824,0.05381546660243575,1.0,168
powerlaw_degree,pld_deg20_seed2,effective_high,"Effectiveness high (0.5, 0.9)",0,misinformation,424.63,0.42463,4557.8,4.5578,2447.91,2.44791,deg20,10,20,0.0,20262619,20262619,v2/test_2/network/network-pld_deg20_seed2.toml,v2/test_2/network/powerlaw_degree/pld_deg20_seed2/edgelist.txt,1000,9900,19.8,0.05968782208514824,0.05381546660243575,1.0,168
powerlaw_degree,pld_deg20_seed2,effective_high,"Effectiveness high (0.5, 0.9)",1,corrective,926.8,0.9268,10799.74,10.79974,6119.56,6.119560000000001,deg20,10,20,0.0,20262619,20262619,v2/test_2/network/network-pld_deg20_seed2.toml,v2/test_2/network/powerlaw_degree/pld_deg20_seed2/edgelist.txt,1000,9900,19.8,0.05968782208514824,0.05381546660243575,1.0,168
powerlaw_degree,pld_deg20_seed2,effective_high,"Effectiveness high (0.5, 0.9)",2,observational,314.26666666666665,0.31426666666666664,3136.9,3.1369000000000002,949.4,0.9494,deg20,10,20,0.0,20262619,20262619,v2/test_2/network/network-pld_deg20_seed2.toml,v2/test_2/network/powerlaw_degree/pld_deg20_seed2/edgelist.txt,1000,9900,19.8,0.05968782208514824,0.05381546660243575,1.0,168
powerlaw_degree,pld_deg20_seed2,effective_high,"Effectiveness high (0.5, 0.9)",3,behavior-guiding,133.8,0.1338,1878.05,1.87805,1583.04,1.58304,deg20,10,20,0.0,20262619,20262619,v2/test_2/network/network-pld_deg20_seed2.toml,v2/test_2/network/powerlaw_degree/pld_deg20_seed2/edgelist.txt,1000,9900,19.8,0.05968782208514824,0.05381546660243575,1.0,168
powerlaw_degree,pld_deg20_seed3,balance,"Balance (0.8, 0.8)",0,misinformation,411.57,0.41157,4422.45,4.4224499999999995,2306.8,2.3068000000000004,deg20,10,20,0.0,20263619,20263619,v2/test_2/network/network-pld_deg20_seed3.toml,v2/test_2/network/powerlaw_degree/pld_deg20_seed3/edgelist.txt,1000,9900,19.8,0.06490697455755866,0.05475753694922294,1.0,185
