seed_state,contrast,metric,current,balance,diff,abs_diff
0,effective_high_minus_balance,peak_mean_selfish_ratio,0.0675835602871998,0.06784600148551621,-0.0002624411983164071,0.0002624411983164071
0,effective_high_minus_balance,mean_total_shared_ratio_misinformation,0.3469447883139391,0.34562267888091114,0.0013221094330279626,0.0013221094330279626
0,effective_high_minus_balance,mean_total_shared_ratio_corrective,0.33527358256994305,0.33659074028224806,-0.001317157712305006,0.001317157712305006
0,effective_high_minus_balance,mean_total_shared_ratio_observational,0.13791532557563752,0.12665263679128497,0.011262688784352548,0.011262688784352548
0,effective_high_minus_balance,mean_total_shared_ratio_behavior_guiding,0.23285961871750432,0.23842040108937856,-0.00556078237187424,0.00556078237187424
0,effective_high_minus_balance,mean_total_fst_viewed_ratio_misinformation,2.1664100024758604,2.1676206981926223,-0.0012106957167619115,0.0012106957167619115
0,effective_high_minus_balance,mean_total_fst_viewed_ratio_corrective,3.3457167615746473,3.378999752413964,-0.03328299083931663,0.03328299083931663
0,effective_high_minus_balance,mean_total_fst_viewed_ratio_observational,0.3955781133944046,0.35674671948502107,0.038831393909383505,0.038831393909383505
0,effective_high_minus_balance,mean_total_fst_viewed_ratio_behavior_guiding,2.161020054468928,2.1878484773458777,-0.02682842287694953,0.02682842287694953
0,certainty_high_minus_balance,peak_mean_selfish_ratio,0.06777172567467195,0.06784600148551621,-7.427581084426538e-05,7.427581084426538e-05
0,certainty_high_minus_balance,mean_total_shared_ratio_misinformation,0.3478237187422629,0.34562267888091114,0.0022010398613517834,0.0022010398613517834
0,certainty_high_minus_balance,mean_total_shared_ratio_corrective,0.33702401584550634,0.33659074028224806,0.0004332755632582841,0.0004332755632582841
0,certainty_high_minus_balance,mean_total_shared_ratio_observational,0.14344663341939895,0.12665263679128497,0.016793996628113983,0.016793996628113983
0,certainty_high_minus_balance,mean_total_shared_ratio_behavior_guiding,0.25120079227531567,0.23842040108937856,0.012780391185937101,0.012780391185937101
0,certainty_high_minus_balance,mean_total_fst_viewed_ratio_misinformation,2.1795642485763804,2.1676206981926223,0.011943550383758161,0.011943550383758161
0,certainty_high_minus_balance,mean_total_fst_viewed_ratio_corrective,3.325607823718742,3.378999752413964,-0.053391928695222024,0.053391928695222024
0,certainty_high_minus_balance,mean_total_fst_viewed_ratio_observational,0.41721784034237613,0.35674671948502107,0.060471120857355065,0.060471120857355065
0,certainty_high_minus_balance,mean_total_fst_viewed_ratio_behavior_guiding,2.249492448625898,2.1878484773458777,0.06164397128002008,0.06164397128002008
1,effective_high_minus_balance,peak_mean_selfish_ratio,0.0673211190888834,0.06763060163406784,-0.0003094825451844391,0.0003094825451844391
1,effective_high_minus_balance,mean_total_shared_ratio_misinformation,0.3494800693240901,0.3504431790047042,-0.0009631096806140826,0.0009631096806140826
1,effective_high_minus_balance,mean_total_shared_ratio_corrective,0.41254270859123543,0.37589254766031194,0.03665016093092349,0.03665016093092349
1,effective_high_minus_balance,mean_total_shared_ratio_observational,0.14929437979697946,0.16339499404614533,-0.014100614249165866,0.014100614249165866
1,effective_high_minus_balance,mean_total_shared_ratio_behavior_guiding,0.2309333993562763,0.23486011388957664,-0.003926714533300346,0.003926714533300346
1,effective_high_minus_balance,mean_total_fst_viewed_ratio_misinformation,2.1945382520425847,2.1996385243872245,-0.0051002723446398335,0.0051002723446398335
1,effective_high_minus_balance,mean_total_fst_viewed_ratio_corrective,4.206674919534538,3.9047660311958405,0.30190888833869733,0.30190888833869733
1,effective_high_minus_balance,mean_total_fst_viewed_ratio_observational,0.43267035294764933,0.4730111570913749,-0.040340804143725595,0.040340804143725595
1,effective_high_minus_balance,mean_total_fst_viewed_ratio_behavior_guiding,2.1481133944045556,2.1636915077989602,-0.015578113394404625,0.015578113394404625
1,certainty_high_minus_balance,peak_mean_selfish_ratio,0.06776429809358751,0.06763060163406784,0.0001336964595196749,0.0001336964595196749
1,certainty_high_minus_balance,mean_total_shared_ratio_misinformation,0.34848477345877693,0.3504431790047042,-0.0019584055459272443,0.0019584055459272443
1,certainty_high_minus_balance,mean_total_shared_ratio_corrective,0.36153750928447637,0.37589254766031194,-0.014355038375835572,0.014355038375835572
1,certainty_high_minus_balance,mean_total_shared_ratio_observational,0.16232858660319946,0.16339499404614533,-0.0010664074429458659,0.0010664074429458659
1,certainty_high_minus_balance,mean_total_shared_ratio_behavior_guiding,0.24871502847239416,0.23486011388957664,0.013854914582817512,0.013854914582817512
1,certainty_high_minus_balance,mean_total_fst_viewed_ratio_misinformation,2.1845407279029465,2.1996385243872245,-0.015097796484278003,0.015097796484278003
1,certainty_high_minus_balance,mean_total_fst_viewed_ratio_corrective,3.796954691755385,3.9047660311958405,-0.10781133944045562,0.10781133944045562
