trial,state,value,score_metric,replicate_label,sampler_seed,certainty,effectiveness,final_selfish_ratio,normalized_selfish_auc,peak_selfish_ratio,final_window_selfish_mean,n_rows,n_iter,mean_n_steps,min_n_steps,max_n_steps,mean_t_max,min_t_max,max_t_max,score_failed,trial_elapsed_sec,simulation_elapsed_sec,score_elapsed_sec,trial_info_arrow,trial_pop_arrow,trial_agent_arrow
0,TrialState.COMPLETE,0.006812761969422407,auc,optseed5,8203,0.5567790001706887,0.7656276007637604,3.65425158116655e-05,0.006812761969422407,0.030458186929023197,0.00015319747013352075,1340,100,13.4,9,27,12.4,8,26,False,21.81366566498764,21.750384112121537,0.014995492994785309,result/trials/trial_0000_info.arrow,result/trials/trial_0000_pop.arrow,result/trials/trial_0000_agent.arrow
1,TrialState.COMPLETE,0.006881344219483949,auc,optseed5,8203,0.8885750423115399,0.7464338330154132,2.5298664792691495e-05,0.006881344219483949,0.030515811665495437,0.00013398922464277348,1323,100,13.23,10,24,12.23,9,23,False,21.29058468504809,21.232107356889173,0.01337921479716897,result/trials/trial_0001_info.arrow,result/trials/trial_0001_pop.arrow,result/trials/trial_0001_agent.arrow
2,TrialState.COMPLETE,0.006900772425486034,auc,optseed5,8203,0.8843293566911044,0.7573858877483215,2.3893183415319746e-05,0.006900772425486034,0.030498945888966972,0.00015553993909580698,1348,100,13.48,9,25,12.48,8,24,False,21.461827527964488,21.39820574084297,0.019571696873754263,result/trials/trial_0002_info.arrow,result/trials/trial_0002_pop.arrow,result/trials/trial_0002_agent.arrow
3,TrialState.COMPLETE,0.006347736351606749,auc,optseed5,8203,0.751299510248167,0.9367737035662445,2.2487702037947998e-05,0.006347736351606749,0.030355586788475056,8.807683298196299e-05,1482,100,14.82,10,27,13.82,9,26,False,23.06971212895587,23.008748522028327,0.01725430996157229,result/trials/trial_0003_info.arrow,result/trials/trial_0003_pop.arrow,result/trials/trial_0003_agent.arrow
4,TrialState.COMPLETE,0.006759265019264553,auc,optseed5,8203,0.7731634575514126,0.8034891675434828,3.9353478566408996e-05,0.006759265019264553,0.030414617006324668,0.00012508784258608575,1347,100,13.47,10,26,12.47,9,25,False,21.575253312010318,21.51727006980218,0.019217872992157936,result/trials/trial_0004_info.arrow,result/trials/trial_0004_pop.arrow,result/trials/trial_0004_agent.arrow
5,TrialState.COMPLETE,0.006633597431048201,auc,optseed5,8203,0.5179685057031768,0.7887073037749057,2.951510892480675e-05,0.006633597431048201,0.03044975404075896,0.00012133989224642774,1418,100,14.18,9,26,13.18,8,25,False,23.53473922703415,23.46630244422704,0.019149502040818334,result/trials/trial_0005_info.arrow,result/trials/trial_0005_pop.arrow,result/trials/trial_0005_agent.arrow
6,TrialState.COMPLETE,0.007041253848650683,auc,optseed5,8203,0.7704946524593147,0.6265660364946863,3.3731553056921995e-05,0.007041253848650683,0.03077863668306395,0.00017755914734129776,1323,100,13.23,8,30,12.23,7,29,False,21.65956972911954,21.59543990693055,0.019275482976809144,result/trials/trial_0006_info.arrow,result/trials/trial_0006_pop.arrow,result/trials/trial_0006_agent.arrow
7,TrialState.COMPLETE,0.006376190800986593,auc,optseed5,8203,0.9853912933419556,0.9174483681043546,1.827125790583275e-05,0.006376190800986593,0.030379479971890378,9.463574607636448e-05,1472,100,14.72,10,25,13.72,9,24,False,25.69546505389735,25.63364297687076,0.01909662107937038,result/trials/trial_0007_info.arrow,result/trials/trial_0007_pop.arrow,result/trials/trial_0007_agent.arrow
8,TrialState.COMPLETE,0.006924013759069064,auc,optseed5,8203,0.5785422154496174,0.7405387827836348,2.8109627547434995e-05,0.006924013759069064,0.030594518622628256,0.00015507144530334976,1388,100,13.88,9,25,12.88,8,24,False,21.85237909387797,21.795753037091345,0.016523112077265978,result/trials/trial_0008_info.arrow,result/trials/trial_0008_pop.arrow,result/trials/trial_0008_agent.arrow
9,TrialState.COMPLETE,0.007051537575498507,auc,optseed5,8203,0.7525686607362092,0.6440451607037911,2.2487702037947995e-05,0.007051537575498507,0.030667603654251575,0.00018739751698289997,1303,100,13.03,9,25,12.03,8,24,False,22.31646549096331,22.255433154059574,0.01913115195930004,result/trials/trial_0009_info.arrow,result/trials/trial_0009_pop.arrow,result/trials/trial_0009_agent.arrow
10,TrialState.COMPLETE,0.006512952517269206,auc,optseed5,8203,0.9577928276263463,0.8578029936880829,2.1082220660576246e-05,0.006512952517269206,0.030340126493323964,0.00014007964394471774,1471,100,14.71,10,25,13.71,9,24,False,23.4870488550514,23.424889924004674,0.017060957849025726,result/trials/trial_0010_info.arrow,result/trials/trial_0010_pop.arrow,result/trials/trial_0010_agent.arrow
11,TrialState.COMPLETE,0.0063395582017677496,auc,optseed5,8203,0.9311764942576992,0.983428631226871,1.546029515108925e-05,0.0063395582017677496,0.030174279690794097,9.697821503865074e-05,1484,100,14.84,10,26,13.84,9,25,False,22.162934652063996,22.099570587975904,0.01893418002873659,result/trials/trial_0011_info.arrow,result/trials/trial_0011_pop.arrow,result/trials/trial_0011_agent.arrow
12,TrialState.COMPLETE,0.006590644126582158,auc,optseed5,8203,0.8314449518339551,0.840448744779287,2.9515108924806747e-05,0.006590644126582158,0.030349964862965567,0.00013867416256734599,1378,100,13.78,9,23,12.78,8,22,False,22.495619386900216,22.436850585974753,0.018844639183953404,result/trials/trial_0012_info.arrow,result/trials/trial_0012_pop.arrow,result/trials/trial_0012_agent.arrow
13,TrialState.COMPLETE,0.006531169110366245,auc,optseed5,8203,0.7968946825904224,0.8741071582356104,3.3731553056921995e-05,0.006531169110366245,0.03028531271960647,0.00012040290466151324,1406,100,14.06,10,26,13.06,9,25,False,22.669577451888472,22.60869767703116,0.01727247005328536,result/trials/trial_0013_info.arrow,result/trials/trial_0013_pop.arrow,result/trials/trial_0013_agent.arrow
14,TrialState.COMPLETE,0.007148956131929801,auc,optseed5,8203,0.6163158661674815,0.5735772243175852,2.2487702037947995e-05,0.007148956131929801,0.0307912860154603,0.00018880299836027174,1362,100,13.62,9,25,12.62,8,24,False,21.63008404802531,21.562354642897844,0.017697205068543553,result/trials/trial_0014_info.arrow,result/trials/trial_0014_pop.arrow,result/trials/trial_0014_agent.arrow
15,TrialState.COMPLETE,0.007040287953132307,auc,optseed5,8203,0.821368208077579,0.7157933532638814,2.5298664792691498e-05,0.007040287953132307,0.030588896697118763,0.00016537830873740924,1342,100,13.42,9,27,12.42,8,26,False,23.704792347969487,23.64028237084858,0.018916549161076546,result/trials/trial_0015_info.arrow,result/trials/trial_0015_pop.arrow,result/trials/trial_0015_agent.arrow
16,TrialState.COMPLETE,0.006315675638004757,auc,optseed5,8203,0.8777494141199198,0.9452727897063962,1.6865776528460998e-05,0.006315675638004757,0.030323260716795506,9.885219020847975e-05,1483,100,14.83,10,26,13.83,9,25,False,22.232455278048292,22.174702289048582,0.011805736226961017,result/trials/trial_0016_info.arrow,result/trials/trial_0016_pop.arrow,result/trials/trial_0016_agent.arrow
17,TrialState.COMPLETE,0.006264892978907378,auc,optseed5,8203,0.8398744166850746,0.9960553459891058,9.83836964160225e-06,0.006264892978907378,0.03020238931834153,0.00010962754743499649,1505,100,15.05,10,27,14.05,9,26,False,22.478710391093045,22.416906545171514,0.017398221883922815,result/trials/trial_0017_info.arrow,result/trials/trial_0017_pop.arrow,result/trials/trial_0017_agent.arrow
18,TrialState.COMPLETE,0.0065972146164016265,auc,optseed5,8203,0.6835019937898019,0.8930693436245029,2.5298664792691498e-05,0.0065972146164016265,0.030265635980323263,0.00011009604122745374,1457,100,14.57,10,23,13.57,9,22,False,23.57006543595344,23.504826960153878,0.017122208839282393,result/trials/trial_0018_info.arrow,result/trials/trial_0018_pop.arrow,result/trials/trial_0018_agent.arrow
19,TrialState.COMPLETE,0.007046632566956103,auc,optseed5,8203,0.6085289222702284,0.6213658928403993,2.6704146170063247e-05,0.007046632566956103,0.030777231201686576,0.000200515343171703,1363,100,13.63,8,24,12.63,7,23,False,23.385635069105774,23.324996656971052,0.017123238882049918,result/trials/trial_0019_info.arrow,result/trials/trial_0019_pop.arrow,result/trials/trial_0019_agent.arrow
20,TrialState.COMPLETE,0.006647285440506821,auc,optseed5,8203,0.6327473378841011,0.8165444916270781,2.2487702037947998e-05,0.006647285440506821,0.030358397751229803,0.000146170063246662,1384,100,13.84,9,26,12.84,8,25,False,22.337328762980178,22.278239648090675,0.017255180049687624,result/trials/trial_0020_info.arrow,result/trials/trial_0020_pop.arrow,result/trials/trial_0020_agent.arrow
21,TrialState.COMPLETE,0.006896808385670599,auc,optseed5,8203,0.9811305112833042,0.748462321204288,3.3731553056922e-05,0.006896808385670599,0.03052705551651441,0.00014382759428437574,1333,100,13.33,9,24,12.33,8,23,False,23.72463517799042,23.665038886945695,0.017137659015133977,result/trials/trial_0021_info.arrow,result/trials/trial_0021_pop.arrow,result/trials/trial_0021_agent.arrow
22,TrialState.COMPLETE,0.006285436748094473,auc,optseed5,8203,0.5767742785787016,0.9683707889482596,1.2649332396345749e-05,0.006285436748094473,0.030254392129304288,9.650972124619349e-05,1481,100,14.81,10,30,13.81,9,29,False,22.420875701121986,22.35674122814089,0.01919120200909674,result/trials/trial_0022_info.arrow,result/trials/trial_0022_pop.arrow,result/trials/trial_0022_agent.arrow
23,TrialState.COMPLETE,0.007018758027556887,auc,optseed5,8203,0.8735951872406665,0.6401699487764934,3.092059030217849e-05,0.007018758027556887,0.030706957132817986,0.00016338721011946593,1304,100,13.04,9,31,12.04,8,30,False,22.496650379151106,22.435239298036322,0.017191388877108693,result/trials/trial_0023_info.arrow,result/trials/trial_0023_pop.arrow,result/trials/trial_0023_agent.arrow
24,TrialState.COMPLETE,0.006350975984487927,auc,optseed5,8203,0.7015224983144237,0.9899145129971089,1.9676739283204498e-05,0.006350975984487927,0.03013633169360506,0.00010869055985008199,1467,100,14.67,10,30,13.67,9,29,False,23.06620301818475,23.00404251785949,0.01709023816511035,result/trials/trial_0024_info.arrow,result/trials/trial_0024_pop.arrow,result/trials/trial_0024_agent.arrow
25,TrialState.COMPLETE,0.007181429207087551,auc,optseed5,8203,0.5809748004161766,0.60110955494063,4.356992269852425e-05,0.007181429207087551,0.03084609978917779,0.00022019208245490748,1304,100,13.04,9,25,12.04,8,24,False,21.13178091403097,21.068167086923495,0.019018020015209913,result/trials/trial_0025_info.arrow,result/trials/trial_0025_pop.arrow,result/trials/trial_0025_agent.arrow
26,TrialState.COMPLETE,0.006723526294024407,auc,optseed5,8203,0.6731471814538235,0.7277880378062082,3.2326071679550243e-05,0.006723526294024407,0.03053548840477864,0.00013914265635980324,1374,100,13.74,9,25,12.74,8,24,False,21.814709928119555,21.751447655027732,0.019298593048006296,result/trials/trial_0026_info.arrow,result/trials/trial_0026_pop.arrow,result/trials/trial_0026_agent.arrow
