trial,state,value,score_metric,replicate_label,sampler_seed,certainty,effectiveness,final_selfish_ratio,normalized_selfish_auc,peak_selfish_ratio,final_window_selfish_mean,n_rows,n_iter,mean_n_steps,min_n_steps,max_n_steps,mean_t_max,min_t_max,max_t_max,score_failed,trial_elapsed_sec,simulation_elapsed_sec,score_elapsed_sec,trial_info_arrow,trial_pop_arrow,trial_agent_arrow
56,TrialState.COMPLETE,0.021511383038658963,auc,optseed4,7204,0.5182136819016285,0.9318135008189887,4e-05,0.021511383038658963,0.09641,0.00049,1307,100,13.07,9,22,12.07,8,21,False,6.046027804957703,5.981419686926529,0.01170183508656919,result/trials/trial_0056_info.arrow,result/trials/trial_0056_pop.arrow,result/trials/trial_0056_agent.arrow
57,TrialState.COMPLETE,0.022451348481830308,auc,optseed4,7204,0.6706384931614415,0.7313192972263467,6e-05,0.022451348481830308,0.09744999999999998,0.0007033333333333333,1276,100,12.76,8,24,11.76,7,23,False,5.477193584898487,5.41193142789416,0.011765585979446769,result/trials/trial_0057_info.arrow,result/trials/trial_0057_pop.arrow,result/trials/trial_0057_agent.arrow
58,TrialState.COMPLETE,0.023130991738868286,auc,optseed4,7204,0.5182136819016285,0.5543394392985221,2e-05,0.023130991738868286,0.09770999999999999,0.0006366666666666667,1217,100,12.17,8,24,11.17,7,23,False,5.542445420986041,5.479387309867889,0.012217450886964798,result/trials/trial_0058_info.arrow,result/trials/trial_0058_pop.arrow,result/trials/trial_0058_agent.arrow
59,TrialState.COMPLETE,0.022457079325602158,auc,optseed4,7204,0.986534878343027,0.7273190448573204,7.000000000000001e-05,0.022457079325602158,0.09765,0.0005066666666666667,1287,100,12.87,9,24,11.87,8,23,False,5.670058489078656,5.604162235977128,0.012037938926368952,result/trials/trial_0059_info.arrow,result/trials/trial_0059_pop.arrow,result/trials/trial_0059_agent.arrow
60,TrialState.COMPLETE,0.021450762567070167,auc,optseed4,7204,0.8786137126847388,0.880961632279954,8e-05,0.021450762567070167,0.09728999999999999,0.00043333333333333337,1330,100,13.3,8,24,12.3,7,23,False,5.924477276857942,5.854224923066795,0.011789877200499177,result/trials/trial_0060_info.arrow,result/trials/trial_0060_pop.arrow,result/trials/trial_0060_agent.arrow
61,TrialState.COMPLETE,0.022467558320807157,auc,optseed4,7204,0.7784326619643853,0.7554996382111581,6e-05,0.022467558320807157,0.09782,0.0006,1264,100,12.64,8,26,11.64,7,25,False,5.5911247848998755,5.527867491124198,0.011841067112982273,result/trials/trial_0061_info.arrow,result/trials/trial_0061_pop.arrow,result/trials/trial_0061_agent.arrow
62,TrialState.COMPLETE,0.022728154930295022,auc,optseed4,7204,0.7602214449924323,0.5243075214278259,5e-05,0.022728154930295022,0.09834,0.0007233333333333333,1266,100,12.66,9,25,11.66,8,24,False,5.376370706129819,5.313550867838785,0.012437645113095641,result/trials/trial_0062_info.arrow,result/trials/trial_0062_pop.arrow,result/trials/trial_0062_agent.arrow
63,TrialState.COMPLETE,0.022660650375720726,auc,optseed4,7204,0.9379941686301382,0.5750034915222632,6e-05,0.022660650375720726,0.09717000000000002,0.0007533333333333334,1318,100,13.18,8,29,12.18,7,28,False,5.4748992279637605,5.412920770002529,0.011645684950053692,result/trials/trial_0063_info.arrow,result/trials/trial_0063_pop.arrow,result/trials/trial_0063_agent.arrow
64,TrialState.COMPLETE,0.02133481100620226,auc,optseed4,7204,0.6430467617679402,0.8855351026479497,2e-05,0.02133481100620226,0.09725999999999999,0.00043666666666666664,1347,100,13.47,9,24,12.47,8,23,False,6.283333675004542,6.216886955080554,0.012018409091979265,result/trials/trial_0064_info.arrow,result/trials/trial_0064_pop.arrow,result/trials/trial_0064_agent.arrow
65,TrialState.COMPLETE,0.023143018614512418,auc,optseed4,7204,0.5311024329001696,0.5035246388962091,7.000000000000001e-05,0.023143018614512418,0.09806000000000001,0.0008666666666666667,1261,100,12.61,9,22,11.61,8,21,False,5.610099765006453,5.544552225153893,0.01176536688581109,result/trials/trial_0065_info.arrow,result/trials/trial_0065_pop.arrow,result/trials/trial_0065_agent.arrow
66,TrialState.COMPLETE,0.020835388849841253,auc,optseed4,7204,0.6944050339723074,0.9993340346907509,1e-05,0.020835388849841253,0.09512999999999999,0.0002666666666666666,1322,100,13.22,9,24,12.22,8,23,False,5.56228392990306,5.498557521961629,0.012543994933366776,result/trials/trial_0066_info.arrow,result/trials/trial_0066_pop.arrow,result/trials/trial_0066_agent.arrow
67,TrialState.COMPLETE,0.022185369843134163,auc,optseed4,7204,0.683429497231671,0.6692029751856298,2e-05,0.022185369843134163,0.09722000000000001,0.0005600000000000001,1305,100,13.05,8,22,12.05,7,21,False,5.926379648968577,5.859446384012699,0.01172163593582809,result/trials/trial_0067_info.arrow,result/trials/trial_0067_pop.arrow,result/trials/trial_0067_agent.arrow
68,TrialState.COMPLETE,0.022695210834399362,auc,optseed4,7204,0.9745483531128489,0.7262540874852039,5e-05,0.022695210834399362,0.09768999999999999,0.0006033333333333333,1268,100,12.68,9,26,11.68,8,25,False,5.584799040807411,5.519293671939522,0.011687005870044231,result/trials/trial_0068_info.arrow,result/trials/trial_0068_pop.arrow,result/trials/trial_0068_agent.arrow
69,TrialState.COMPLETE,0.02253503904991637,auc,optseed4,7204,0.673014631265124,0.6765425647956522,4e-05,0.02253503904991637,0.09754999999999998,0.00063,1279,100,12.79,9,22,11.79,8,21,False,5.799054394010454,5.734337823931128,0.011735345935449004,result/trials/trial_0069_info.arrow,result/trials/trial_0069_pop.arrow,result/trials/trial_0069_agent.arrow
70,TrialState.COMPLETE,0.022778728921149526,auc,optseed4,7204,0.6092956804239935,0.5853223019225895,6e-05,0.022778728921149526,0.09707,0.0007133333333333333,1257,100,12.57,9,23,11.57,8,22,False,5.221749174175784,5.159515932900831,0.011760765919461846,result/trials/trial_0070_info.arrow,result/trials/trial_0070_pop.arrow,result/trials/trial_0070_agent.arrow
71,TrialState.COMPLETE,0.02259873922392537,auc,optseed4,7204,0.8733748954752968,0.6289253954804774,8e-05,0.02259873922392537,0.09731999999999999,0.0006766666666666667,1279,100,12.79,8,24,11.79,7,23,False,5.549615393159911,5.49006010312587,0.011662245029583573,result/trials/trial_0071_info.arrow,result/trials/trial_0071_pop.arrow,result/trials/trial_0071_agent.arrow
