condition,info_name,shared_ratio,viewed_ratio,fst_viewed_ratio,shared_per_fst_viewed,viewed_per_fst_viewed
facebook,behavior-guiding,0.24082693736073288,8.304931088553273,2.1994536601469012,0.1094939810392041,3.7759063712206546
facebook,corrective,0.33629611289923256,8.522333085747297,3.3501081125691177,0.10038365975041179,2.5438979278826093
facebook,misinformation,0.3467970619790377,9.121607658661384,2.1711983164149546,0.15972611039587717,4.201185856537889
facebook,observational,0.13600486526210717,3.597804265553709,0.3898475577406006,0.348866787957674,9.228746452600943
lfr_strong_facebook_like,behavior-guiding,0.15117333333333333,3.393721111111111,1.8482133333333333,0.08179430945922549,1.8362171995536831
lfr_strong_facebook_like,corrective,0.6339533333333334,13.11431,5.383666666666667,0.1177549377747508,2.435943904402204
lfr_strong_facebook_like,misinformation,0.49343666666666675,9.489026666666668,3.5202911111111113,0.1401692789295835,2.695523286899884
lfr_strong_facebook_like,observational,0.33222627966200136,6.240362999575672,1.0408830819970385,0.3191773268373158,5.995258360432673
lfr_strong_original,behavior-guiding,0.12071666666666665,2.782216666666667,1.6557000000000002,0.07290974612953231,1.6803869461053733
lfr_strong_original,corrective,0.6127699999999999,12.228332222222223,4.931233333333334,0.12426303088476848,2.479771569429329
lfr_strong_original,misinformation,0.4305877777777778,8.440475555555556,3.0016866666666666,0.1434486092633845,2.8119109330383885
lfr_strong_original,observational,0.3371863114663115,6.335414202464203,1.0675316494616494,0.31585603259290046,5.934638289796016
