dataset,network,strategy,strategy_label,total_agents,mean_final_selfish_ratio,max_final_selfish_ratio,peak_mean_selfish_ratio,mean_total_shared_ratio_misinformation,mean_total_viewed_ratio_misinformation,mean_total_fst_viewed_ratio_misinformation,mean_total_shared_ratio_corrective,mean_total_viewed_ratio_corrective,mean_total_fst_viewed_ratio_corrective,mean_total_shared_ratio_observational,mean_total_viewed_ratio_observational,mean_total_fst_viewed_ratio_observational,mean_total_shared_ratio_behavior_guiding,mean_total_viewed_ratio_behavior_guiding,mean_total_fst_viewed_ratio_behavior_guiding,source_network,structure_level,seed_index,comm_method,method_seed,config_path,graph_path,comm_path,lfr_community_path,target_top20_ratio,target_middle20_ratio,target_bottom20_ratio,target_top20_count,target_middle20_count,target_bottom20_count,target_top20_communities_touched,target_middle20_communities_touched,target_bottom20_communities_touched,anchor_top20_community,anchor_middle20_community,anchor_bottom20_community,num_nodes,num_edges,avg_degree,median_degree,p90_degree,p99_degree,avg_clustering,transitivity,max_degree,lfr_communities,lfr_modularity,lfr_internal_edges,lfr_external_edges,lfr_internal_edge_ratio,lfr_external_edge_ratio,lfr_comm_size_min,lfr_comm_size_median,lfr_comm_size_max,comm_mean,comm_std,comm_min,comm_q10,comm_q25,comm_median,comm_q75,comm_q90,comm_max,comm_count_zero,comm_count_one,top20_count,top20_degree_mean,top20_degree_median,top20_degree_p90,top20_max_degree,top20_communities_touched,top20_largest_comm_count,top20_largest_comm_ratio,middle20_count,middle20_degree_mean,middle20_degree_median,middle20_degree_p90,middle20_max_degree,middle20_communities_touched,middle20_largest_comm_count,middle20_largest_comm_ratio,bottom20_count,bottom20_degree_mean,bottom20_degree_median,bottom20_degree_p90,bottom20_max_degree,bottom20_communities_touched,bottom20_largest_comm_count,bottom20_largest_comm_ratio
lfr_facebook_pool,lfrpool_strong_half_facebook_seed1,certainty_high,"Certainty high (0.9, 0.5)",1000,0.00004,0.001,0.10487,0.47191000000000005,8.79156,3.28122,0.57739,11.85774,5.00498,0.3368695652173913,6.228739130434783,1.0340434782608696,0.16268000000000002,3.3720700000000003,1.8722400000000001,lfr_strong_seed1,strong,1,half_facebook,20261802,v2/test_2/network/network-lfrpool_strong_half_facebook_seed1.toml,v2/test_2/network/lfr_facebook_pool/lfrpool_strong_half_facebook_seed1/edgelist.txt,v2/test_2/network/lfr_facebook_pool/lfrpool_strong_half_facebook_seed1/comm.csv,v2/test_2/network/lfr_facebook_pool/lfrpool_strong_half_facebook_seed1/lfr_communities.csv,0.45,0.29,0.41,90,58,82,5,9,6,9,11,5,1000,18404,36.808,32.0,61.0,101.02999999999997,0.4355018009048542,0.37615796322883566,119,12,0.8128791977080287,16980,1424,0.9226255161921322,0.07737448380786785,48,64.0,137,0.5005,0.2886749902572095,0.001,0.10090000000000002,0.25075000000000003,0.5005,0.75025,0.9001,1.0,0,1,200,38.7,32.5,64.0,119,5,90,0.45,200,34.125,29.5,54.0,114,9,58,0.29,200,40.89,35.0,69.19999999999999,105,6,82,0.41
lfr_facebook_pool,lfrpool_strong_half_facebook_seed1,effective_high,"Effectiveness high (0.5, 0.9)",1000,0.00003,0.001,0.10382,0.47061000000000003,8.766530000000001,3.2601,0.68949,13.926440000000001,5.66188,0.3296,6.0688,1.0392333333333335,0.12178,2.67231,1.58836,lfr_strong_seed1,strong,1,half_facebook,20261802,v2/test_2/network/network-lfrpool_strong_half_facebook_seed1.toml,v2/test_2/network/lfr_facebook_pool/lfrpool_strong_half_facebook_seed1/edgelist.txt,v2/test_2/network/lfr_facebook_pool/lfrpool_strong_half_facebook_seed1/comm.csv,v2/test_2/network/lfr_facebook_pool/lfrpool_strong_half_facebook_seed1/lfr_communities.csv,0.45,0.29,0.41,90,58,82,5,9,6,9,11,5,1000,18404,36.808,32.0,61.0,101.02999999999997,0.4355018009048542,0.37615796322883566,119,12,0.8128791977080287,16980,1424,0.9226255161921322,0.07737448380786785,48,64.0,137,0.5005,0.2886749902572095,0.001,0.10090000000000002,0.25075000000000003,0.5005,0.75025,0.9001,1.0,0,1,200,38.7,32.5,64.0,119,5,90,0.45,200,34.125,29.5,54.0,114,9,58,0.29,200,40.89,35.0,69.19999999999999,105,6,82,0.41
lfr_facebook_pool,lfrpool_strong_half_facebook_seed2,balance,"Balance (0.8, 0.8)",1000,0.00006,0.002,0.1027,0.47311000000000003,9.01303,3.25231,0.6575,13.37941,5.34966,0.3342413793103448,6.168517241379311,1.0575172413793104,0.13490000000000002,3.02922,1.6696600000000001,lfr_strong_seed2,strong,2,half_facebook,20262802,v2/test_2/network/network-lfrpool_strong_half_facebook_seed2.toml,v2/test_2/network/lfr_facebook_pool/lfrpool_strong_half_facebook_seed2/edgelist.txt,v2/test_2/network/lfr_facebook_pool/lfrpool_strong_half_facebook_seed2/comm.csv,v2/test_2/network/lfr_facebook_pool/lfrpool_strong_half_facebook_seed2/lfr_communities.csv,0.45,0.29,0.41,90,58,82,5,9,6,8,3,12,1000,18585,37.17,31.0,61.0,99.00999999999999,0.4704899079518049,0.39654408933384677,122,14,0.8098328521190041,17147,1438,0.922625773473231,0.0773742265267689,40,50.0,146,0.5005,0.2886749902572095,0.001,0.10090000000000002,0.25075000000000003,0.5005,0.75025,0.9001,1.0,0,1,200,39.195,36.0,61.099999999999994,122,5,90,0.45,200,34.585,30.5,56.19999999999999,93,9,58,0.29,200,39.015,33.0,64.19999999999999,100,6,82,0.41
lfr_facebook_pool,lfrpool_strong_half_facebook_seed2,certainty_high,"Certainty high (0.9, 0.5)",1000,0.00008,0.002,0.10297,0.4734,9.01291,3.23885,0.55384,11.29666,4.71241,0.34115384615384614,6.315153846153846,1.0398076923076924,0.16753,3.6045000000000003,1.87829,lfr_strong_seed2,strong,2,half_facebook,20262802,v2/test_2/network/network-lfrpool_strong_half_facebook_seed2.toml,v2/test_2/network/lfr_facebook_pool/lfrpool_strong_half_facebook_seed2/edgelist.txt,v2/test_2/network/lfr_facebook_pool/lfrpool_strong_half_facebook_seed2/comm.csv,v2/test_2/network/lfr_facebook_pool/lfrpool_strong_half_facebook_seed2/lfr_communities.csv,0.45,0.29,0.41,90,58,82,5,9,6,8,3,12,1000,18585,37.17,31.0,61.0,99.00999999999999,0.4704899079518049,0.39654408933384677,122,14,0.8098328521190041,17147,1438,0.922625773473231,0.0773742265267689,40,50.0,146,0.5005,0.2886749902572095,0.001,0.10090000000000002,0.25075000000000003,0.5005,0.75025,0.9001,1.0,0,1,200,39.195,36.0,61.099999999999994,122,5,90,0.45,200,34.585,30.5,56.19999999999999,93,9,58,0.29,200,39.015,33.0,64.19999999999999,100,6,82,0.41
lfr_facebook_pool,lfrpool_strong_half_facebook_seed2,effective_high,"Effectiveness high (0.5, 0.9)",1000,0.00009,0.003,0.10192999999999999,0.47111000000000003,8.972280000000001,3.2255900000000004,0.6384299999999999,12.979600000000001,5.23775,0.32637037037037037,6.059777777777778,1.0678888888888889,0.12469,2.8497500000000002,1.60354,lfr_strong_seed2,strong,2,half_facebook,20262802,v2/test_2/network/network-lfrpool_strong_half_facebook_seed2.toml,v2/test_2/network/lfr_facebook_pool/lfrpool_strong_half_facebook_seed2/edgelist.txt,v2/test_2/network/lfr_facebook_pool/lfrpool_strong_half_facebook_seed2/comm.csv,v2/test_2/network/lfr_facebook_pool/lfrpool_strong_half_facebook_seed2/lfr_communities.csv,0.45,0.29,0.41,90,58,82,5,9,6,8,3,12,1000,18585,37.17,31.0,61.0,99.00999999999999,0.4704899079518049,0.39654408933384677,122,14,0.8098328521190041,17147,1438,0.922625773473231,0.0773742265267689,40,50.0,146,0.5005,0.2886749902572095,0.001,0.10090000000000002,0.25075000000000003,0.5005,0.75025,0.9001,1.0,0,1,200,39.195,36.0,61.099999999999994,122,5,90,0.45,200,34.585,30.5,56.19999999999999,93,9,58,0.29,200,39.015,33.0,64.19999999999999,100,6,82,0.41
lfr_facebook_pool,lfrpool_strong_half_facebook_seed3,balance,"Balance (0.8, 0.8)",1000,0.00003,0.001,0.09907,0.49224,9.7996,3.4295999999999998,0.63902,13.392479999999999,5.286420000000001,0.3342333333333334,6.4953666666666665,1.0684333333333333,0.13779,3.22906,1.7445,lfr_strong_seed3,strong,3,half_facebook,20263802,v2/test_2/network/network-lfrpool_strong_half_facebook_seed3.toml,v2/test_2/network/lfr_facebook_pool/lfrpool_strong_half_facebook_seed3/edgelist.txt,v2/test_2/network/lfr_facebook_pool/lfrpool_strong_half_facebook_seed3/comm.csv,v2/test_2/network/lfr_facebook_pool/lfrpool_strong_half_facebook_seed3/lfr_communities.csv,0.45,0.29,0.41,90,58,82,5,9,6,1,5,7,1000,19342,38.684,34.0,60.10000000000002,104.0,0.5166733393676928,0.4540452306115981,118,14,0.8289077306607316,17857,1485,0.9232240719677386,0.0767759280322614,40,66.5,135,0.5005,0.2886749902572095,0.001,0.10090000000000002,0.25075000000000003,0.5005,0.75025,0.9001,1.0,0,1,200,43.5,36.0,73.0,118,5,90,0.45,200,38.38,33.0,61.0,104,9,58,0.29,200,40.185,35.0,63.099999999999994,111,6,82,0.41
lfr_facebook_pool,lfrpool_strong_half_facebook_seed3,certainty_high,"Certainty high (0.9, 0.5)",1000,0.00003,0.001,0.10003999999999999,0.49132,9.78323,3.42623,0.5444800000000001,11.50665,4.72929,0.3500384615384616,6.801692307692308,1.1321538461538463,0.17065,3.81379,1.94443,lfr_strong_seed3,strong,3,half_facebook,20263802,v2/test_2/network/network-lfrpool_strong_half_facebook_seed3.toml,v2/test_2/network/lfr_facebook_pool/lfrpool_strong_half_facebook_seed3/edgelist.txt,v2/test_2/network/lfr_facebook_pool/lfrpool_strong_half_facebook_seed3/comm.csv,v2/test_2/network/lfr_facebook_pool/lfrpool_strong_half_facebook_seed3/lfr_communities.csv,0.45,0.29,0.41,90,58,82,5,9,6,1,5,7,1000,19342,38.684,34.0,60.10000000000002,104.0,0.5166733393676928,0.4540452306115981,118,14,0.8289077306607316,17857,1485,0.9232240719677386,0.0767759280322614,40,66.5,135,0.5005,0.2886749902572095,0.001,0.10090000000000002,0.25075000000000003,0.5005,0.75025,0.9001,1.0,0,1,200,43.5,36.0,73.0,118,5,90,0.45,200,38.38,33.0,61.0,104,9,58,0.29,200,40.185,35.0,63.099999999999994,111,6,82,0.41
lfr_facebook_pool,lfrpool_strong_half_facebook_seed3,effective_high,"Effectiveness high (0.5, 0.9)",1000,0.00006,0.002,0.09918,0.49043000000000003,9.76468,3.41671,0.5952999999999999,12.41632,5.0649,0.3284761904761905,6.363047619047619,1.04,0.12462000000000001,2.98318,1.64831,lfr_strong_seed3,strong,3,half_facebook,20263802,v2/test_2/network/network-lfrpool_strong_half_facebook_seed3.toml,v2/test_2/network/lfr_facebook_pool/lfrpool_strong_half_facebook_seed3/edgelist.txt,v2/test_2/network/lfr_facebook_pool/lfrpool_strong_half_facebook_seed3/comm.csv,v2/test_2/network/lfr_facebook_pool/lfrpool_strong_half_facebook_seed3/lfr_communities.csv,0.45,0.29,0.41,90,58,82,5,9,6,1,5,7,1000,19342,38.684,34.0,60.10000000000002,104.0,0.5166733393676928,0.4540452306115981,118,14,0.8289077306607316,17857,1485,0.9232240719677386,0.0767759280322614,40,66.5,135,0.5005,0.2886749902572095,0.001,0.10090000000000002,0.25075000000000003,0.5005,0.75025,0.9001,1.0,0,1,200,43.5,36.0,73.0,118,5,90,0.45,200,38.38,33.0,61.0,104,9,58,0.29,200,40.185,35.0,63.099999999999994,111,6,82,0.41
lfr_facebook_pool,lfrpool_strong_original_seed1,balance,"Balance (0.8, 0.8)",1000,0.00001,0.001,0.11487,0.44333,8.61097,3.11111,0.62078,11.852549999999999,4.867319999999999,0.333,6.1219230769230775,1.0602692307692307,0.11011,2.57925,1.63293,lfr_strong_seed1,strong,1,original,,v2/test_2/network/network-lfrpool_strong_original_seed1.toml,v2/test_2/network/lfr_facebook_pool/lfrpool_strong_original_seed1/edgelist.txt,v2/test_2/network/lfr_facebook_pool/lfrpool_strong_original_seed1/comm.csv,v2/test_2/network/lfr_facebook_pool/lfrpool_strong_original_seed1/lfr_communities.csv,,,,,,,,,,,,,1000,18404,36.808,32.0,61.0,101.02999999999997,0.4355018009048542,0.37615796322883566,119,12,0.8128791977080287,16980,1424,0.9226255161921322,0.07737448380786785,48,64.0,137,0.5389149942726151,0.47336027802577996,7.397288651350948e-213,2.9733792714278774e-51,9.262905400043418e-7,0.916213213196591,0.999999999873469,1.0,1.0,0,221,200,39.05,32.5,63.099999999999994,115,6,54,0.27,200,34.53,31.0,52.19999999999999,96,8,52,0.26,200,34.185,30.0,51.0,107,6,49,0.245
lfr_facebook_pool,lfrpool_strong_original_seed1,certainty_high,"Certainty high (0.9, 0.5)",1000,0.00006,0.001,0.11617000000000001,0.44433,8.62603,3.1226599999999998,0.5802200000000001,11.115639999999999,4.62621,0.3428076923076923,6.340346153846155,1.0246153846153845,0.14641,3.2380700000000004,1.91896,lfr_strong_seed1,strong,1,original,,v2/test_2/network/network-lfrpool_strong_original_seed1.toml,v2/test_2/network/lfr_facebook_pool/lfrpool_strong_original_seed1/edgelist.txt,v2/test_2/network/lfr_facebook_pool/lfrpool_strong_original_seed1/comm.csv,v2/test_2/network/lfr_facebook_pool/lfrpool_strong_original_seed1/lfr_communities.csv,,,,,,,,,,,,,1000,18404,36.808,32.0,61.0,101.02999999999997,0.4355018009048542,0.37615796322883566,119,12,0.8128791977080287,16980,1424,0.9226255161921322,0.07737448380786785,48,64.0,137,0.5389149942726151,0.47336027802577996,7.397288651350948e-213,2.9733792714278774e-51,9.262905400043418e-7,0.916213213196591,0.999999999873469,1.0,1.0,0,221,200,39.05,32.5,63.099999999999994,115,6,54,0.27,200,34.53,31.0,52.19999999999999,96,8,52,0.26,200,34.185,30.0,51.0,107,6,49,0.245
