network,pool,node_count,target_largest_comm_ratio,largest_comm_ratio,largest_comm_ratio_abs_error,target_communities_touched,communities_touched,target_degree_mean,degree_mean,degree_median,target_external_ratio_mean,external_ratio_mean,external_ratio_median,external_ratio_abs_error,external_degree_mean,target_participation_mean,participation_mean,participation_abs_error,target_betweenness_mean,betweenness_mean,anchor_community,anchor_count
lfr_strong_seed1,top20,200,0.4207920792079208,0.42,0.0007920792079207928,7,7,36.82920792079208,38.12,34.5,0.008945361536991775,0.07251022242716725,0.07142857142857142,0.06356486089017548,2.715,0.015980263566967183,0.1366221931292343,0.1206419295622671,0.0003469484564224111,0.001813927739743284,11,84
lfr_strong_seed1,middle20,200,0.6101485148514851,0.61,0.00014851485148514865,10,10,30.85891089108911,39.315,34.0,0.03338103645201027,0.05101924869344078,0.04633273703041145,0.017638212241430508,2.065,0.050070437338916265,0.0973462235936411,0.04727578625472484,0.0010670406555004907,0.0011981712298333792,5,122
lfr_strong_seed1,bottom20,200,0.525990099009901,0.525,0.000990099009900991,5,5,33.95173267326733,35.835,32.5,0.018996130078641007,0.05569841801877133,0.05263157894736842,0.03670228794013032,2.01,0.03358107968398146,0.10586395144762108,0.07228287176363962,4.668335410379051e-05,0.0011005839932684198,9,105
lfr_strong_seed2,top20,200,0.4207920792079208,0.42,0.0007920792079207928,7,7,36.82920792079208,37.375,33.0,0.008945361536991775,0.06898561937585482,0.06666666666666667,0.06004025783886304,2.545,0.015980263566967183,0.13038910079943097,0.11440883723246378,0.0003469484564224111,0.001445048648805377,3,84
lfr_strong_seed2,middle20,200,0.6101485148514851,0.61,0.00014851485148514865,10,10,30.85891089108911,35.475,31.5,0.03338103645201027,0.04947361473245745,0.043478260869565216,0.016092578280447176,1.815,0.050070437338916265,0.09433557465587106,0.04426513731695479,0.0010670406555004907,0.0009876956746738882,8,122
lfr_strong_seed2,bottom20,200,0.525990099009901,0.525,0.000990099009900991,5,5,33.95173267326733,36.11,31.0,0.018996130078641007,0.05509927416931086,0.05555555555555555,0.03610314409066985,2.02,0.03358107968398146,0.10468135949575656,0.07110027981177511,4.668335410379051e-05,0.0011914944257159041,12,105
