dataset,network,strategy,strategy_label,total_agents,mean_final_selfish_ratio,max_final_selfish_ratio,peak_mean_selfish_ratio,mean_total_shared_ratio_misinformation,mean_total_viewed_ratio_misinformation,mean_total_fst_viewed_ratio_misinformation,mean_total_shared_ratio_corrective,mean_total_viewed_ratio_corrective,mean_total_fst_viewed_ratio_corrective,mean_total_shared_ratio_observational,mean_total_viewed_ratio_observational,mean_total_fst_viewed_ratio_observational,mean_total_shared_ratio_behavior_guiding,mean_total_viewed_ratio_behavior_guiding,mean_total_fst_viewed_ratio_behavior_guiding
real_network,facebook,balance,"Balance (0.8, 0.8)",4039,0.00004704134686803665,0.0004951720722951226,0.06784600148551621,0.34562267888091114,9.090259965337955,2.1676206981926223,0.3365907402822481,8.533696459519684,3.3789997524139643,0.12665263679128497,3.432442023603202,0.35674671948502107,0.23842040108937856,8.25595692002971,2.1878484773458777
real_network,facebook,certainty_high,"Certainty high (0.9, 0.5)",4039,0.00007179995048279281,0.0007427581084426839,0.06777172567467195,0.3478237187422629,9.148192621936124,2.1795642485763804,0.33702401584550634,8.529593958900717,3.3256078237187423,0.14344663341939898,3.7391386363904315,0.41721784034237613,0.25120079227531567,8.629893538004456,2.249492448625898
real_network,facebook,effective_high,"Effectiveness high (0.5, 0.9)",4039,0.00002475860361475613,0.0009903441445902451,0.0675835602871998,0.3469447883139391,9.126370388710077,2.1664100024758604,0.3352735825699431,8.503708838821492,3.3457167615746473,0.13791532557563754,3.621832136667492,0.3955781133944046,0.23285961871750432,8.02894280762565,2.161020054468928
real_network,wiki-vote,balance,"Balance (0.8, 0.8)",7115,0.00003935347856640898,0.0005621925509487,0.030359803232607167,0.1723443429374561,2.3095488404778637,1.1426113843991568,0.20904146170063245,2.986475052705552,1.4953492621222768,0.03444625528924508,0.440642334893318,0.10885004709857808,0.08336191145467323,1.6866366830639494,1.3750597329585383
real_network,wiki-vote,certainty_high,"Certainty high (0.9, 0.5)",7115,0.00003513703443429374,0.000421644413211525,0.030765987350667604,0.17159522136331695,2.297776528460998,1.139080815179199,0.18471539002108223,2.6458988053408294,1.3019522136331694,0.05012185822580404,0.6424335760529897,0.15655866389557574,0.10465073787772312,1.955364722417428,1.545950808151792
real_network,wiki-vote,effective_high,"Effectiveness high (0.5, 0.9)",7115,0.000029515108924806747,0.000421644413211525,0.030082923401264935,0.1731749824314828,2.316671820098384,1.1406971187631765,0.29098383696416025,4.206884047786367,1.899436401967674,0.04053809858447947,0.5127447043469532,0.1271232807951009,0.07465073787772313,1.5668798313422347,1.295118763176388
