seed_state,network,variant,strategy,metric,current,original,diff,abs_diff
0,fbdeg_rewire_0p1,rewire_0p1,balance,peak_mean_selfish_ratio,0.10619955434513494,0.06784600148551621,0.03835355285961872,0.03835355285961872
0,fbdeg_rewire_0p1,rewire_0p1,balance,mean_total_shared_ratio_misinformation,0.6672171329537013,0.34562267888091114,0.3215944540727902,0.3215944540727902
0,fbdeg_rewire_0p1,rewire_0p1,balance,mean_total_shared_ratio_corrective,2.218066353057688,0.33659074028224806,1.8814756127754397,1.8814756127754397
0,fbdeg_rewire_0p1,rewire_0p1,balance,mean_total_shared_ratio_observational,0.24834451400433077,0.12665263679128497,0.12169187721304581,0.12169187721304581
0,fbdeg_rewire_0p1,rewire_0p1,balance,mean_total_shared_ratio_behavior_guiding,0.07670462985887597,0.23842040108937856,-0.1617157712305026,0.1617157712305026
0,fbdeg_rewire_0p1,rewire_0p1,balance,mean_total_fst_viewed_ratio_misinformation,6.427489477593464,2.1676206981926223,4.259868779400842,4.259868779400842
0,fbdeg_rewire_0p1,rewire_0p1,balance,mean_total_fst_viewed_ratio_corrective,21.245543451349345,3.378999752413964,17.86654369893538,17.86654369893538
0,fbdeg_rewire_0p1,rewire_0p1,balance,mean_total_fst_viewed_ratio_observational,0.8212782513351962,0.35674671948502107,0.4645315318501751,0.4645315318501751
0,fbdeg_rewire_0p1,rewire_0p1,balance,mean_total_fst_viewed_ratio_behavior_guiding,1.5917380539737558,2.1878484773458777,-0.596110423372122,0.596110423372122
0,fbdeg_rewire_0p1,rewire_0p1,effective_high,peak_mean_selfish_ratio,0.10588016835850457,0.0675835602871998,0.038296608071304764,0.038296608071304764
0,fbdeg_rewire_0p1,rewire_0p1,effective_high,mean_total_shared_ratio_misinformation,0.6686135181975738,0.3469447883139391,0.32166872988363465,0.32166872988363465
0,fbdeg_rewire_0p1,rewire_0p1,effective_high,mean_total_shared_ratio_corrective,2.34083931666254,0.33527358256994305,2.005565734092597,2.005565734092597
0,fbdeg_rewire_0p1,rewire_0p1,effective_high,mean_total_shared_ratio_observational,0.2421576199221767,0.13791532557563752,0.10424229434653917,0.10424229434653917
0,fbdeg_rewire_0p1,rewire_0p1,effective_high,mean_total_shared_ratio_behavior_guiding,0.06830155979202773,0.23285961871750432,-0.1645580589254766,0.1645580589254766
0,fbdeg_rewire_0p1,rewire_0p1,effective_high,mean_total_fst_viewed_ratio_misinformation,6.433399356276306,2.1664100024758604,4.2669893538004455,4.2669893538004455
0,fbdeg_rewire_0p1,rewire_0p1,effective_high,mean_total_fst_viewed_ratio_corrective,22.26716266402575,3.3457167615746473,18.921445902451104,18.921445902451104
0,fbdeg_rewire_0p1,rewire_0p1,effective_high,mean_total_fst_viewed_ratio_observational,0.7898253225085269,0.3955781133944046,0.3942472091141223,0.3942472091141223
0,fbdeg_rewire_0p1,rewire_0p1,effective_high,mean_total_fst_viewed_ratio_behavior_guiding,1.5024585293389454,2.161020054468928,-0.6585615251299828,0.6585615251299828
0,fbdeg_rewire_0p1,rewire_0p1,certainty_high,peak_mean_selfish_ratio,0.10624907155236445,0.06777172567467195,0.0384773458776925,0.0384773458776925
0,fbdeg_rewire_0p1,rewire_0p1,certainty_high,mean_total_shared_ratio_misinformation,0.6653503342411488,0.3478237187422629,0.31752661549888583,0.31752661549888583
0,fbdeg_rewire_0p1,rewire_0p1,certainty_high,mean_total_shared_ratio_corrective,2.017028967566229,0.33702401584550634,1.680004951720723,1.680004951720723
0,fbdeg_rewire_0p1,rewire_0p1,certainty_high,mean_total_shared_ratio_observational,0.2453434090085435,0.14344663341939895,0.10189677558914456,0.10189677558914456
0,fbdeg_rewire_0p1,rewire_0p1,certainty_high,mean_total_shared_ratio_behavior_guiding,0.09865560782371875,0.25120079227531567,-0.15254518445159693,0.15254518445159693
0,fbdeg_rewire_0p1,rewire_0p1,certainty_high,mean_total_fst_viewed_ratio_misinformation,6.41155979202773,2.1795642485763804,4.231995543451349,4.231995543451349
0,fbdeg_rewire_0p1,rewire_0p1,certainty_high,mean_total_fst_viewed_ratio_corrective,19.96771478088636,3.325607823718742,16.64210695716762,16.64210695716762
0,fbdeg_rewire_0p1,rewire_0p1,certainty_high,mean_total_fst_viewed_ratio_observational,0.7665478971333842,0.41721784034237613,0.3493300567910081,0.3493300567910081
0,fbdeg_rewire_0p1,rewire_0p1,certainty_high,mean_total_fst_viewed_ratio_behavior_guiding,1.8407823718742262,2.249492448625898,-0.4087100767516716,0.4087100767516716
0,fbdeg_rewire_1p0,rewire_1p0,balance,peak_mean_selfish_ratio,0.12208219856400099,0.06784600148551621,0.054236197078484774,0.054236197078484774
0,fbdeg_rewire_1p0,rewire_1p0,balance,mean_total_shared_ratio_misinformation,0.8276380292151523,0.34562267888091114,0.48201535033424114,0.48201535033424114
0,fbdeg_rewire_1p0,rewire_1p0,balance,mean_total_shared_ratio_corrective,2.9620079227531564,0.33659074028224806,2.6254171824709083,2.6254171824709083
0,fbdeg_rewire_1p0,rewire_1p0,balance,mean_total_shared_ratio_observational,0.28047433050149106,0.12665263679128497,0.1538216937102061,0.1538216937102061
0,fbdeg_rewire_1p0,rewire_1p0,balance,mean_total_shared_ratio_behavior_guiding,0.041946026244119826,0.23842040108937856,-0.19647437484525873,0.19647437484525873
0,fbdeg_rewire_1p0,rewire_1p0,balance,mean_total_fst_viewed_ratio_misinformation,8.879856400099033,2.1676206981926223,6.712235701906411,6.712235701906411
0,fbdeg_rewire_1p0,rewire_1p0,balance,mean_total_fst_viewed_ratio_corrective,30.22511760336717,3.378999752413964,26.846117850953206,26.846117850953206
0,fbdeg_rewire_1p0,rewire_1p0,balance,mean_total_fst_viewed_ratio_observational,1.0064741900795602,0.35674671948502107,0.6497274705945391,0.6497274705945391
0,fbdeg_rewire_1p0,rewire_1p0,balance,mean_total_fst_viewed_ratio_behavior_guiding,1.418625897499381,2.1878484773458777,-0.7692225798464967,0.7692225798464967
0,fbdeg_rewire_1p0,rewire_1p0,effective_high,peak_mean_selfish_ratio,0.1221416192126764,0.0675835602871998,0.05455805892547659,0.05455805892547659
0,fbdeg_rewire_1p0,rewire_1p0,effective_high,mean_total_shared_ratio_misinformation,0.8281505323099777,0.3469447883139391,0.4812057439960386,0.4812057439960386
0,fbdeg_rewire_1p0,rewire_1p0,effective_high,mean_total_shared_ratio_corrective,2.7788586283733596,0.33527358256994305,2.4435850458034167,2.4435850458034167
0,fbdeg_rewire_1p0,rewire_1p0,effective_high,mean_total_shared_ratio_observational,0.2709484168699443,0.13791532557563752,0.1330330912943068,0.1330330912943068
0,fbdeg_rewire_1p0,rewire_1p0,effective_high,mean_total_shared_ratio_behavior_guiding,0.036402574894775934,0.23285961871750432,-0.19645704382272838,0.19645704382272838
0,fbdeg_rewire_1p0,rewire_1p0,effective_high,mean_total_fst_viewed_ratio_misinformation,8.888729883634564,2.1664100024758604,6.722319881158704,6.722319881158704
0,fbdeg_rewire_1p0,rewire_1p0,effective_high,mean_total_fst_viewed_ratio_corrective,29.83382520425848,3.3457167615746473,26.488108442683835,26.488108442683835
0,fbdeg_rewire_1p0,rewire_1p0,effective_high,mean_total_fst_viewed_ratio_observational,0.958754601650303,0.3955781133944046,0.5631764882558985,0.5631764882558985
0,fbdeg_rewire_1p0,rewire_1p0,effective_high,mean_total_fst_viewed_ratio_behavior_guiding,1.3227457291408764,2.161020054468928,-0.8382743253280518,0.8382743253280518
0,fbdeg_rewire_1p0,rewire_1p0,certainty_high,peak_mean_selfish_ratio,0.12274325328051498,0.06777172567467195,0.054971527605843035,0.054971527605843035
0,fbdeg_rewire_1p0,rewire_1p0,certainty_high,mean_total_shared_ratio_misinformation,0.8251695964347611,0.3478237187422629,0.47734587769249814,0.47734587769249814
0,fbdeg_rewire_1p0,rewire_1p0,certainty_high,mean_total_shared_ratio_corrective,2.643701411240406,0.33702401584550634,2.3066773953948996,2.3066773953948996
0,fbdeg_rewire_1p0,rewire_1p0,certainty_high,mean_total_shared_ratio_observational,0.28545191842224876,0.14344663341939895,0.1420052850028498,0.1420052850028498
0,fbdeg_rewire_1p0,rewire_1p0,certainty_high,mean_total_shared_ratio_behavior_guiding,0.06300569447883139,0.25120079227531567,-0.18819509779648427,0.18819509779648427
0,fbdeg_rewire_1p0,rewire_1p0,certainty_high,mean_total_fst_viewed_ratio_misinformation,8.877531567219608,2.1795642485763804,6.697967318643228,6.697967318643228
