seed_state,network,variant,contrast,metric,left_strategy,right_strategy,left_value,right_value,diff,abs_diff
0,fbdeg_original,original,effective_high_minus_balance,peak_mean_selfish_ratio,effective_high,balance,0.0675835602871998,0.06784600148551621,-0.0002624411983164071,0.0002624411983164071
0,fbdeg_original,original,effective_high_minus_balance,mean_total_shared_ratio_misinformation,effective_high,balance,0.3469447883139391,0.34562267888091114,0.0013221094330279626,0.0013221094330279626
0,fbdeg_original,original,effective_high_minus_balance,mean_total_shared_ratio_corrective,effective_high,balance,0.33527358256994305,0.33659074028224806,-0.001317157712305006,0.001317157712305006
0,fbdeg_original,original,effective_high_minus_balance,mean_total_shared_ratio_observational,effective_high,balance,0.13791532557563752,0.12665263679128497,0.011262688784352548,0.011262688784352548
0,fbdeg_original,original,effective_high_minus_balance,mean_total_shared_ratio_behavior_guiding,effective_high,balance,0.23285961871750432,0.23842040108937856,-0.00556078237187424,0.00556078237187424
0,fbdeg_original,original,effective_high_minus_balance,mean_total_fst_viewed_ratio_misinformation,effective_high,balance,2.1664100024758604,2.1676206981926223,-0.0012106957167619115,0.0012106957167619115
0,fbdeg_original,original,effective_high_minus_balance,mean_total_fst_viewed_ratio_corrective,effective_high,balance,3.3457167615746473,3.378999752413964,-0.03328299083931663,0.03328299083931663
0,fbdeg_original,original,effective_high_minus_balance,mean_total_fst_viewed_ratio_observational,effective_high,balance,0.3955781133944046,0.35674671948502107,0.038831393909383505,0.038831393909383505
0,fbdeg_original,original,effective_high_minus_balance,mean_total_fst_viewed_ratio_behavior_guiding,effective_high,balance,2.161020054468928,2.1878484773458777,-0.02682842287694953,0.02682842287694953
0,fbdeg_original,original,certainty_high_minus_balance,peak_mean_selfish_ratio,certainty_high,balance,0.06777172567467195,0.06784600148551621,-7.427581084426538e-05,7.427581084426538e-05
0,fbdeg_original,original,certainty_high_minus_balance,mean_total_shared_ratio_misinformation,certainty_high,balance,0.3478237187422629,0.34562267888091114,0.0022010398613517834,0.0022010398613517834
0,fbdeg_original,original,certainty_high_minus_balance,mean_total_shared_ratio_corrective,certainty_high,balance,0.33702401584550634,0.33659074028224806,0.0004332755632582841,0.0004332755632582841
0,fbdeg_original,original,certainty_high_minus_balance,mean_total_shared_ratio_observational,certainty_high,balance,0.14344663341939895,0.12665263679128497,0.016793996628113983,0.016793996628113983
0,fbdeg_original,original,certainty_high_minus_balance,mean_total_shared_ratio_behavior_guiding,certainty_high,balance,0.25120079227531567,0.23842040108937856,0.012780391185937101,0.012780391185937101
0,fbdeg_original,original,certainty_high_minus_balance,mean_total_fst_viewed_ratio_misinformation,certainty_high,balance,2.1795642485763804,2.1676206981926223,0.011943550383758161,0.011943550383758161
0,fbdeg_original,original,certainty_high_minus_balance,mean_total_fst_viewed_ratio_corrective,certainty_high,balance,3.325607823718742,3.378999752413964,-0.053391928695222024,0.053391928695222024
0,fbdeg_original,original,certainty_high_minus_balance,mean_total_fst_viewed_ratio_observational,certainty_high,balance,0.41721784034237613,0.35674671948502107,0.060471120857355065,0.060471120857355065
0,fbdeg_original,original,certainty_high_minus_balance,mean_total_fst_viewed_ratio_behavior_guiding,certainty_high,balance,2.249492448625898,2.1878484773458777,0.06164397128002008,0.06164397128002008
0,fbdeg_original,original,certainty_high_minus_effective_high,peak_mean_selfish_ratio,certainty_high,effective_high,0.06777172567467195,0.0675835602871998,0.00018816538747214173,0.00018816538747214173
0,fbdeg_original,original,certainty_high_minus_effective_high,mean_total_shared_ratio_misinformation,certainty_high,effective_high,0.3478237187422629,0.3469447883139391,0.0008789304283238208,0.0008789304283238208
0,fbdeg_original,original,certainty_high_minus_effective_high,mean_total_shared_ratio_corrective,certainty_high,effective_high,0.33702401584550634,0.33527358256994305,0.00175043327556329,0.00175043327556329
