network,variant,contrast,metric,seed_count,mean_diff,std_diff,min_diff,max_diff,mean_abs_diff,positive_seed_count,negative_seed_count,zero_seed_count
fbdeg_original,original,certainty_high_minus_balance,mean_total_fst_viewed_ratio_behavior_guiding,5,0.060049022035157315,0.00578852403764484,0.05004704134686788,0.06449121069571673,0.060049022035157315,5,0,0
fbdeg_original,original,certainty_high_minus_balance,mean_total_fst_viewed_ratio_corrective,5,-0.036871502847239765,0.04835401854224306,-0.10781133944045562,0.02368903193859806,0.04634711562267899,1,4,0
fbdeg_original,original,certainty_high_minus_balance,mean_total_fst_viewed_ratio_misinformation,5,-0.0034800693240899074,0.010558748479187266,-0.015097796484278003,0.011943550383758161,0.009049764793265514,2,3,0
fbdeg_original,original,certainty_high_minus_balance,mean_total_fst_viewed_ratio_observational,5,0.0013730016406293011,0.07325994822774454,-0.12047077014681157,0.060471120857355065,0.05417999994767144,3,2,0
fbdeg_original,original,certainty_high_minus_balance,mean_total_shared_ratio_behavior_guiding,5,0.012793265659816772,0.0010256629195080666,0.011099282000495148,0.013854914582817512,0.012793265659816772,5,0,0
fbdeg_original,original,certainty_high_minus_balance,mean_total_shared_ratio_corrective,5,-0.0020103986135181716,0.007396041603974789,-0.014355038375835572,0.00480069324090121,0.004779400841792514,3,2,0
fbdeg_original,original,certainty_high_minus_balance,mean_total_shared_ratio_misinformation,5,-0.0001114137162664175,0.0016502338306779616,-0.0019584055459272443,0.0022010398613517834,0.001296855657340923,2,3,0
fbdeg_original,original,certainty_high_minus_balance,mean_total_shared_ratio_observational,5,0.0005356681626675602,0.02259220680498617,-0.03785110101879806,0.016793996628113983,0.01610267154736513,3,2,0
fbdeg_original,original,certainty_high_minus_balance,peak_mean_selfish_ratio,5,0.00014310472889328684,0.00014725022090930726,-7.427581084426538e-05,0.00033671700916068636,0.000172815053230993,4,1,0
fbdeg_original,original,certainty_high_minus_effective_high,mean_total_fst_viewed_ratio_behavior_guiding,5,0.08695518692745736,0.006949535268203039,0.07622183708838826,0.09413963852438734,0.08695518692745736,5,0,0
fbdeg_original,original,certainty_high_minus_effective_high,mean_total_fst_viewed_ratio_corrective,5,-0.11502500618965109,0.16770347045394302,-0.40972022777915296,-0.00884377321119123,0.11502500618965109,0,5,0
fbdeg_original,original,certainty_high_minus_effective_high,mean_total_fst_viewed_ratio_misinformation,5,0.00030651151275069567,0.009699316617379284,-0.00999752413963817,0.013154246100520073,0.0076568457538993325,3,2,0
