rank,method,best_score,mean_trial_score,median_trial_score,std_trial_score,worst_trial_score,total_time_sec,mean_trial_time_sec,mean_simulation_time_sec,mean_score_calc_time_sec,n_trials_total,n_trials_complete,best_certainty,best_effectiveness
1,cmaes,0.000014855162168853676,0.000048378311463233477,0.000048279277048774455,0.00001122467260599289,0.00006932409012131716,3558.232451925054,35.55523006364238,35.53744979144074,0.003743468512548134,100,100,0.8023887944199164,0.8429600702632805
2,gpr,0.00001733102253032929,0.00004610051993067593,0.00004456548650656103,6.600230757821971e-6,0.00006437236939836594,3490.5579877750133,34.87908411775133,34.60136973623361,0.003242463424685411,100,100,0.5809335802500349,0.5631692672834638
3,ga,0.00001733102253032929,0.000043476107947511764,0.000047041346868036646,0.000011794384804786564,0.00006932409012131716,3519.1273916200735,35.164110090391475,35.14622456027311,0.0035643539275042714,100,100,0.5704621124873813,0.9010984903770198
4,random,0.00001733102253032929,0.00004545679623669226,0.00004951720722951226,0.000013145938005072858,0.00007427581084426839,3531.7464457040187,35.290223746876,35.28057295583422,0.0038735976081807166,100,100,0.5704621124873813,0.9010984903770198
