rank,method,total_time_sec,mean_trial_time_sec,mean_simulation_time_sec,mean_score_calc_time_sec,n_trials_total,n_trials_complete
1,cmaes,3558.232451925054,35.55523006364238,35.53744979144074,0.003743468512548134,100,100
2,gpr,3490.5579877750133,34.87908411775133,34.60136973623361,0.003242463424685411,100,100
3,ga,3519.1273916200735,35.164110090391475,35.14622456027311,0.0035643539275042714,100,100
4,random,3531.7464457040187,35.290223746876,35.28057295583422,0.0038735976081807166,100,100
