dataset,network,strategy,strategy_label,info_label,info_name,mean_num_shared,mean_total_shared_ratio,mean_num_viewed,mean_total_viewed_ratio,mean_num_fst_viewed,mean_total_fst_viewed_ratio
ba1000_topology,ba1000_seed4,balance,"Balance (0.8, 0.8)",2,observational,321.08,0.32108,3222.48,3.22248,1011.28,1.01128
ba1000_topology,ba1000_seed4,balance,"Balance (0.8, 0.8)",3,behavior-guiding,148.04,0.14804,2033.39,2.0333900000000003,1686.06,1.68606
ba1000_topology,ba1000_seed4,certainty_high,"Certainty high (0.9, 0.5)",0,misinformation,439.11,0.43911,4690.32,4.69032,2515.06,2.51506
ba1000_topology,ba1000_seed4,certainty_high,"Certainty high (0.9, 0.5)",1,corrective,576.9,0.5769,6533.56,6.5335600000000005,4292.64,4.2926400000000005
ba1000_topology,ba1000_seed4,certainty_high,"Certainty high (0.9, 0.5)",2,observational,340.2352941176471,0.3402352941176471,3370.823529411765,3.3708235294117648,1014.7058823529412,1.0147058823529413
ba1000_topology,ba1000_seed4,certainty_high,"Certainty high (0.9, 0.5)",3,behavior-guiding,206.01,0.20601,2594.94,2.5949400000000002,2063.02,2.06302
ba1000_topology,ba1000_seed4,effective_high,"Effectiveness high (0.5, 0.9)",0,misinformation,436.77,0.43677,4675.48,4.675479999999999,2505.87,2.50587
ba1000_topology,ba1000_seed4,effective_high,"Effectiveness high (0.5, 0.9)",1,corrective,782.17,0.7821699999999999,8988.92,8.98892,5420.66,5.42066
ba1000_topology,ba1000_seed4,effective_high,"Effectiveness high (0.5, 0.9)",2,observational,308.625,0.308625,3087.4166666666665,3.0874166666666665,919.7916666666666,0.9197916666666667
ba1000_topology,ba1000_seed4,effective_high,"Effectiveness high (0.5, 0.9)",3,behavior-guiding,130.31,0.13031,1849.88,1.8498800000000002,1555.86,1.55586
