trial,state,value,certainty,effectiveness,trial_elapsed_sec,simulation_elapsed_sec,score_elapsed_sec
0,TrialState.COMPLETE,7.000000000000001e-05,0.6872700594236812,0.9753571532049581,5.540553988015745,5.526604300015606,0.004901278996840119
1,TrialState.COMPLETE,1e-05,0.8659969709057025,0.7993292420985183,5.405883227009326,5.396515564003494,0.003765795030631125
2,TrialState.COMPLETE,5.9999999999999995e-05,0.5780093202212182,0.5779972601681014,5.0803613680182025,5.071647192991804,0.0030812069890089333
3,TrialState.COMPLETE,4e-05,0.5290418060840998,0.9330880728874675,5.761515729012899,5.751347335986793,0.004477064008824527
4,TrialState.COMPLETE,2.9999999999999997e-05,0.8005575058716043,0.8540362888980227,5.902567707002163,5.8925467759836465,0.004415553994476795
5,TrialState.COMPLETE,5e-05,0.5102922471479012,0.9849549260809971,5.378719909989741,5.368292724015191,0.004410813038703054
6,TrialState.COMPLETE,5.9999999999999995e-05,0.9162213204002109,0.6061695553391381,5.402378433966078,5.392465724959038,0.004404573002830148
7,TrialState.COMPLETE,8.999999999999999e-05,0.5909124836035503,0.5917022549267169,5.284286562993657,5.275227993959561,0.0029905259725637734
8,TrialState.COMPLETE,5e-05,0.6521211214797689,0.762378215816119,5.368035961990245,5.358258252963424,0.004453674016986042
9,TrialState.COMPLETE,7.000000000000001e-05,0.7159725093210578,0.645614570099021,5.53666844102554,5.527971536968835,0.0029340849723666906
10,TrialState.COMPLETE,5e-05,0.8059264473611898,0.569746930326021,5.277807723963633,5.267927266017068,0.004354631993919611
11,TrialState.COMPLETE,4e-05,0.6460723242676091,0.6831809216468459,5.555968634027522,5.547664134006482,0.002832074009347707
12,TrialState.COMPLETE,4e-05,0.728034992108518,0.8925879806965068,5.62958097999217,5.62103764701169,0.0029105249559506774
13,TrialState.COMPLETE,7.000000000000001e-05,0.5998368910791798,0.7571172192068059,5.396706767030992,5.386376322014257,0.004467413993552327
14,TrialState.COMPLETE,2.9999999999999997e-05,0.7962072844310213,0.5232252063599989,5.2312078539980575,5.220997771015391,0.004493983986321837
15,TrialState.COMPLETE,8.999999999999999e-05,0.8037724259507192,0.5852620618436457,5.25560381799005,5.245126320980489,0.004426064027938992
16,TrialState.COMPLETE,5e-05,0.5325257964926398,0.9744427686266666,5.7085465809796005,5.700024568010122,0.003024687001015991
17,TrialState.COMPLETE,5e-05,0.9828160165372797,0.9041986740582306,6.015519725973718,6.005633278051391,0.004344241984654218
