network,condition_id,certainty,effectiveness,selection_order,reporting_role,selection_mode,qualified,region_id,source_method,source_optimizer_replicate,candidate_source,source_final_best,stage7_validation_mean_jcum,stage7_validation_between_seed_sd,stage7_none_relative_suppression,stage7_none_relative_ci_low,stage7_none_relative_ci_high,stage7_legacy_balance_relative_suppression,stage7_legacy_balance_relative_ci_low,stage7_legacy_balance_relative_ci_high,stage7_prior_high_relative_suppression,stage7_prior_high_relative_ci_low,stage7_prior_high_relative_ci_high,stage7_overall_order
ba1000,cand_cma_es_r03,0.7947,0.8157,1,primary_candidate,qualified_candidates_selected,True,region_07,cma_es,3,ba1000:cma_es:optseed3,0.2667,0.27354666666666666,0.003865518507695088,0.0297125696111237,-0.006086326231061102,0.06598096747075326,0.012835163777652089,-0.012667382310987386,0.036771428002268215,-0.7890950315027576,-0.8400784061108393,-0.7409674176334579,1
ba1000,cand_bo_gp_r04,0.6969,0.9928,2,secondary_region_representative,qualified_candidates_selected,True,region_05,bo_gp,4,ba1000:bo_gp:optseed4,0.2653,0.27487666666666666,0.011302045537571208,0.02499497499320158,-0.03725535076289409,0.0763091558002311,0.00803551021881123,-0.03233285229025521,0.04510283056401565,-0.7977937168894023,-0.873293249175012,-0.7228370512485716,2
ba1000,cand_bo_gp_r02,0.5034,0.9927,3,secondary_region_representative,qualified_candidates_selected,True,region_01,bo_gp,2,ba1000:bo_gp:optseed2,0.2656,0.27446333333333334,0.01045142255070253,0.02646109462383398,-0.031963469907645314,0.07468686607529146,0.009527131876195315,-0.029033422289936866,0.04456601142018478,-0.795090366042425,-0.8653755845552219,-0.7258496509955371,4
facebook,cand_bo_gp_r06,0.7109,0.8575,1,primary_exploratory_fallback,no_qualified_candidate_exploratory_fallback,False,region_05,bo_gp,6,facebook:bo_gp:optseed6,0.2455310720475365,0.2477964842782867,0.004302534578315248,-0.0624960190237584,-0.0999452241214314,-0.028566841175004416,0.016411969927767566,-0.0049304152313732075,0.03663377972459207,-0.2934276446439419,-0.3249712911743406,-0.262144011442538,1
facebook,cand_bo_gp_r01,0.6614,0.8815,2,secondary_exploratory_fallback,no_qualified_candidate_exploratory_fallback,False,region_04,bo_gp,1,facebook:bo_gp:optseed1,0.2474003466204506,0.24762812577370638,0.00514612981067705,-0.06177413533196032,-0.10142259490586727,-0.025089364768720118,0.01708024175716165,-0.0034273726807938767,0.03677847921180582,-0.29254886081184134,-0.3260068221409621,-0.2602860171538132,2
facebook,cand_bo_gp_r03,0.6211,0.5428,3,secondary_exploratory_fallback,no_qualified_candidate_exploratory_fallback,False,region_03,bo_gp,3,facebook:bo_gp:optseed3,0.2424709086407526,0.2514508541718247,0.003514217567898012,-0.07816514151043566,-0.11274734162769424,-0.04568059360932381,0.0019065402191534866,-0.02612015103337391,0.027573089971965427,-0.3125024231171845,-0.34179077677042047,-0.2832671292153295,4
wiki_vote,cand_cma_es_r04,0.7442,0.7482,1,primary_candidate,qualified_candidates_selected,True,region_04,cma_es,4,wiki_vote:cma_es:optseed4,0.0878144764581869,0.09114125087842585,0.0022897017148026805,0.06533134107495471,0.030359436927265983,0.09800854911696495,0.01728605850588246,-0.014992773051666937,0.04823693716818644,-0.004995505594759466,-0.03566004751004334,0.02342065452740264,1
wiki_vote,cand_random_search_r04,0.7764,0.5068,2,secondary_region_representative,qualified_candidates_selected,True,region_05,random_search,4,wiki_vote:random_search:optseed4,0.0874251581166549,0.09240993206840009,0.0036687375274936603,0.05232080484676114,0.006282881852643085,0.09367265930249029,0.003606734591817801,-0.042278331918625886,0.04778306731369443,-0.018984987653300294,-0.06367113104366211,0.019749826425533055,7
wiki_vote,cand_random_search_r03,0.8448,0.5016,3,secondary_region_representative,qualified_candidates_selected,True,region_08,random_search,3,wiki_vote:random_search:optseed3,0.0866535488404778,0.09160178027641135,0.0035353470669398906,0.060608535642046726,0.022726591509888993,0.09636582267513313,0.012320484130872814,-0.025926396334452675,0.04995738451571823,-0.01007366691807786,-0.048971008899111476,0.02791494335159483,9
