candidate_id,network,method,optimizer_replicate,optimizer_seed,source_simulator_seed,source_run_key,source_final_best,source_best_trial,source_first_final_best_evaluation,proposed_certainty,proposed_effectiveness,applied_certainty,applied_effectiveness
cand_random_search_r04,facebook,random_search,4,60403,30001,facebook:random_search:optseed4,0.2443872245605347,13,14,0.634511848720812,0.5416183728398165,0.6345,0.5416
cand_random_search_r05,facebook,random_search,5,60503,30001,facebook:random_search:optseed5,0.243201287447388,10,11,0.549475265140047,0.5464387252775027,0.5495,0.5464
cand_random_search_r06,facebook,random_search,6,60603,30001,facebook:random_search:optseed6,0.2432334736320872,25,26,0.9093555000290504,0.5447237381577812,0.9094,0.5447
cand_bo_gp_r01,wiki_vote,bo_gp,1,60101,30001,wiki_vote:bo_gp:optseed1,0.0862066057624736,31,32,0.9015395645637604,0.5096945901651415,0.9015,0.5097
cand_bo_gp_r02,wiki_vote,bo_gp,2,60201,30001,wiki_vote:bo_gp:optseed2,0.0870077301475755,35,36,0.863007013986246,0.5196641724552321,0.863,0.5197
cand_bo_gp_r03,wiki_vote,bo_gp,3,60301,30001,wiki_vote:bo_gp:optseed3,0.0861728742094167,40,41,0.8634548190174611,0.5085788921766378,0.8635,0.5086
cand_bo_gp_r04,wiki_vote,bo_gp,4,60401,30001,wiki_vote:bo_gp:optseed4,0.086185523541813,49,50,0.8873374543246623,0.5085983731272222,0.8873,0.5086
cand_bo_gp_r05,wiki_vote,bo_gp,5,60501,30001,wiki_vote:bo_gp:optseed5,0.0870653548840478,30,31,1.0,0.51882524749323,1.0,0.5188
cand_bo_gp_r06,wiki_vote,bo_gp,6,60601,30001,wiki_vote:bo_gp:optseed6,0.0861784961349262,39,40,0.7976560759483127,0.5092446238973872,0.7977,0.5092
cand_cma_es_r01,wiki_vote,cma_es,1,60102,30001,wiki_vote:cma_es:optseed1,0.0877048489107519,30,31,0.823132964343601,0.6104184222302772,0.8231,0.6104
cand_cma_es_r02,wiki_vote,cma_es,2,60202,30001,wiki_vote:cma_es:optseed2,0.086794096978215,37,38,0.6839147806907688,0.5087432021077436,0.6839,0.5087
cand_cma_es_r03,wiki_vote,cma_es,3,60302,30001,wiki_vote:cma_es:optseed3,0.0865425158116654,44,45,0.7570387287377054,0.5022586618628507,0.757,0.5023
cand_cma_es_r04,wiki_vote,cma_es,4,60402,30001,wiki_vote:cma_es:optseed4,0.0878144764581869,18,19,0.7441896959944387,0.7481842906918011,0.7442,0.7482
cand_cma_es_r05,wiki_vote,cma_es,5,60502,30001,wiki_vote:cma_es:optseed5,0.088,14,15,0.7014365109992581,0.791733769146094,0.7014,0.7917
cand_cma_es_r06,wiki_vote,cma_es,6,60602,30001,wiki_vote:cma_es:optseed6,0.0877919887561489,41,42,0.8092245767827381,0.6115238834270483,0.8092,0.6115
cand_random_search_r01,wiki_vote,random_search,1,60103,30001,wiki_vote:random_search:optseed1,0.0874125087842586,5,6,0.9229613743538596,0.5069216175326738,0.923,0.5069
cand_random_search_r02,wiki_vote,random_search,2,60203,30001,wiki_vote:random_search:optseed2,0.0886971187631763,49,50,0.5541503984932348,0.7778583440329895,0.5542,0.7779
cand_random_search_r03,wiki_vote,random_search,3,60303,30001,wiki_vote:random_search:optseed3,0.0866535488404778,27,28,0.8447778561479831,0.5015916090344881,0.8448,0.5016
cand_random_search_r04,wiki_vote,random_search,4,60403,30001,wiki_vote:random_search:optseed4,0.0874251581166549,0,1,0.7763597930081194,0.5068050716796266,0.7764,0.5068
cand_random_search_r05,wiki_vote,random_search,5,60503,30001,wiki_vote:random_search:optseed5,0.0862417427969079,11,12,0.8803773209285495,0.5085340978944783,0.8804,0.5085
cand_random_search_r06,wiki_vote,random_search,6,60603,30001,wiki_vote:random_search:optseed6,0.0884624033731553,29,30,0.8265240254184995,0.9759925305663526,0.8265,0.976
