dataset,network,strategy,strategy_label,total_agents,mean_final_selfish_ratio,max_final_selfish_ratio,peak_mean_selfish_ratio,mean_total_shared_ratio_misinformation,mean_total_viewed_ratio_misinformation,mean_total_fst_viewed_ratio_misinformation,mean_total_shared_ratio_corrective,mean_total_viewed_ratio_corrective,mean_total_fst_viewed_ratio_corrective,mean_total_shared_ratio_observational,mean_total_viewed_ratio_observational,mean_total_fst_viewed_ratio_observational,mean_total_shared_ratio_behavior_guiding,mean_total_viewed_ratio_behavior_guiding,mean_total_fst_viewed_ratio_behavior_guiding,cluster_level,triad_probability,requested_seed,actual_seed,config_path,graph_path,num_nodes,num_edges,avg_degree,avg_clustering,transitivity,largest_connected_component_ratio,max_degree
powerlaw_cluster,plc_low_seed1,effective_high,"Effectiveness high (0.5, 0.9)",1000,0.00005,0.001,0.09305,0.40043,4.30253,2.2889899999999996,0.89402,10.398280000000002,6.02319,0.31796428571428575,3.170035714285714,0.9954642857142857,0.15109999999999998,2.1096,1.74403,low,0.0,20261518,20261518,v2/test_2/network/network-plc_low_seed1.toml,v2/test_2/network/powerlaw_cluster/plc_low_seed1/edgelist.txt,1000,9900,19.8,0.059700986215276204,0.05301696255300798,1.0,138
powerlaw_cluster,plc_low_seed2,balance,"Balance (0.8, 0.8)",1000,0.00005,0.001,0.09309,0.41838000000000003,4.5017,2.40804,0.8007200000000001,9.18576,5.48186,0.3162857142857143,3.168214285714286,0.93725,0.16086000000000003,2.17146,1.79609,low,0.0,20262518,20262518,v2/test_2/network/network-plc_low_seed2.toml,v2/test_2/network/powerlaw_cluster/plc_low_seed2/edgelist.txt,1000,9900,19.8,0.05653844878733256,0.05349430223762231,1.0,160
powerlaw_cluster,plc_low_seed2,certainty_high,"Certainty high (0.9, 0.5)",1000,0.00008,0.001,0.09472,0.41949000000000003,4.50943,2.4165900000000002,0.6413800000000001,7.34223,4.645020000000001,0.33369565217391306,3.3564347826086958,0.9635652173913044,0.21972,2.7454400000000003,2.16831,low,0.0,20262518,20262518,v2/test_2/network/network-plc_low_seed2.toml,v2/test_2/network/powerlaw_cluster/plc_low_seed2/edgelist.txt,1000,9900,19.8,0.05653844878733256,0.05349430223762231,1.0,160
powerlaw_cluster,plc_low_seed2,effective_high,"Effectiveness high (0.5, 0.9)",1000,0.00003,0.001,0.09176000000000001,0.42039,4.5234700000000005,2.41552,0.81626,9.411200000000001,5.67573,0.30112,2.99356,0.91344,0.1416,1.96601,1.65132,low,0.0,20262518,20262518,v2/test_2/network/network-plc_low_seed2.toml,v2/test_2/network/powerlaw_cluster/plc_low_seed2/edgelist.txt,1000,9900,19.8,0.05653844878733256,0.05349430223762231,1.0,160
powerlaw_cluster,plc_low_seed3,balance,"Balance (0.8, 0.8)",1000,0.00006,0.001,0.09222,0.40269,4.35181,2.29777,0.71052,8.19528,5.12463,0.3121875,3.1455,0.9545,0.15816999999999998,2.1253800000000003,1.75791,low,0.0,20263518,20263518,v2/test_2/network/network-plc_low_seed3.toml,v2/test_2/network/powerlaw_cluster/plc_low_seed3/edgelist.txt,1000,9900,19.8,0.05872128564600577,0.05396391520344943,1.0,144
powerlaw_cluster,plc_low_seed3,certainty_high,"Certainty high (0.9, 0.5)",1000,0.00007000000000000001,0.001,0.09315,0.40416,4.36392,2.30562,0.6416000000000001,7.31724,4.58803,0.34070833333333334,3.3985416666666666,0.9815416666666666,0.22081,2.74967,2.1731100000000003,low,0.0,20263518,20263518,v2/test_2/network/network-plc_low_seed3.toml,v2/test_2/network/powerlaw_cluster/plc_low_seed3/edgelist.txt,1000,9900,19.8,0.05872128564600577,0.05396391520344943,1.0,144
powerlaw_cluster,plc_low_seed3,effective_high,"Effectiveness high (0.5, 0.9)",1000,0.00005,0.001,0.0917,0.4045,4.36212,2.30212,0.82556,9.538549999999999,5.681430000000001,0.31808,3.1797199999999997,0.97492,0.1408,1.96253,1.64247,low,0.0,20263518,20263518,v2/test_2/network/network-plc_low_seed3.toml,v2/test_2/network/powerlaw_cluster/plc_low_seed3/edgelist.txt,1000,9900,19.8,0.05872128564600577,0.05396391520344943,1.0,144
powerlaw_cluster,plc_mid_seed1,balance,"Balance (0.8, 0.8)",1000,0.00012000000000000004,0.001,0.08728,0.43260000000000004,4.66528,2.38701,0.61184,7.0819600000000005,4.40048,0.3212307692307692,3.305230769230769,0.9232307692307693,0.17139,2.3187100000000003,1.8379,mid,0.3,20261548,20261548,v2/test_2/network/network-plc_mid_seed1.toml,v2/test_2/network/powerlaw_cluster/plc_mid_seed1/edgelist.txt,1000,9840,19.68,0.13248501185017997,0.06954029426232303,1.0,234
powerlaw_cluster,plc_mid_seed1,certainty_high,"Certainty high (0.9, 0.5)",1000,0.00008,0.001,0.08849,0.43488,4.6805,2.39664,0.5357200000000001,6.17716,3.9434899999999997,0.345375,3.5399375,1.0221875,0.22943000000000002,2.87877,2.18464,mid,0.3,20261548,20261548,v2/test_2/network/network-plc_mid_seed1.toml,v2/test_2/network/powerlaw_cluster/plc_mid_seed1/edgelist.txt,1000,9840,19.68,0.13248501185017997,0.06954029426232303,1.0,234
powerlaw_cluster,plc_mid_seed1,effective_high,"Effectiveness high (0.5, 0.9)",1000,0.00004,0.001,0.08551,0.43360000000000004,4.6690000000000005,2.38843,0.73363,8.55383,5.05029,0.3033181818181818,3.0026363636363635,0.9042727272727272,0.14983000000000002,2.10948,1.70607,mid,0.3,20261548,20261548,v2/test_2/network/network-plc_mid_seed1.toml,v2/test_2/network/powerlaw_cluster/plc_mid_seed1/edgelist.txt,1000,9840,19.68,0.13248501185017997,0.06954029426232303,1.0,234
powerlaw_cluster,plc_mid_seed2,balance,"Balance (0.8, 0.8)",1000,0.00006,0.001,0.08567999999999999,0.43601999999999996,4.7200299999999995,2.40066,0.7267100000000001,8.599530000000001,5.00445,0.3136538461538461,3.1934615384615386,0.9571538461538462,0.1677,2.2643400000000002,1.8078,mid,0.3,20262548,20262548,v2/test_2/network/network-plc_mid_seed2.toml,v2/test_2/network/powerlaw_cluster/plc_mid_seed2/edgelist.txt,1000,9850,19.7,0.13187411294697338,0.07034805824286249,1.0,241
powerlaw_cluster,plc_mid_seed2,certainty_high,"Certainty high (0.9, 0.5)",1000,0.00008,0.002,0.08753,0.43935,4.7609200000000005,2.41428,0.60175,6.97549,4.24015,0.3315,3.30675,0.9898214285714286,0.22687000000000002,2.83404,2.16375,mid,0.3,20262548,20262548,v2/test_2/network/network-plc_mid_seed2.toml,v2/test_2/network/powerlaw_cluster/plc_mid_seed2/edgelist.txt,1000,9850,19.7,0.13187411294697338,0.07034805824286249,1.0,241
powerlaw_cluster,plc_mid_seed2,effective_high,"Effectiveness high (0.5, 0.9)",1000,0.00001,0.001,0.0851,0.43745,4.72881,2.40368,0.64614,7.5806700000000005,4.719,0.31106666666666666,3.118866666666667,0.9482666666666667,0.14456,2.03802,1.6591500000000001,mid,0.3,20262548,20262548,v2/test_2/network/network-plc_mid_seed2.toml,v2/test_2/network/powerlaw_cluster/plc_mid_seed2/edgelist.txt,1000,9850,19.7,0.13187411294697338,0.07034805824286249,1.0,241
powerlaw_cluster,plc_mid_seed3,balance,"Balance (0.8, 0.8)",1000,0.00008,0.002,0.08695,0.42647,4.57528,2.38022,0.71,8.21381,4.86898,0.3156086956521739,3.1226521739130435,0.9570434782608697,0.15884,2.13702,1.7066700000000001,mid,0.3,20263548,20263548,v2/test_2/network/network-plc_mid_seed3.toml,v2/test_2/network/powerlaw_cluster/plc_mid_seed3/edgelist.txt,1000,9851,19.702,0.1286012708194523,0.0696054658421716,1.0,230
powerlaw_cluster,plc_mid_seed3,certainty_high,"Certainty high (0.9, 0.5)",1000,0.00005,0.001,0.08913,0.42476,4.55135,2.3660200000000002,0.5932000000000001,6.835560000000001,4.259510000000001,0.32680000000000003,3.24416,0.92592,0.22117,2.7491,2.09433,mid,0.3,20263548,20263548,v2/test_2/network/network-plc_mid_seed3.toml,v2/test_2/network/powerlaw_cluster/plc_mid_seed3/edgelist.txt,1000,9851,19.702,0.1286012708194523,0.0696054658421716,1.0,230
powerlaw_cluster,plc_mid_seed3,effective_high,"Effectiveness high (0.5, 0.9)",1000,0.00005,0.001,0.08625,0.42449000000000003,4.54197,2.36361,0.8249500000000001,9.550799999999999,5.42561,0.3156333333333333,3.1025,0.9706,0.14274,2.00377,1.62479,mid,0.3,20263548,20263548,v2/test_2/network/network-plc_mid_seed3.toml,v2/test_2/network/powerlaw_cluster/plc_mid_seed3/edgelist.txt,1000,9851,19.702,0.1286012708194523,0.0696054658421716,1.0,230
