dataset,network,strategy,strategy_label,info_label,info_name,mean_num_shared,mean_total_shared_ratio,mean_num_viewed,mean_total_viewed_ratio,mean_num_fst_viewed,mean_total_fst_viewed_ratio,cluster_level,triad_probability,requested_seed,actual_seed,config_path,graph_path,num_nodes,num_edges,avg_degree,avg_clustering,transitivity,largest_connected_component_ratio,max_degree
powerlaw_cluster,plc_high_seed2,certainty_high,"Certainty high (0.9, 0.5)",0,misinformation,328.64,0.32864,3612.86,3.6128600000000004,1671.72,1.67172,high,1.0,20262618,20262618,v2/test_2/network/network-plc_high_seed2.toml,v2/test_2/network/powerlaw_cluster/plc_high_seed2/edgelist.txt,1000,9899,19.798,0.3508746188968144,0.19000251193167547,1.0,220
powerlaw_cluster,plc_high_seed2,certainty_high,"Certainty high (0.9, 0.5)",1,corrective,515.13,0.51513,5907.29,5.90729,3302.18,3.30218,high,1.0,20262618,20262618,v2/test_2/network/network-plc_high_seed2.toml,v2/test_2/network/powerlaw_cluster/plc_high_seed2/edgelist.txt,1000,9899,19.798,0.3508746188968144,0.19000251193167547,1.0,220
powerlaw_cluster,plc_high_seed2,certainty_high,"Certainty high (0.9, 0.5)",2,observational,323.05555555555554,0.32305555555555554,3236.3333333333335,3.2363333333333335,897.1666666666666,0.8971666666666667,high,1.0,20262618,20262618,v2/test_2/network/network-plc_high_seed2.toml,v2/test_2/network/powerlaw_cluster/plc_high_seed2/edgelist.txt,1000,9899,19.798,0.3508746188968144,0.19000251193167547,1.0,220
powerlaw_cluster,plc_high_seed2,certainty_high,"Certainty high (0.9, 0.5)",3,behavior-guiding,224.92,0.22491999999999998,2848.3,2.8483,1857.68,1.85768,high,1.0,20262618,20262618,v2/test_2/network/network-plc_high_seed2.toml,v2/test_2/network/powerlaw_cluster/plc_high_seed2/edgelist.txt,1000,9899,19.798,0.3508746188968144,0.19000251193167547,1.0,220
powerlaw_cluster,plc_high_seed2,effective_high,"Effectiveness high (0.5, 0.9)",0,misinformation,328.57,0.32857,3602.16,3.60216,1666.4,1.6664,high,1.0,20262618,20262618,v2/test_2/network/network-plc_high_seed2.toml,v2/test_2/network/powerlaw_cluster/plc_high_seed2/edgelist.txt,1000,9899,19.798,0.3508746188968144,0.19000251193167547,1.0,220
powerlaw_cluster,plc_high_seed2,effective_high,"Effectiveness high (0.5, 0.9)",1,corrective,710.65,0.71065,8246.86,8.246860000000002,4323.28,4.32328,high,1.0,20262618,20262618,v2/test_2/network/network-plc_high_seed2.toml,v2/test_2/network/powerlaw_cluster/plc_high_seed2/edgelist.txt,1000,9899,19.798,0.3508746188968144,0.19000251193167547,1.0,220
powerlaw_cluster,plc_high_seed2,effective_high,"Effectiveness high (0.5, 0.9)",2,observational,320.8333333333333,0.3208333333333333,3231.6666666666665,3.2316666666666665,941.0555555555555,0.9410555555555555,high,1.0,20262618,20262618,v2/test_2/network/network-plc_high_seed2.toml,v2/test_2/network/powerlaw_cluster/plc_high_seed2/edgelist.txt,1000,9899,19.798,0.3508746188968144,0.19000251193167547,1.0,220
powerlaw_cluster,plc_high_seed2,effective_high,"Effectiveness high (0.5, 0.9)",3,behavior-guiding,141.9,0.1419,2011.47,2.01147,1429.71,1.42971,high,1.0,20262618,20262618,v2/test_2/network/network-plc_high_seed2.toml,v2/test_2/network/powerlaw_cluster/plc_high_seed2/edgelist.txt,1000,9899,19.798,0.3508746188968144,0.19000251193167547,1.0,220
powerlaw_cluster,plc_high_seed3,balance,"Balance (0.8, 0.8)",0,misinformation,397.15,0.39715,4375.68,4.37568,2097.22,2.0972199999999996,high,1.0,20263618,20263618,v2/test_2/network/network-plc_high_seed3.toml,v2/test_2/network/powerlaw_cluster/plc_high_seed3/edgelist.txt,1000,9897,19.794,0.34566725900800016,0.17177110155821487,1.0,253
powerlaw_cluster,plc_high_seed3,balance,"Balance (0.8, 0.8)",1,corrective,630.81,0.63081,7431.63,7.43163,4091.93,4.09193,high,1.0,20263618,20263618,v2/test_2/network/network-plc_high_seed3.toml,v2/test_2/network/powerlaw_cluster/plc_high_seed3/edgelist.txt,1000,9897,19.794,0.34566725900800016,0.17177110155821487,1.0,253
powerlaw_cluster,plc_high_seed3,balance,"Balance (0.8, 0.8)",2,observational,318.36842105263156,0.3183684210526316,3249.2631578947367,3.249263157894737,966.1052631578947,0.9661052631578947,high,1.0,20263618,20263618,v2/test_2/network/network-plc_high_seed3.toml,v2/test_2/network/powerlaw_cluster/plc_high_seed3/edgelist.txt,1000,9897,19.794,0.34566725900800016,0.17177110155821487,1.0,253
powerlaw_cluster,plc_high_seed3,balance,"Balance (0.8, 0.8)",3,behavior-guiding,150.84,0.15084,2090.22,2.09022,1512.7,1.5127000000000002,high,1.0,20263618,20263618,v2/test_2/network/network-plc_high_seed3.toml,v2/test_2/network/powerlaw_cluster/plc_high_seed3/edgelist.txt,1000,9897,19.794,0.34566725900800016,0.17177110155821487,1.0,253
powerlaw_cluster,plc_high_seed3,certainty_high,"Certainty high (0.9, 0.5)",0,misinformation,393.35,0.39335000000000003,4339.89,4.3398900000000005,2082.99,2.0829899999999997,high,1.0,20263618,20263618,v2/test_2/network/network-plc_high_seed3.toml,v2/test_2/network/powerlaw_cluster/plc_high_seed3/edgelist.txt,1000,9897,19.794,0.34566725900800016,0.17177110155821487,1.0,253
powerlaw_cluster,plc_high_seed3,certainty_high,"Certainty high (0.9, 0.5)",1,corrective,543.98,0.54398,6306.48,6.30648,3594.45,3.5944499999999997,high,1.0,20263618,20263618,v2/test_2/network/network-plc_high_seed3.toml,v2/test_2/network/powerlaw_cluster/plc_high_seed3/edgelist.txt,1000,9897,19.794,0.34566725900800016,0.17177110155821487,1.0,253
