network,config_path,graph_path,directed,transposed,num_nodes,num_edges,density,avg_degree,median_degree,p90_degree,p99_degree,max_degree,avg_in_degree,median_in_degree,p90_in_degree,p99_in_degree,max_in_degree,avg_out_degree,median_out_degree,p90_out_degree,p99_out_degree,max_out_degree,avg_clustering,transitivity,assortativity,reciprocity,num_connected_components,largest_connected_component_ratio,num_weak_components,largest_weak_component_ratio,num_strong_components,largest_strong_component_ratio
pdc_deg40_low_seed1,v2/test_2/network/network-pdc_deg40_low_seed1.toml,v2/test_2/network/powerlaw_degree_cluster/pdc_deg40_low_seed1/edgelist.txt,False,False,1000,19600,0.03923923923923924,39.2,29.0,68.10000000000002,174.04999999999995,251,,,,,,,,,,,0.09362552065351377,0.09149645826708794,-0.012086602840810463,,1,1.0,,,,
pdc_deg40_low_seed2,v2/test_2/network/network-pdc_deg40_low_seed2.toml,v2/test_2/network/powerlaw_degree_cluster/pdc_deg40_low_seed2/edgelist.txt,False,False,1000,19600,0.03923923923923924,39.2,28.0,70.0,181.01999999999998,250,,,,,,,,,,,0.09628929389890625,0.09346080651559353,-0.014396002128739288,,1,1.0,,,,
pdc_deg40_low_seed3,v2/test_2/network/network-pdc_deg40_low_seed3.toml,v2/test_2/network/powerlaw_degree_cluster/pdc_deg40_low_seed3/edgelist.txt,False,False,1000,19600,0.03923923923923924,39.2,28.0,69.0,167.0,248,,,,,,,,,,,0.09495809393447989,0.0911304303810283,-0.018345901093292757,,1,1.0,,,,
pdc_deg40_high_seed1,v2/test_2/network/network-pdc_deg40_high_seed1.toml,v2/test_2/network/powerlaw_degree_cluster/pdc_deg40_high_seed1/edgelist.txt,False,False,1000,19589,0.039217217217217215,39.178,29.0,63.0,234.0,401,,,,,,,,,,,0.41450540688289056,0.22832846728960327,-0.08471570350889654,,1,1.0,,,,
pdc_deg40_high_seed2,v2/test_2/network/network-pdc_deg40_high_seed2.toml,v2/test_2/network/powerlaw_degree_cluster/pdc_deg40_high_seed2/edgelist.txt,False,False,1000,19584,0.03920720720720721,39.168,28.0,65.0,209.08999999999992,380,,,,,,,,,,,0.3744305777451111,0.20799301320369382,-0.0891440437757392,,1,1.0,,,,
pdc_deg40_high_seed3,v2/test_2/network/network-pdc_deg40_high_seed3.toml,v2/test_2/network/powerlaw_degree_cluster/pdc_deg40_high_seed3/edgelist.txt,False,False,1000,19580,0.039199199199199196,39.16,28.0,61.10000000000002,236.03999999999996,352,,,,,,,,,,,0.37210135008464695,0.2137210589197907,-0.07964179029136234,,1,1.0,,,,
